,CPSF3L (54973)
ACH-000004,-1.121560792822993
ACH-000005,-1.1545814637951797
ACH-000007,-1.3031959495925876
ACH-000009,-1.2185723133344373
ACH-000011,-1.2875170936362623
ACH-000012,-1.386596083568463
ACH-000013,-1.0584463450675443
ACH-000014,-1.372885286744856
ACH-000015,-1.216210432271636
ACH-000017,-1.239482043782259
ACH-000018,-1.261643159295954
ACH-000019,-1.1624872310746472
ACH-000021,-1.1907468336821756
ACH-000022,-1.1781896802744871
ACH-000025,-1.2427023935932948
ACH-000028,-1.23225119082605
ACH-000030,-1.3447209450395563
ACH-000035,-1.4959849693564915
ACH-000036,-1.3261144747543268
ACH-000037,-1.4911314315970452
ACH-000039,-1.1719937707739916
ACH-000040,-1.2797840532488196
ACH-000041,-1.1465261124178137
ACH-000042,-1.1113191832175244
ACH-000045,-1.4834029754719218
ACH-000047,-1.042245094145988
ACH-000052,-1.1356392776792406
ACH-000053,-1.277316762290035
ACH-000054,-1.2250505468199535
ACH-000055,-1.31496021614161
ACH-000060,-1.1197607294790586
ACH-000067,-1.3925749666038243
ACH-000070,-1.2934107146866367
ACH-000075,-1.3289245687656168
ACH-000078,-1.2150708319198644
ACH-000082,-1.364422108362717
ACH-000085,-1.226081546086894
ACH-000086,-1.1872703063863883
ACH-000087,-1.3770727690346467
ACH-000092,-1.1304371488915277
ACH-000095,-1.2445260124365456
ACH-000097,-1.4605692453689263
ACH-000098,-1.356314129084376
ACH-000099,-1.3693044598194926
ACH-000108,-1.316276065116445
ACH-000113,-1.2895101993190683
ACH-000116,-1.2522425810661642
ACH-000118,-1.2687886853025896
ACH-000120,-1.3252159893696998
ACH-000123,-1.2366324893795078
ACH-000127,-1.3475500717251083
ACH-000128,-1.2400528585544572
ACH-000132,-1.2924467979800358
ACH-000133,-1.135374948572707
ACH-000137,-1.314750410831785
ACH-000138,-1.0899560054309891
ACH-000142,-1.3119633276522782
ACH-000143,-1.1103346422218616
ACH-000146,-1.367603240594411
ACH-000148,-1.262755850318436
ACH-000150,-1.2510987117990209
ACH-000152,-1.4377891093660744
ACH-000153,-1.5547495650527423
ACH-000159,-1.4990127355048126
ACH-000160,-1.4407879799362302
ACH-000163,-1.2221384132916082
ACH-000167,-1.383239244190226
ACH-000168,-1.415056726252192
ACH-000169,-1.308256697438268
ACH-000178,-1.0519264803131223
ACH-000183,-1.3365240633662208
ACH-000188,-1.3663043436278417
