,SERHL2 (253190)
ACH-000004,-0.1558535589795017
ACH-000005,0.13211372994974047
ACH-000007,-0.22189892073867432
ACH-000009,0.0036043561424857476
ACH-000011,-0.08600678362305231
ACH-000012,-0.19207763480804604
ACH-000013,-0.07545165563554751
ACH-000014,0.10239429703934133
ACH-000015,-0.16243538859068346
ACH-000017,-0.15159142259715186
ACH-000018,0.015096563183780257
ACH-000019,0.03138947703052807
ACH-000021,-0.2732055504428997
ACH-000022,-0.1405748727945796
ACH-000025,-0.11213555080762684
ACH-000028,0.02343781981226677
ACH-000030,-0.1902751154334637
ACH-000035,-0.10259510193853917
ACH-000036,-0.04851880287646887
ACH-000037,0.0064977415915313756
ACH-000039,0.18328875624624716
ACH-000040,-0.0007043308201906941
ACH-000041,0.029406510848234518
ACH-000042,0.14743405620635974
ACH-000045,-0.22613037444572304
ACH-000047,0.007995568816220041
ACH-000052,-0.08601953951955559
ACH-000053,-0.18435348545085267
ACH-000054,-0.20127002241383848
ACH-000055,-0.2158689499732194
ACH-000060,-0.0911842800058094
ACH-000067,-0.07833709235578895
ACH-000070,-0.06430773807354642
ACH-000075,-0.0974771759871747
ACH-000078,-0.1497801254546969
ACH-000082,0.08545746823783246
ACH-000085,-0.19556740702410333
ACH-000086,0.2362898245860001
ACH-000087,-0.01825378392442755
ACH-000092,-0.16200241471099958
ACH-000095,-0.1350867743396182
ACH-000097,-0.1388632912136876
ACH-000098,-0.10043271491606674
ACH-000099,-0.07923116732999905
ACH-000108,-0.08241354126376481
ACH-000113,0.02110482896181321
ACH-000116,-0.011611753867461421
ACH-000118,-0.2652098753039249
ACH-000120,-0.05258889517358024
ACH-000123,-0.013356072298376608
ACH-000127,-0.01825736708629353
ACH-000128,0.046842468308364534
ACH-000132,-0.05187878610153364
ACH-000133,-0.057944529805283314
ACH-000137,-0.1416559507435886
ACH-000138,0.13955286723661478
ACH-000142,-0.07051495484264755
ACH-000143,0.03586592689318723
ACH-000146,-0.0486126753915657
ACH-000148,0.10244140420361753
ACH-000150,0.08911334358969301
ACH-000152,0.04407412212501687
ACH-000153,0.06612989845602975
ACH-000159,0.04031983059088184
