,UBE2E1 (7324)
ACH-000004,0.052575489667655816
ACH-000005,-0.3250686621927349
ACH-000007,0.05486710333020908
ACH-000009,-0.05152490837697539
ACH-000011,-0.07265101065115412
ACH-000012,-0.01849833336446621
ACH-000013,-0.12480023792015757
ACH-000014,-0.18031851688861048
ACH-000015,-0.19559806759235346
ACH-000017,-0.09536502623792856
ACH-000018,-0.12166566152018472
ACH-000019,-0.08561186203631836
ACH-000021,-0.1000825061650516
ACH-000022,-0.011457898182731843
ACH-000025,-0.16645295836246035
ACH-000028,0.04054482327800258
ACH-000030,-0.10715907611497898
ACH-000035,-0.06953315859869158
ACH-000036,-0.19676319742882986
ACH-000037,-0.16018697311556682
ACH-000039,-0.029870150965325862
ACH-000040,-0.07322100760603108
ACH-000041,-0.08607060085333944
ACH-000042,-0.09667875567834862
ACH-000045,0.22268403979770215
ACH-000047,-0.08202305318010085
ACH-000052,-0.07485881839400484
ACH-000053,0.002866892434810741
ACH-000054,-0.15040208851673004
ACH-000055,-0.2798749545341651
ACH-000060,-0.1924683218135706
ACH-000067,0.007995839387476025
ACH-000070,-0.07415747262333255
ACH-000075,-0.13941149854196486
ACH-000078,-0.14358251485019893
ACH-000082,-0.05039209737036518
ACH-000085,-0.08736540545364363
ACH-000086,-0.08641799942189092
ACH-000087,-0.2050201280756406
ACH-000092,-0.07156079613085985
ACH-000095,-0.33273471968850704
ACH-000097,-0.055035531797828136
ACH-000098,-0.023063552140878327
ACH-000099,-0.034371121636489234
ACH-000108,0.07710922400038811
ACH-000113,0.025520716896165908
ACH-000116,-0.07103570102542843
ACH-000118,-0.13152718944950495
ACH-000120,-0.06018987954256263
ACH-000123,-0.08842101068080313
ACH-000127,-0.004493212697250987
ACH-000128,-0.22203388929133144
ACH-000132,-0.04994101320770723
ACH-000133,-0.0234859641298234
ACH-000137,0.0317127387166503
ACH-000138,-0.027309152732138305
ACH-000142,0.05412350091920085
ACH-000143,-0.4355546210011313
ACH-000146,0.1110953388484072
ACH-000148,0.05392108816400405
ACH-000150,-0.16724600744198242
ACH-000152,-0.22559309007572256
ACH-000153,-0.1604211722032913
ACH-000159,-0.2246794453527501
ACH-000160,0.3759594496653244
ACH-000163,0.1182142846323685
ACH-000167,1.2861032329053848
ACH-000168,-0.10056792981147143
ACH-000169,-0.035250872188335704
ACH-000178,0.04650569048744575
ACH-000183,-0.08070666301686319
ACH-000188,-0.062175707668361564
ACH-000189,0.09825427871181318
ACH-000190,0.4131533485259329
ACH-000198,-0.4542587016807593
ACH-000203,-0.2807827930988989
ACH-000204,-0.07993672738958311
ACH-000206,0.037047926032413615
ACH-000207,-0.0019351965938304105
ACH-000208,-0.09227074716582784
ACH-000210,0.1482465274567985
ACH-000211,-0.10381744109563852
ACH-000215,-0.07452901017625821
ACH-000221,-0.10941436643002957
ACH-000222,-0.07190998247299248
ACH-000223,-0.10855354206676998
ACH-000226,-0.2673937077160635
ACH-000227,-0.1806498384187366
ACH-000228,-0.18496762556173985
ACH-000231,-0.09878795532610396
ACH-000232,-0.06246485025111731
ACH-000233,0.05606774841941371
ACH-000234,-0.22310994844331591
ACH-000235,-0.04140510967538
ACH-000237,-0.053547145966117454
ACH-000238,-0.24996989066585915
ACH-000242,0.34573870474437296
ACH-000243,-0.11473783004291795
ACH-000244,0.09450654057560992
ACH-000246,-0.2772500261558163
ACH-000248,0.035074728546333284
ACH-000250,-0.18768650728075895
ACH-000251,-0.16274701585654858
ACH-000252,-0.029759028898572005
ACH-000253,-0.07130512327530497
ACH-000255,-0.117485511343641
ACH-000256,0.02160444964459213
ACH-000257,-0.031338136980468015
ACH-000258,-0.19467785495135412
ACH-000259,-0.08723675503934643
ACH-000260,-0.04501396989584565
ACH-000261,-0.0442100043725471
ACH-000262,-0.22781410100923855
ACH-000263,0.1558564464336361
ACH-000264,0.029234063476898126
ACH-000265,-0.1597847445767969
ACH-000266,-0.021272440947295967
ACH-000272,-0.20343569086371013
ACH-000274,0.015285753085962743
ACH-000277,0.22975001027547895
ACH-000278,-0.012757390037671576
ACH-000279,0.05538776265024261
ACH-000280,-0.22756227906230475
ACH-000281,-0.30671627743719954
ACH-000288,-0.04889820196678291
ACH-000291,-0.19557715826935249
ACH-000293,0.09436332441866112
ACH-000294,0.1212192599786058
ACH-000295,-0.09946502530281423
ACH-000296,-0.3163960296985228
ACH-000302,-0.2333831380138976
ACH-000304,-0.05862779176674076
ACH-000307,-0.18696958863166246
ACH-000308,0.049563843875309856
ACH-000310,-0.0939151272196008
ACH-000311,0.14124309792110748
ACH-000312,-0.13983745752637575
ACH-000315,-0.061349807200273686
ACH-000316,0.1019125208219476
ACH-000317,0.13290983453929126
ACH-000318,-0.032769861301071096
ACH-000319,-0.0057858831698286975
ACH-000320,-0.011335998741848477
ACH-000322,-0.17767786452201376
ACH-000323,-0.03087986170380625
ACH-000324,0.0003913650002257781
ACH-000329,-0.13284291169357762
ACH-000330,0.03779204315142354
ACH-000331,-0.3524141788376656
ACH-000332,-0.08570516534828351
ACH-000334,-0.03233500873221986
ACH-000335,-0.1187793234580812
ACH-000336,0.05191667731506007
ACH-000337,-0.05750598241902481
ACH-000338,-0.5278841149522291
ACH-000339,-0.0703602637713553
ACH-000341,-0.20214647167569785
ACH-000348,0.024710745956372262
ACH-000350,-0.04479999893419792
ACH-000352,-0.09883977905433812
ACH-000356,-0.21722812925988136
ACH-000361,-0.1964625776092653
ACH-000362,-0.002021480024392595
ACH-000363,0.05847170882408816
ACH-000364,0.13675574494134696
ACH-000365,-0.2047877693897569
ACH-000366,-0.07609458262749869
ACH-000368,0.019012892803547888
ACH-000374,-0.06403562888981737
ACH-000375,0.10855755816006876
ACH-000376,0.13216180139080966
ACH-000381,-0.04885465356193473
ACH-000383,0.005616823921668479
ACH-000387,0.03330866116842464
ACH-000389,-0.009946347538195935
ACH-000390,-0.07007169084479889
ACH-000393,-0.15529997071198984
ACH-000395,-0.12499048264227447
ACH-000396,0.31048572987589035
ACH-000397,-0.002459719945511968
ACH-000401,-0.11263396381190954
ACH-000402,-0.17031808321430206
ACH-000403,0.08612429337691302
ACH-000404,-0.08696160600219317
ACH-000406,0.02914499473605225
ACH-000407,-0.04457071690187795
ACH-000408,0.06864276755548122
ACH-000410,-0.05672232700555412
ACH-000411,-0.2537568537654938
ACH-000414,-0.006817553364892685
ACH-000415,-0.14434504737959825
ACH-000416,-0.0678726179910103
ACH-000420,-0.3187508766379307
ACH-000421,0.0853452967390609
ACH-000424,-0.2830893142982873
ACH-000425,-0.07964824561078225
ACH-000426,-0.013983423585340549
ACH-000427,-0.08494867160720111
ACH-000433,0.10936220401178737
ACH-000435,-0.2158562463673952
ACH-000436,-0.15645837188122322
ACH-000444,-0.04476721739853795
ACH-000445,-0.1550267182681892
ACH-000448,-0.13851129081461674
ACH-000450,-0.2704703121037684
ACH-000452,-0.11476571953859165
ACH-000454,-0.08960446512451246
ACH-000458,-0.13842374668390486
ACH-000459,0.16459890937532826
ACH-000460,-0.1456470553006
ACH-000461,-0.01982212778275109
ACH-000463,-0.1488944793441636
ACH-000464,0.06565113484902284
ACH-000466,-0.051667615439723764
ACH-000467,-0.09668972659709456
ACH-000468,-0.09569338462373513
ACH-000469,-0.2052332975203385
ACH-000470,0.1137462066688658
ACH-000471,-0.04667573202730931
ACH-000472,0.053699153336070726
ACH-000473,-0.05132979866159943
ACH-000475,-0.07674730467297446
ACH-000476,0.04154183370433585
ACH-000477,-0.11385505373195765
ACH-000479,0.017558883366392213
ACH-000480,0.09930763775389606
ACH-000481,-0.05768018072817914
ACH-000483,0.11154415993086736
ACH-000484,0.07786758593869156
ACH-000485,-0.20870553055965396
ACH-000486,-0.09342189895687693
ACH-000487,-0.25236130151660946
ACH-000488,-0.050040921176701815
ACH-000490,-0.1050763737146546
ACH-000491,-0.0448012578599328
ACH-000495,-0.31534618617541976
ACH-000496,-0.02634437943004655
ACH-000499,-0.038745733192793064
ACH-000500,-0.2991651587844727
ACH-000502,-0.062383383389146174
ACH-000503,0.015008658407069981
ACH-000505,0.0436260314502299
ACH-000507,-0.020018477056939186
ACH-000510,-0.06034108803078341
ACH-000511,-0.03206754290896363
ACH-000512,0.07410048130777766
ACH-000516,-0.11743102748033675
ACH-000517,-0.046646576932715164
ACH-000518,0.18991393780843024
ACH-000520,-0.16567421676989413
ACH-000521,-0.16530184555494262
ACH-000522,-0.20165217219423756
ACH-000524,-0.09390525352248036
ACH-000527,-0.003917063917391074
ACH-000528,-0.051523797258929915
ACH-000537,-0.11623745179886615
ACH-000541,-0.5721510094229093
ACH-000542,0.02138366628293373
ACH-000544,-0.07655962631700136
ACH-000545,-0.03893826087499375
ACH-000547,0.18915669215284284
ACH-000548,-0.049841331756111884
