,DDX39A (10212)
ACH-000004,-0.452760987441295
ACH-000005,-0.3147204587563678
ACH-000007,-0.22702659690754845
ACH-000009,0.0007329577057087447
ACH-000011,-0.0947693260963056
ACH-000012,-0.13602069347321352
ACH-000013,-0.21426242460727374
ACH-000014,-0.19268449391033504
ACH-000015,-0.3860528248791973
ACH-000017,-0.2028554670065824
ACH-000018,-0.1479610386945613
ACH-000019,-0.4714203980268146
ACH-000021,-0.2888689699132379
ACH-000022,-0.155512334637535
ACH-000025,-0.25580732326733663
ACH-000028,-0.4054122184021554
ACH-000030,-0.23502483868339094
ACH-000035,-0.4134060098092545
ACH-000036,-0.0871534906762734
ACH-000037,-0.17372206355372954
ACH-000039,-0.21678542201514514
ACH-000040,-0.2898736767665033
ACH-000041,-0.11688984211390335
ACH-000042,-0.32577547917670785
ACH-000045,-0.16341576341992622
ACH-000047,-0.171552248987399
ACH-000052,-0.3279051381863704
ACH-000053,-0.2302221086498928
ACH-000054,-0.13699947838973014
ACH-000055,-0.2724264797818494
ACH-000060,-0.11895749351761498
ACH-000067,-0.23437989339973664
ACH-000070,-0.11522944083785135
ACH-000075,-0.5354292996791525
ACH-000078,-0.08604511544585675
ACH-000082,-0.3385322302248003
ACH-000085,-0.2923638016876416
ACH-000086,-0.2241040832687392
ACH-000087,-0.3492836227737613
ACH-000092,-0.22974429803939425
ACH-000095,-0.20987800414604474
ACH-000097,-0.2432774943547823
ACH-000098,-0.2794431047741485
ACH-000099,-0.2603383297385246
ACH-000108,-0.5547641628169274
ACH-000113,-0.2547507966563872
ACH-000116,-0.3398256496751131
ACH-000118,-0.2989770357416864
ACH-000120,-0.3587115656228076
ACH-000123,-0.10363212096690544
ACH-000127,-0.383796483103748
ACH-000128,-0.3323776862297931
ACH-000132,-0.35984392794484965
ACH-000133,-0.2173646960428117
ACH-000137,-0.15767615399835594
ACH-000138,-0.20086560892354652
ACH-000142,-0.22866645053741474
ACH-000143,-0.3730111741882013
ACH-000146,-0.4503536154857824
ACH-000148,-0.212208546557318
ACH-000150,-0.3325631740644401
ACH-000152,-0.10312502704568799
ACH-000153,-0.4262719654831773
ACH-000159,-0.14755749336985988
ACH-000160,0.0060203093863276545
ACH-000163,-0.5817683486612527
ACH-000167,0.13512684073788248
ACH-000168,-0.2150943532153189
ACH-000169,-0.1709548787076942
ACH-000178,-0.277631311923458
ACH-000183,-0.5460321190582417
ACH-000188,-0.21466610886246332
ACH-000189,-0.2084077059008378
ACH-000190,0.014560573752612313
ACH-000198,-0.24265725441249766
ACH-000203,-0.1908832753058865
ACH-000204,0.03463529092287962
ACH-000206,-0.234579079996828
ACH-000207,-0.4131640448784803
ACH-000208,-0.29597145013742304
ACH-000210,-0.4281097171484749
ACH-000211,-0.1183156836502656
ACH-000215,-0.20636671533561424
ACH-000221,-0.2466543300296316
ACH-000222,-0.2489951727022368
ACH-000223,-0.4963918974952797
ACH-000226,-0.1992598949505948
ACH-000227,-0.31229302998777275
ACH-000228,-0.3166552399478813
ACH-000231,-0.1368953061650422
ACH-000232,-0.11720191410122988
ACH-000233,-0.4562732285806367
ACH-000234,-0.3776650881876925
ACH-000235,-0.20808757328995034
ACH-000237,-0.2503904150872027
ACH-000238,-0.09582584943909543
ACH-000242,-0.3599475261461026
ACH-000243,-0.29966429553230955
ACH-000244,-0.04682841213729615
ACH-000246,-0.10809847512976284
ACH-000248,-0.08095975428573275
ACH-000250,-0.1503819922057279
ACH-000251,-0.3381046368987454
ACH-000252,-0.2175353675206228
ACH-000253,-0.2318262985248024
ACH-000255,-0.3382987490298917
ACH-000256,-0.2341871165548891
ACH-000257,-0.24642017479773226
ACH-000258,-0.3179642969551811
ACH-000259,-0.24019444315090355
ACH-000260,-0.3157457784523144
ACH-000261,-0.2671296198725589
ACH-000262,-0.1844879950832436
ACH-000263,-0.212247203045672
ACH-000264,-0.2521104017665483
ACH-000265,-0.17490900425977096
ACH-000266,-0.25002361844167026
ACH-000272,-0.20218722668763528
ACH-000274,-0.15053978993899422
ACH-000277,-0.13779516694564994
ACH-000278,-0.3296592972640004
ACH-000279,-0.14321933644126206
ACH-000280,-0.06390401747522416
ACH-000281,0.021998667752393498
ACH-000288,-0.12624605715895987
ACH-000291,-0.16646883217290248
ACH-000293,-0.22037702342848067
ACH-000294,-0.04072721736502523
ACH-000295,-0.17687206154641796
ACH-000296,-0.3098741333901943
ACH-000302,-0.3701824847237626
ACH-000304,-0.19879590679565892
ACH-000307,-0.3202765396262332
ACH-000308,-0.12933966192262802
ACH-000310,-0.20688939903091308
ACH-000311,-0.240151685382374
ACH-000312,-0.1877982944276278
ACH-000315,-0.09076773391502714
ACH-000316,-0.048600089190133984
ACH-000317,-0.16520030940833708
ACH-000318,-0.2990017244518033
ACH-000319,-0.3373325204189576
ACH-000320,-0.4228575720864817
ACH-000322,-0.3676460438131774
ACH-000323,-0.3426482875022174
ACH-000324,-0.14323087097777992
ACH-000329,-0.20655320973712046
ACH-000330,-0.30561909746256605
ACH-000331,-0.19452468118219912
ACH-000332,-0.2335608763387892
ACH-000334,-0.16291659066341171
ACH-000335,-0.2742457571988642
ACH-000336,-0.07775511970474885
ACH-000337,-0.3258883443499164
ACH-000338,-0.5147227466436249
