,LRRC43 (254050)
ACH-000004,-0.2423770071766164
ACH-000005,0.1279210437895276
ACH-000007,-0.12064813465976312
ACH-000009,-0.015895120042435016
ACH-000011,-0.12092996006215374
ACH-000012,-0.1424200842444151
ACH-000013,-0.055101457094362365
ACH-000014,-0.1767717777471254
ACH-000015,-0.10247441653380356
ACH-000017,0.12534624509270784
ACH-000018,-0.04310103543163053
ACH-000019,-0.06936626127264027
ACH-000021,-0.12090179230323958
ACH-000022,-0.006466293928394244
ACH-000025,-0.04469546400076842
ACH-000028,-0.0011317087192262232
ACH-000030,-0.057400288252384336
ACH-000035,-0.004442943466069703
ACH-000036,-0.1850929801649049
ACH-000037,-0.049555743976042704
ACH-000039,0.17745006264898672
ACH-000040,-0.15203442768191078
ACH-000041,-0.15062282767981194
ACH-000042,-0.049076203906366536
ACH-000045,0.045924717762861667
ACH-000047,-0.1521922776513898
ACH-000052,-0.3040138185375405
ACH-000053,-0.05298522708885968
ACH-000054,-0.12271058858816505
ACH-000055,-0.2680493063337268
ACH-000060,-0.05361625546076199
ACH-000067,-0.1177933827135207
ACH-000070,0.007150836023621634
ACH-000075,-0.4687073587242559
ACH-000078,0.01449634838214919
ACH-000082,0.0033156868960625887
ACH-000085,-0.14432866015024454
ACH-000086,-0.15010339334745895
ACH-000087,-0.2768505968880661
ACH-000092,-0.11412666423123916
ACH-000095,-0.045371708254142884
ACH-000097,0.0042072562602071505
ACH-000098,-0.1338354875641351
ACH-000099,0.05290388132968542
ACH-000108,0.0014727035924825234
ACH-000113,0.032570025581502814
ACH-000116,-0.02272967040125626
ACH-000118,-0.23585636204374036
ACH-000120,0.01096884506282936
ACH-000123,-0.06968050900422068
ACH-000127,0.0585974669767528
ACH-000128,-0.251480450483656
ACH-000132,-0.0408598833665254
ACH-000133,-0.037139086448908176
ACH-000137,-0.2452786077006887
ACH-000138,0.01338021128000181
ACH-000142,-0.1384791551298684
ACH-000143,0.06412993487057518
ACH-000146,-0.02522988307192647
ACH-000148,-0.1220211607030408
ACH-000150,-0.22743544476916236
ACH-000152,-0.12060514005598415
ACH-000153,-0.010789846753491109
ACH-000159,-0.05584054808429445
ACH-000160,-0.03971316578979545
ACH-000163,-0.1918132350806287
ACH-000167,-0.2820503344787775
ACH-000168,0.11938961365649475
ACH-000169,-0.07166821492952917
ACH-000178,-0.09438840125256877
ACH-000183,-0.031039164591158408
ACH-000188,-0.16308494629082684
ACH-000189,-0.1212326857311434
ACH-000190,0.05305878398626649
ACH-000198,-0.1385643508313486
ACH-000203,0.28660279473379885
ACH-000204,0.16306460898924335
ACH-000206,-0.039296112414359374
ACH-000207,-0.07133442986865701
ACH-000208,-0.04823861791767085
ACH-000210,-0.107128430402437
ACH-000211,-0.05944551049602907
ACH-000215,-0.11392505353459792
ACH-000221,-0.162370748529629
ACH-000222,-0.09592875121478492
ACH-000223,-0.09014606512423913
ACH-000226,0.06703520186811489
ACH-000227,-0.1838318129331944
ACH-000228,0.12293772631597748
ACH-000231,-0.0047900707300361925
ACH-000232,-0.1385644869737927
ACH-000233,-0.03377505391770566
ACH-000234,0.0007942257976295763
ACH-000235,0.0007563739569678057
ACH-000237,-0.0557132015592873
ACH-000238,-0.1613571292963869
ACH-000242,0.3307118357633903
ACH-000243,0.01782312899048572
ACH-000244,-0.2343607712748641
ACH-000246,-0.017045726009735317
ACH-000248,-0.10831166903686487
