,SGMS2 (166929)
ACH-000004,0.03347417998303038
ACH-000005,0.15279607175408735
ACH-000007,0.06924024896234351
ACH-000009,0.07431867499200802
ACH-000011,-0.0519358585768027
ACH-000012,0.12168568124569422
ACH-000013,0.10264908457934112
ACH-000014,-0.040582334569551314
ACH-000015,-0.0013928956557339774
ACH-000017,0.03618238088764731
ACH-000018,0.039856122866029235
ACH-000019,-0.014525806231749188
ACH-000021,0.029068649846443632
ACH-000022,0.00816288769017912
ACH-000025,0.027900872107714702
ACH-000028,0.02966425994292942
ACH-000030,0.0033725773203837463
ACH-000035,0.08812825971730033
ACH-000036,0.11830441119494454
ACH-000037,0.06228505228846368
ACH-000039,0.010681151411264793
ACH-000040,0.010924611539466828
ACH-000041,-0.023263258382328074
ACH-000042,-0.09669283044270227
ACH-000045,0.06456380450593895
ACH-000047,-0.12300740143072585
ACH-000052,0.10028859109380392
ACH-000053,0.09853225897805634
ACH-000054,-0.02975251700362135
ACH-000055,-0.04229944485817853
ACH-000060,-0.07080339195096577
ACH-000067,0.025992308553985263
ACH-000070,0.137991312972652
ACH-000075,0.1431409041875803
ACH-000078,0.007649347201246522
ACH-000082,0.011963649569042693
ACH-000085,0.04078090139782952
ACH-000086,0.005439549156221206
ACH-000087,0.2696711741648349
ACH-000092,0.017198485917658362
ACH-000095,0.04551561476505432
ACH-000097,-0.04416095830402245
ACH-000098,-0.1280212060670148
ACH-000099,0.07101645317060867
ACH-000108,-0.0007599662853055754
ACH-000113,0.01606680395068592
ACH-000116,-0.031580764636123235
ACH-000118,0.0651383584793083
ACH-000120,0.19987016355187448
ACH-000123,0.09659746229772084
ACH-000127,0.033287518853651527
ACH-000128,0.14273246155426594
ACH-000132,-0.11754816840577807
ACH-000133,0.09570410875122264
ACH-000137,0.07605359309388507
ACH-000138,0.10734959795515514
ACH-000142,0.05297192481549762
ACH-000143,0.09311174130625667
ACH-000146,0.02476781912280772
ACH-000148,0.07236876066419935
ACH-000150,0.09200737083915504
ACH-000152,0.03791662370916565
ACH-000153,-0.10907086971408557
