,HMCES (56941)
ACH-000004,-0.16463762285455233
ACH-000005,-0.10397822011140102
ACH-000007,-0.12354499980984494
ACH-000009,-0.2282620580183924
ACH-000011,-0.3854181999711169
ACH-000012,-0.11349723994248495
ACH-000013,-0.3107977979258529
ACH-000014,-0.3264111068856701
ACH-000015,-0.1457528267039112
ACH-000017,-0.17370458354475032
ACH-000018,-0.1986855646996664
ACH-000019,-0.392703060459211
ACH-000021,-0.18744278359859992
ACH-000022,-0.2591712127667933
ACH-000025,-0.25554553408850844
ACH-000028,-0.16117864543089575
ACH-000030,-0.2746440310291273
ACH-000035,-0.4076638080511748
ACH-000036,-0.1303615138355929
ACH-000037,-0.1805750087234407
ACH-000039,-0.4307009697666857
ACH-000040,-0.2579334649536445
ACH-000041,-0.2651912714513299
ACH-000042,-0.18378090497546387
ACH-000045,-0.2030984048965418
ACH-000047,-0.32250237890126
ACH-000052,-0.2563129252696597
ACH-000053,-0.3374170313424066
ACH-000054,-0.2589800390213463
ACH-000055,-0.267272770054588
ACH-000060,-0.4294390919937244
ACH-000067,-0.3154542264260057
ACH-000070,-0.2325944973100965
ACH-000075,-0.2613396352668632
ACH-000078,-0.13680864530487313
ACH-000082,-0.22754966562677395
ACH-000085,-0.14912298174482533
ACH-000086,-0.3405155282969477
ACH-000087,-0.19705902190721328
ACH-000092,-0.3218454288057511
ACH-000095,-0.17220120092408872
ACH-000097,-0.389734617948376
ACH-000098,-0.2454122350270324
ACH-000099,-0.06946155448332211
ACH-000108,-0.2014240318689076
ACH-000113,-0.17373413357975745
ACH-000116,-0.2527129635209993
ACH-000118,-0.23699653748785476
ACH-000120,-0.3298501247008131
ACH-000123,-0.19676755831933848
ACH-000127,-0.18634091899938404
ACH-000128,-0.4241222358480056
ACH-000132,-0.2266554477543561
ACH-000133,-0.1586186592956335
ACH-000137,-0.30163063040856497
ACH-000138,-0.22965608943978666
ACH-000142,-0.2965266221302085
ACH-000143,-0.3062082797613491
ACH-000146,-0.2265843542716353
ACH-000148,-0.19394253074001264
ACH-000150,-0.1749094488940976
ACH-000152,-0.3005543108481999
ACH-000153,-0.2232355930005924
ACH-000159,-0.3248294088750017
ACH-000160,-0.08485685622042252
ACH-000163,-0.1792416533121092
ACH-000167,0.3423707915606124
ACH-000168,-0.2947750175000819
ACH-000169,-0.2626213816851396
ACH-000178,-0.14619265036167786
ACH-000183,-0.403290100927016
ACH-000188,-0.2366923555117693
ACH-000189,-0.4355353803373188
ACH-000190,-0.037423996482477816
ACH-000198,-0.2703180070795421
ACH-000203,-0.30203611352057025
ACH-000204,-0.1421960247374931
ACH-000206,-0.3798879459448941
ACH-000207,-0.3326625077775629
ACH-000208,-0.24830158738101285
ACH-000210,-0.10189882306316456
ACH-000211,-0.21566506722654352
ACH-000215,-0.21915985639049235
ACH-000221,-0.3295107370324214
ACH-000222,-0.28368310463841456
ACH-000223,-0.30018462380422645
ACH-000226,-0.33525796247562184
ACH-000227,-0.25809610480509776
ACH-000228,-0.2377175290285389
ACH-000231,-0.1869385939183019
ACH-000232,-0.2759924369582854
ACH-000233,-0.2529388577875933
ACH-000234,-0.20489660565620166
ACH-000235,-0.21445926453853173
ACH-000237,-0.19509547983635173
ACH-000238,-0.14533998685572747
ACH-000242,-0.29544776566719744
ACH-000243,-0.2469109603380493
ACH-000244,-0.21712211944337576
ACH-000246,-0.2240648951345605
ACH-000248,-0.2319330773258635
ACH-000250,-0.30176165481770617
ACH-000251,-0.2725670719649811
ACH-000252,-0.09542793795606523
ACH-000253,-0.2448849352913549
ACH-000255,-0.30214915350331256
ACH-000256,-0.1851803840542669
ACH-000257,-0.2598184900547006
ACH-000258,-0.3349151552217881
ACH-000259,-0.1848416765844156
ACH-000260,-0.31110789114830995
ACH-000261,-0.20976384510341411
ACH-000262,-0.2854584660883216
ACH-000263,-0.5433777903018194
ACH-000264,-0.18811433157428667
ACH-000265,-0.2528850103595603
ACH-000266,-0.08406199503904102
ACH-000272,-0.4040033436864389
ACH-000274,-0.28419852627271497
ACH-000277,-0.21974735438461368
ACH-000278,-0.37464984962924414
ACH-000279,-0.2526257181025566
ACH-000280,-0.3496705831704292
ACH-000281,-0.0851122900156551
ACH-000288,-0.19380925159631693
ACH-000291,-0.2933395337050349
ACH-000293,-0.2594248131585697
ACH-000294,-0.2288972632923208
ACH-000295,-0.35442622589672707
ACH-000296,-0.1657809792308184
ACH-000302,-0.23495614952734645
ACH-000304,-0.1904248113206861
ACH-000307,-0.10046039698260008
ACH-000308,-0.1875057861895213
ACH-000310,-0.21769863854344015
ACH-000311,-0.1103562099127935
ACH-000312,-0.13514308168827147
ACH-000315,-0.12326386668479355
ACH-000316,-0.17561517111794822
ACH-000317,-0.3143251195475421
ACH-000318,-0.2415060958505429
ACH-000319,-0.12856557504949784
ACH-000320,-0.2470168333678512
ACH-000322,-0.4671337301367706
ACH-000323,-0.2477251095824979
ACH-000324,-0.16607447230379013
ACH-000329,-0.2272829698226601
ACH-000330,-0.3187334071005278
ACH-000331,-0.4488623592889886
ACH-000332,-0.2544177560664782
ACH-000334,0.002125713791319303
ACH-000335,-0.29049009925046554
ACH-000336,-0.35875896008815944
ACH-000337,-0.40652977384545197
ACH-000338,-0.209117060658538
ACH-000339,-0.1919281851307648
ACH-000341,-0.2618918467555274
ACH-000348,-0.144686670747486
ACH-000350,-0.1661574034303185
ACH-000352,-0.31464386855725623
ACH-000356,-0.22112993905611514
ACH-000361,-0.2617318174741299
ACH-000362,-0.12540298861592725
ACH-000363,-0.2725039605512136
ACH-000364,-0.3623794729929192
ACH-000365,-0.1640561866549487
ACH-000366,-0.2325289906979243
ACH-000368,-0.2937651708738873
