,LHFPL4 (375323)
ACH-000004,0.013442958970362602
ACH-000005,0.11618938695946256
ACH-000007,0.35175560279471585
ACH-000009,0.07179658874273627
ACH-000011,0.029423959167999513
ACH-000012,0.1924524716763094
ACH-000013,0.19748604133741265
ACH-000014,0.359965420653634
ACH-000015,0.06968199994482226
ACH-000017,0.06782409287862108
ACH-000018,0.2305262917740751
ACH-000019,0.1929054550333653
ACH-000021,0.16657010383040588
ACH-000022,0.16138439045302908
ACH-000025,0.10475953791940552
ACH-000028,0.17986336657256838
ACH-000030,0.19318225815301485
ACH-000035,0.18308628124299667
ACH-000036,0.20108125804562804
ACH-000037,0.15966481945962333
ACH-000039,0.07520761952817244
ACH-000040,0.032699944052006436
ACH-000041,0.16071086113584174
ACH-000042,0.010089697785263856
ACH-000045,0.05917196885118619
ACH-000047,0.06813554360421326
ACH-000052,-0.020967303934590408
ACH-000053,0.08974050588706588
ACH-000054,0.18306155962729875
ACH-000055,0.12598732450335862
ACH-000060,0.048607056797037
ACH-000067,0.06279907122686376
ACH-000070,0.1551911612877299
ACH-000075,0.26566176746714826
ACH-000078,0.08188042046560857
ACH-000082,0.16093322410169145
ACH-000085,0.14693122928420124
ACH-000086,0.1849518283447778
ACH-000087,0.2911725646849353
ACH-000092,0.20279188869513734
ACH-000095,0.16359895731240715
ACH-000097,0.10413611919287813
ACH-000098,0.20529480863890104
ACH-000099,0.08090555747342558
ACH-000108,0.19915038298751533
ACH-000113,0.2363659374354235
ACH-000116,0.3083642040847505
ACH-000118,0.18368374940083504
ACH-000120,-0.09467834246093723
ACH-000123,0.189065287589108
ACH-000127,0.1475194944336248
ACH-000128,0.15349118244361865
ACH-000132,0.004524405497051245
ACH-000133,0.1416699268031326
ACH-000137,0.2413067242230384
ACH-000138,0.18662937360230344
ACH-000142,-0.013251893097866998
ACH-000143,-0.10185039894964328
ACH-000146,0.14045661355853295
ACH-000148,0.17444835618426374
ACH-000150,0.06792427182188877
ACH-000152,0.08383451961351224
ACH-000153,0.1926666056870816
ACH-000159,0.07815100001306388
ACH-000160,0.2408374730233214
ACH-000163,0.08108006186981821
ACH-000167,-0.020897958682823483
ACH-000168,0.24837544596877986
ACH-000169,0.13849478499197787
ACH-000178,0.038620508401983306
ACH-000183,0.13354174854955214
ACH-000188,0.036143112909972464
ACH-000189,0.0720034188528106
ACH-000190,0.17929400335926038
ACH-000198,0.11730798125149243
ACH-000203,0.3142299257725217
ACH-000204,0.07158459011848868
ACH-000206,-0.1037490587411268
ACH-000207,0.35058653752827484
ACH-000208,0.16074748191037105
ACH-000210,0.15719220577883078
ACH-000211,0.1933079035105164
ACH-000215,0.1070246932594576
ACH-000221,0.0404167155115953
ACH-000222,-0.047873148958299805
ACH-000223,0.11320833792967197
ACH-000226,0.09572088993319756
ACH-000227,0.16142581346970866
ACH-000228,0.2339776819431209
ACH-000231,0.0928775335519666
ACH-000232,0.1485419676117473
ACH-000233,0.033534473516418715
ACH-000234,0.13979396287631976
ACH-000235,0.1404459397404745
ACH-000237,0.010363154121298956
