,RREB1 (6239)
ACH-000004,-0.5108761426392489
ACH-000005,-0.5252671554148599
ACH-000007,-0.4909411279198752
ACH-000009,-0.1852684132012869
ACH-000011,-0.28162374557547626
ACH-000012,-0.10857370355049006
ACH-000013,-0.3567233238374985
ACH-000014,-0.014469584835598459
ACH-000015,-0.10756593558144233
ACH-000017,-0.4842690316061272
ACH-000018,-0.2946518634231757
ACH-000019,-0.1419937914187475
ACH-000021,-0.187056920372576
ACH-000022,-0.11396077151389016
ACH-000025,-0.21007424262212127
ACH-000028,-0.3152718048752783
ACH-000030,-0.2065070754549668
ACH-000035,-0.32252068976212306
ACH-000036,-0.22153844512078716
ACH-000037,-0.1677057996324089
ACH-000039,-0.3856060439807918
ACH-000040,-0.1776707287520646
ACH-000041,-0.2729325421463492
ACH-000042,-0.1632515847112545
ACH-000045,-0.11289041417771795
ACH-000047,-0.1692026398344289
ACH-000052,-0.2468433502573089
ACH-000053,-0.21934333611176998
ACH-000054,-0.21451054448671214
ACH-000055,-0.0003376056457590772
ACH-000060,-0.17570305483418105
ACH-000067,-0.16415080439241694
ACH-000070,-0.4133949483706633
ACH-000075,-0.3254152680147122
ACH-000078,-0.2570768220887497
ACH-000082,-0.3295387305580351
ACH-000085,-0.4378633024718648
ACH-000086,-0.21298803765553764
ACH-000087,-0.3677455386189019
ACH-000092,-0.3333828882804158
ACH-000095,-0.6572992012199513
ACH-000097,-0.3433795226080955
ACH-000098,-0.2556922783674033
ACH-000099,-0.22857931536409176
ACH-000108,0.02214108023142757
ACH-000113,-0.3497222173838576
ACH-000116,-0.5607057876627158
ACH-000118,-0.3111255151160885
ACH-000120,-0.004702652425621104
ACH-000123,-0.16810837878143686
ACH-000127,-0.26080917660639297
ACH-000128,-0.4194413211352664
ACH-000132,-0.3467279439274303
ACH-000133,-0.2136518185878262
ACH-000137,-0.32372701634976025
ACH-000138,-0.38922567898744304
ACH-000142,-0.3789789323890358
ACH-000143,-0.3820695479592477
ACH-000146,-0.3836635791630971
ACH-000148,-0.20461831632860444
ACH-000150,-0.09208189666643447
ACH-000152,-0.18099894288611307
ACH-000153,-0.12284607571663607
ACH-000159,-0.272395875436477
ACH-000160,-0.2650748635025377
ACH-000163,-0.07772871367112373
ACH-000167,-0.15096728155623132
ACH-000168,-0.2916309636956235
ACH-000169,-0.21198390643471487
ACH-000178,-0.3958625897795891
ACH-000183,-0.18898312495627345
ACH-000188,-0.37165079240297205
ACH-000189,0.04921872043140665
ACH-000190,-0.3202818874618659
ACH-000198,0.0959805060482652
ACH-000203,0.18529965364465364
ACH-000204,0.17345860270353228
ACH-000206,-0.08573802872270958
ACH-000207,-0.2376569189153275
ACH-000208,-0.1680277745814292
ACH-000210,-0.3270192897478115
ACH-000211,-0.2819657195924144
ACH-000215,-0.2690549190605073
ACH-000221,-0.19242607601011807
ACH-000222,-0.343556557971276
ACH-000223,-0.4674126757519983
ACH-000226,-0.2634427495678426
ACH-000227,-0.302921766698598
ACH-000228,-0.32144915608312324
ACH-000231,-0.2008312299568217
ACH-000232,-0.18455070637302573
ACH-000233,-0.0445243260253401
ACH-000234,-0.2284398872691398
ACH-000235,-0.3089132495635557
ACH-000237,-0.5098143711542705
ACH-000238,-0.27680976032744065
ACH-000242,-0.4902644208519741
ACH-000243,-0.2826355368879041
ACH-000244,-0.2736784677652808
ACH-000246,-0.19732542946218065
ACH-000248,-0.29602927329169143
ACH-000250,-0.1932282602390988
ACH-000251,-0.06218624596691937
ACH-000252,-0.7359865873716123
ACH-000253,-0.5149677091689221
ACH-000255,-0.16850031359984474
ACH-000256,-0.371989187359712
