,SPDYC (387778)
ACH-000004,-0.3003635549837155
ACH-000005,-0.2119422909709409
ACH-000007,-0.3590930400646969
ACH-000009,-0.08531337335151963
ACH-000011,-0.06822855163955621
ACH-000012,-0.2348439797121504
ACH-000013,-0.3071679372909426
ACH-000014,-0.010742578833897195
ACH-000015,-0.19345440021253466
ACH-000017,-0.3252971159735704
ACH-000018,-0.2714674144118591
ACH-000019,-0.09114006117594818
ACH-000021,-0.24379858054177156
ACH-000022,-0.2099022997959068
ACH-000025,-0.2769357778924506
ACH-000028,-0.27571185152407984
ACH-000030,-0.2582505887589213
ACH-000035,-0.08290576855017824
ACH-000036,-0.27076223017774
ACH-000037,-0.31977858958957983
ACH-000039,-0.29558112923266044
ACH-000040,-0.2726786701837753
ACH-000041,-0.22842437670032786
ACH-000042,-0.15178980036562773
ACH-000045,-0.197618832715584
ACH-000047,-0.11290606115545515
ACH-000052,-0.4254221648207647
ACH-000053,-0.21755898683613747
ACH-000054,-0.11838561247144296
ACH-000055,-0.15205428963613524
ACH-000060,-0.2207821185257623
ACH-000067,-0.06704330324277223
ACH-000070,-0.08721181781032511
ACH-000075,-0.18070479583246246
ACH-000078,-0.38277585782277823
ACH-000082,-0.2516540958687746
ACH-000085,-0.3037191057120311
ACH-000086,-0.3289575111682048
ACH-000087,-0.3125011407579533
ACH-000092,-0.2639826381140279
ACH-000095,-0.19798840060281567
ACH-000097,-0.07350187157061511
ACH-000098,-0.12507247388758616
ACH-000099,-0.218483761640558
ACH-000108,-0.26052449085669593
ACH-000113,-0.13154001232463794
ACH-000116,-0.2146128655584501
ACH-000118,-0.2324098371385051
ACH-000120,-0.333764474154608
ACH-000123,-0.2458458505898719
ACH-000127,-0.20430102358618688
ACH-000128,-0.17824275374708973
ACH-000132,-0.27909706760814945
ACH-000133,-0.26010349020897394
ACH-000137,-0.2442410970265477
ACH-000138,-0.3851302075150115
ACH-000142,-0.25015010109866903
ACH-000143,-0.4107159137097973
ACH-000146,-0.1418724513600145
ACH-000148,-0.0906390450640223
ACH-000150,-0.23365681823072595
ACH-000152,-0.1335795342302612
ACH-000153,-0.3336694797160612
ACH-000159,0.1037458718448688
ACH-000160,-0.21737040960568346
ACH-000163,-0.4649036248233443
ACH-000167,-0.505624295847644
ACH-000168,0.07486173715176969
ACH-000169,-0.2552548686356246
ACH-000178,-0.26641379275907384
ACH-000183,-0.3574425516078312
ACH-000188,-0.3905904733672284
ACH-000189,-0.38932666811771904
ACH-000190,-0.03629265944157797
ACH-000198,-0.24318778829487636
ACH-000203,0.4530176204618261
ACH-000204,-0.3076337325811743
ACH-000206,0.07416607840182997
ACH-000207,-0.365372308851558
ACH-000208,-0.3386339336497077
ACH-000210,-0.06597421611707054
ACH-000211,-0.2605902593442928
