,LEP (3952)
ACH-000004,-0.12570906000179752
ACH-000005,-0.2403133414974316
ACH-000007,0.15567300614055146
ACH-000009,-0.06888011159608966
ACH-000011,0.046159127428837515
ACH-000012,-0.2421784936244555
ACH-000013,-0.01379593631842181
ACH-000014,-0.16553046036965638
ACH-000015,0.0002112489042335177
ACH-000017,-0.1217392557041318
ACH-000018,0.028364387513935812
ACH-000019,-0.3028495373725983
ACH-000021,-0.2694560462534576
ACH-000022,-0.036081813544571184
ACH-000025,-0.12124822145482875
ACH-000028,-0.11277345029293866
ACH-000030,0.0070440027609958485
ACH-000035,0.04515962223717284
ACH-000036,-0.124089391383831
ACH-000037,-0.14246565303484054
ACH-000039,0.08141012237544999
ACH-000040,-0.059635183602022815
ACH-000041,0.09209785867716204
ACH-000042,-0.1575682227506568
ACH-000045,-0.03849367534358717
ACH-000047,-0.0638979865982791
ACH-000052,-0.11579319622331564
ACH-000053,-0.09319310704693327
ACH-000054,-0.12453875993320628
ACH-000055,-0.2678248921619845
ACH-000060,-0.23982507532154776
ACH-000067,0.0016236419545851961
ACH-000070,-0.049826350603009925
ACH-000075,-0.05395329222328546
ACH-000078,-0.16771255401607402
ACH-000082,-0.0714941256404233
ACH-000085,-0.08447554718565957
ACH-000086,0.1038592294118188
ACH-000087,0.037566364357529455
ACH-000092,-0.07650884749583713
ACH-000095,0.003460645725455099
ACH-000097,-0.10259965546122878
ACH-000098,0.038520861207228425
ACH-000099,-0.13190125630334798
ACH-000108,-0.1461736454274706
ACH-000113,0.009744464017117609
ACH-000116,-0.07601014382501657
ACH-000118,-0.12579474067426466
ACH-000120,-0.039492456828860135
ACH-000123,-0.013185546125436496
ACH-000127,-0.09722870284960454
ACH-000128,-0.3403981118264567
ACH-000132,-0.0444396953028183
ACH-000133,-0.1142188971633204
ACH-000137,-0.2391595312510693
ACH-000138,-0.042638857553896466
ACH-000142,-0.10526295818595624
ACH-000143,0.08704779472670364
ACH-000146,-0.07560967736876201
ACH-000148,-0.04453392221969761
ACH-000150,-0.18745675093589426
ACH-000152,-0.038149160967887716
ACH-000153,-0.011194903287856741
ACH-000159,-0.04536727799842551
ACH-000160,0.08358967780131818
ACH-000163,-0.08269776855445947
ACH-000167,0.3762303976735657
ACH-000168,-0.1443191040277108
ACH-000169,0.033242697963481685
ACH-000178,-0.09920459472416418
ACH-000183,-0.11097104744298453
ACH-000188,-0.009310208559990284
ACH-000189,-0.15236711619811674
ACH-000190,-0.13994503358702795
