,USMG5 (84833)
ACH-000004,-0.23138672829908485
ACH-000005,-0.27656321415172685
ACH-000007,-0.3222560069715941
ACH-000009,-0.1513367895905278
ACH-000011,-0.3458861776709857
ACH-000012,-0.21317776885925085
ACH-000013,-0.3372349658013695
ACH-000014,-0.18317974404012308
ACH-000015,-0.29916114897963164
ACH-000017,-0.12761821615160115
ACH-000018,-0.1187765270625648
ACH-000019,-0.2785202136395325
ACH-000021,-0.20607642074668375
ACH-000022,-0.20798700594273267
ACH-000025,-0.4860962131299277
ACH-000028,-0.14433627124888762
ACH-000030,-0.29877262239134555
ACH-000035,-0.12228163608461835
ACH-000036,-0.20167045747089304
ACH-000037,-0.2297380299811877
ACH-000039,-0.2367809553632917
ACH-000040,-0.1933894844506138
ACH-000041,-0.24249206877505475
ACH-000042,-0.2503232068050544
ACH-000045,-0.09921531558443014
ACH-000047,-0.2987973156646729
ACH-000052,-0.3083776722645751
ACH-000053,-0.24993576263220246
ACH-000054,-0.2918789670865253
ACH-000055,-0.1713169527114036
ACH-000060,-0.3680249078957892
ACH-000067,-0.31272709955283473
ACH-000070,-0.2041007593640121
ACH-000075,-0.26899475668159256
ACH-000078,-0.16669266631897595
ACH-000082,-0.23159310294072585
ACH-000085,-0.05093308882031014
ACH-000086,-0.23266779563537496
ACH-000087,-0.01189371150149687
ACH-000092,-0.2486216092362075
ACH-000095,-0.1959909147042084
ACH-000097,-0.3015068197223588
ACH-000098,-0.25672746097895266
ACH-000099,-0.2119260235872891
ACH-000108,-0.15497830931761394
ACH-000113,-0.21170020863085648
ACH-000116,-0.2709732759263393
ACH-000118,-0.24142097659345385
ACH-000120,-0.05233507869443114
ACH-000123,-0.21823206935667855
ACH-000127,-0.21882188304193825
ACH-000128,-0.15751400284362607
ACH-000132,-0.20768269694803795
ACH-000133,-0.13885746108107785
ACH-000137,-0.1518893431729574
ACH-000138,-0.17907112649616927
ACH-000142,-0.18946374918376813
ACH-000143,-0.2502787561736813
ACH-000146,-0.13451435483037838
ACH-000148,-0.22755281212783995
ACH-000150,-0.39637379986922333
ACH-000152,-0.25077792604221666
ACH-000153,-0.3679022043708397
ACH-000159,-0.2558243829744662
ACH-000160,-0.2547417967857676
ACH-000163,-0.2616783810696131
ACH-000167,-0.5441224485009155
ACH-000168,-0.26242606078026376
ACH-000169,-0.2876305698914002
ACH-000178,-0.2994262023939821
ACH-000183,0.024841712531396224
ACH-000188,-0.2792559881186386
ACH-000189,-0.3957412289753373
ACH-000190,-0.3110357657933304
ACH-000198,-0.17184983255691866
ACH-000203,0.1767675385854335
ACH-000204,-0.21951562009197167
ACH-000206,-0.2614602684269471
ACH-000207,-0.1070366928483434
ACH-000208,-0.08679408666072427
ACH-000210,-0.28398933314315805
ACH-000211,-0.2795272697329614
ACH-000215,-0.1736839787681396
ACH-000221,-0.16814045450578774
ACH-000222,-0.12346007220965692
ACH-000223,-0.32331138489411543
ACH-000226,-0.20129547417000546
ACH-000227,-0.2461766443378077
ACH-000228,-0.19329025682694875
ACH-000231,-0.2742597746570157
ACH-000232,-0.2166301342045026
ACH-000233,-0.14425731076385867
ACH-000234,-0.1655486511457221
ACH-000235,-0.15778224106168312
ACH-000237,-0.18467089219943209
ACH-000238,-0.1898183927653835
ACH-000242,-0.01403513394702965
ACH-000243,-0.19362541396833444
ACH-000244,-0.20294342987351693
ACH-000246,-0.18353505886373386
ACH-000248,-0.3492958944309051
ACH-000250,-0.24083671205660984
ACH-000251,-0.25512096743936724
ACH-000252,-0.35434212322197306
ACH-000253,-0.2537094597053385
ACH-000255,-0.2708798562545949
ACH-000256,-0.1409473687661342
ACH-000257,-0.2319374893611346
ACH-000258,-0.3013980527289018
ACH-000259,-0.5393255812085567
ACH-000260,-0.23435832543601715
ACH-000261,-0.29416903831936736
ACH-000262,-0.15703746577683428
ACH-000263,-0.08516891943828449
ACH-000264,-0.20334759608654032
