,NCBP2 (22916)
ACH-000004,-1.7213316871597573
ACH-000005,-2.401423492086245
ACH-000007,-1.1606118055846812
ACH-000009,-1.4808823810867229
ACH-000011,-1.3067882770673676
ACH-000012,-1.2005319004368562
ACH-000013,-1.1460099509654935
ACH-000014,-1.2954763321210645
ACH-000015,-1.4658394232725325
ACH-000017,-1.0863436717744237
ACH-000018,-1.3997719477637285
ACH-000019,-1.150408576019681
ACH-000021,-1.2738035066190845
ACH-000022,-1.0901399181404778
ACH-000025,-1.2984841345407006
ACH-000028,-1.1235438035023242
ACH-000030,-1.4616235928216372
ACH-000035,-1.353122898926551
ACH-000036,-1.3028735949341046
ACH-000037,-0.7595765342652461
ACH-000039,-1.3431338443486651
ACH-000040,-1.2277509252401004
ACH-000041,-1.863313541052377
ACH-000042,-1.2768420217208774
ACH-000045,-1.6368737875912982
ACH-000047,-1.5491092283360797
ACH-000052,-1.203852324857969
ACH-000053,-1.286894688099417
ACH-000054,-1.125953788409124
ACH-000055,-1.1704536104993992
ACH-000060,-1.5331234936575608
ACH-000067,-1.4154200658474054
ACH-000070,-1.1221855170845596
ACH-000075,-1.1190720900152542
ACH-000078,-1.3156058561657684
ACH-000082,-1.4412063993609738
ACH-000085,-1.451185973539179
ACH-000086,-1.3019784933402467
ACH-000087,-1.5064925171909958
ACH-000092,-1.151628294839531
ACH-000095,-1.2475888222979987
ACH-000097,-1.4935771409513838
ACH-000098,-1.382236733435099
ACH-000099,-1.179445299848291
ACH-000108,-1.4227034691570148
ACH-000113,-1.301492223284736
ACH-000116,-1.405123950779262
ACH-000118,-1.2274127024913462
ACH-000120,-1.3258429175058288
ACH-000123,-1.1454713680825477
ACH-000127,-1.304580083560127
ACH-000128,-1.5556820979554955
ACH-000132,-1.3604014136320621
ACH-000133,-1.342357958993541
ACH-000137,-1.2674443015684378
ACH-000138,-1.4834988161214544
ACH-000142,-1.2882272586405252
ACH-000143,-1.2899893064580186
ACH-000146,-1.3185903079010637
ACH-000148,-1.3366988337639067
ACH-000150,-1.3326062816470972
ACH-000152,-1.3055460902375438
ACH-000153,-1.4892482189161174
ACH-000159,-1.2587735492485486
ACH-000160,-0.8132909226735695
ACH-000163,-1.4853133262694955
ACH-000167,-1.2702492461864647
ACH-000168,-1.5434637196756742
ACH-000169,-1.4185430222210833
ACH-000178,-1.433341126612255
ACH-000183,-1.1680290801480269
ACH-000188,-1.1216296077347865
ACH-000189,-1.5020232953792316
ACH-000190,-0.7541796572343987
ACH-000198,-1.4474561491622238
ACH-000203,-1.4727824031531014
ACH-000204,-0.9298461598399854
ACH-000206,-1.6658512664401581
ACH-000207,-1.092601620794698
ACH-000208,-1.286927801514172
ACH-000210,-1.390741589363724
ACH-000211,-1.342248308862927
ACH-000215,-1.410112391136783
ACH-000221,-1.5037160958116371
ACH-000222,-1.26149002287139
ACH-000223,-1.215522741224348
ACH-000226,-1.4181648535911802
ACH-000227,-1.002247355404852
ACH-000228,-1.4429669099073716
ACH-000231,-1.1413361235112407
ACH-000232,-1.4586261343480058
ACH-000233,-1.513792078565105
ACH-000234,-1.3251645420073637
ACH-000235,-1.4959793620739967
ACH-000237,-1.5266773263695088
ACH-000238,-1.1697654722728694
ACH-000242,-1.4574404761754258
ACH-000243,-1.5238291427913617
ACH-000244,-1.2061017418821345
ACH-000246,-1.385378887268315
ACH-000248,-1.0489239877039005
ACH-000250,-1.6025739894787654
ACH-000251,-1.8073098480709644
ACH-000252,-1.3469616286653137
ACH-000253,-1.2936601870028923
ACH-000255,-1.1890648322490789
ACH-000256,-1.58815772294645
ACH-000257,-1.2990175567690296
ACH-000258,-1.5661496983145038
ACH-000259,-1.436375911033564
ACH-000260,-1.441343500786047
ACH-000261,-1.6081599615449431
ACH-000262,-1.3376072499904756
ACH-000263,-1.3106389667513096
ACH-000264,-1.2956319428454868
ACH-000265,-1.4281415087456686
ACH-000266,-1.3910548671883292
ACH-000272,-1.152224346095304
ACH-000274,-1.1820948007376777
ACH-000277,-1.0007730391274872
ACH-000278,-1.362948048193144
ACH-000279,-1.2835494518295367
ACH-000280,-1.3493879088080794
ACH-000281,-1.4722237560329758
ACH-000288,-1.3348536170356593
ACH-000291,-1.6045911019576222
ACH-000293,-1.5235987673106868
ACH-000294,-1.6953322504733752
ACH-000295,-1.3040101827462445
ACH-000296,-1.3109719659713683
ACH-000302,-1.3579991066467565
ACH-000304,-1.4814626894195069
ACH-000307,-1.4772189597772312
ACH-000308,-1.1759396122628845
ACH-000310,-1.0043588364373697
ACH-000311,-1.558697631063675
ACH-000312,-1.2836013493141638
ACH-000315,-1.1284939089112185
ACH-000316,-1.3936083078003059
ACH-000317,-1.1868613182367265
ACH-000318,-1.538678798756134
ACH-000319,-1.4521617343797006
ACH-000320,-1.3354404843929275
ACH-000322,-1.09949438914011
ACH-000323,-1.4318458410379995
ACH-000324,-1.333560403937616
ACH-000329,-1.4220075054665793
ACH-000330,-1.2872128825659053
ACH-000331,-1.4490664178510515
ACH-000332,-1.2732242127413012
ACH-000334,-1.7417412563033663
ACH-000335,-1.3469038062107306
ACH-000336,-1.41122433291847
ACH-000337,-1.7090587825431962
ACH-000338,-1.441005352800515
ACH-000339,-1.4557594527409046
ACH-000341,-1.3961750424508759
ACH-000348,-1.143616129425107
ACH-000350,-1.2197754949292303
ACH-000352,-1.499089214975794
ACH-000356,-1.4406855749162142
ACH-000361,-1.4212681992534508
ACH-000362,-1.6536052869419882
ACH-000363,-1.3980017408825438
ACH-000364,-1.3482467978320034
ACH-000365,-1.1899375151214306
ACH-000366,-1.3707198738789457
ACH-000368,-1.107280797273506
ACH-000374,-1.4251126059284205
ACH-000375,-1.2154299401947344
ACH-000376,-1.26452995290001
ACH-000381,-1.4213680152476884
ACH-000383,-1.2409265259492628
ACH-000387,-1.225721824598886
ACH-000389,-1.306449226175319
ACH-000390,-1.2197634076761936
ACH-000393,-1.7707846909284852
ACH-000395,-1.0519152216921064
ACH-000396,-1.1529754229605946
ACH-000397,-1.4888971858126998
ACH-000401,-1.250616408143315
ACH-000402,-1.5176512547165504
ACH-000403,-1.1464906086812428
ACH-000404,-1.118991886139209
ACH-000406,-1.6701630543489507
ACH-000407,-1.3500733286730735
ACH-000408,-1.203599991538301
ACH-000410,-1.3736498020676011
ACH-000411,-1.558136118030627
ACH-000414,-1.4709154996504183
ACH-000415,-1.3046744963579229
ACH-000416,-1.2619867143769206
ACH-000420,-1.339171820942992
ACH-000421,-1.3151710805399026
ACH-000424,-1.4450187231499385
ACH-000425,-1.11358999693041
ACH-000426,-1.9598539010741731
ACH-000427,-1.207436174664032
ACH-000433,-1.1478223268307364
ACH-000435,-1.3254453086863325
ACH-000436,-1.42174076561527
ACH-000444,-1.0743159037674022
ACH-000445,-1.1897491844796737
ACH-000448,-1.417859676692521
ACH-000450,-1.3306187987608036
ACH-000452,-1.3451743025328686
ACH-000454,-1.3907037750534976
ACH-000458,-1.470341424162972
ACH-000459,-1.3812118181007105
ACH-000460,-1.342655688947796
ACH-000461,-1.356265260415804
ACH-000463,-1.4299799475846091
ACH-000464,-1.2195369660094502
ACH-000466,-1.5134192513233649
ACH-000467,-1.333343668150886
ACH-000468,-1.3554151935412535
ACH-000469,-1.397992389486981
ACH-000470,-1.3315031965018471
ACH-000471,-1.2549692736756617
ACH-000472,-1.1888247692636071
ACH-000473,-1.3697839596589358
ACH-000475,-1.2815270401972705
ACH-000476,-1.3547057539168
ACH-000477,-1.2648590389019445
ACH-000479,-1.206597438896962
ACH-000480,-1.509075315742729
ACH-000481,-1.6260835659904596
ACH-000483,-1.4263857107933056
ACH-000484,-1.5816312092787514
ACH-000485,-1.1107502221124574
ACH-000486,-1.119763234600954
ACH-000487,-1.6227379102985735
ACH-000488,-1.3717510572246827
ACH-000490,-1.3837856217952296
ACH-000491,-1.3670067477918768
ACH-000495,-1.4068596826689672
ACH-000496,-1.4100201516070372
ACH-000499,-1.4701216296952857
ACH-000500,-1.3133630257473206
ACH-000502,-1.3288594630801205
ACH-000503,-1.2933597560033443
ACH-000505,-1.2790938776324852
ACH-000507,-1.3712068615695578
ACH-000510,-1.1452174006247424
ACH-000511,-1.3521617593957398
ACH-000512,-1.225522055535368
ACH-000516,-1.5692765717917336
ACH-000517,-1.3086956977741802
ACH-000518,-1.3500525533455083
ACH-000520,-1.512338217714638
ACH-000521,-1.3930388689715705
ACH-000522,-1.4369722040387778
ACH-000524,-1.5239121527983457
ACH-000527,-1.145661765372303
ACH-000528,-1.1802280508914786
ACH-000537,-1.1539553868396717
ACH-000541,-1.4051184450158514
ACH-000542,-1.3370128110296726
ACH-000544,-1.0944613056635135
ACH-000545,-1.3712283972896386
ACH-000547,-1.3721521526509042
ACH-000548,-1.4366423347228536
ACH-000549,-1.2956451288756703
ACH-000550,-1.4247209161221437
ACH-000552,-1.2840587148313494
ACH-000556,-1.630923779440279
ACH-000557,-1.260041550845415
ACH-000569,-1.1794301841689518
ACH-000570,-1.3405161114881898
ACH-000571,-1.4004351535479374
ACH-000573,-1.493567068538754
ACH-000576,-1.4681420596293195
ACH-000579,-1.2637948055045662
ACH-000580,-1.3845771968660665
ACH-000584,-1.6838257831340269
ACH-000585,-1.52474500207811
ACH-000588,-1.3415969201749045
ACH-000589,-1.1611823238742818
ACH-000591,-1.3907868714047575
ACH-000593,-1.28697956031795
ACH-000600,-1.2317179177922697
ACH-000601,-1.3504346629079402
ACH-000605,-1.4208934425882287
ACH-000606,-1.084472261805389
ACH-000608,-1.1179658476699772
ACH-000614,-1.2418427293860803
ACH-000616,-1.4864842775525178
ACH-000618,-1.0276754702383102
ACH-000619,-1.0525119579918794
ACH-000620,-1.303081457852891
ACH-000621,-1.1859373129950082
ACH-000622,-1.3826796876078642
ACH-000623,-1.3681301381044777
ACH-000624,-1.3058130126302638
ACH-000627,-1.4628021577621702
ACH-000630,-1.3525484394973029
ACH-000631,-1.5257183510393617
ACH-000632,-1.0786635309745716
ACH-000633,-0.9889971964448078
ACH-000637,-1.250769788817859
ACH-000638,-1.2557473146328586
ACH-000646,-1.0113467768773747
ACH-000647,-1.372498210246973
ACH-000648,-1.4990721676804462
ACH-000649,-1.455837847385157
ACH-000651,-1.3467037819802603
ACH-000652,-1.368326081446466
ACH-000653,-1.4168509654071173
ACH-000657,-1.4894598916457824
ACH-000658,-1.5632144487311908
ACH-000661,-1.4550374683928833
ACH-000662,-1.057371960865081
ACH-000663,-1.4844805549635711
ACH-000665,-1.4362837621480842
ACH-000671,-1.4056978682625616
ACH-000672,-1.5548463761791538
ACH-000673,-1.1031133863959708
ACH-000676,-1.291298627613868
ACH-000677,-1.0310139081199454
ACH-000681,-1.547886655563654
ACH-000683,-1.2398483517342562
ACH-000684,-1.3937494561831825
ACH-000688,-1.4131158128822692
ACH-000693,-1.4205837313901049
ACH-000694,-1.0438425603689063
ACH-000695,-1.3657447525925068
ACH-000696,-1.4174706394057872
ACH-000697,-1.0653704834335582
ACH-000699,-1.6760487452881985
ACH-000701,-1.4048739408781306
ACH-000706,-1.3916147897829565
ACH-000711,-1.2412457872463962
ACH-000713,-1.2464791603793763
ACH-000714,-1.1576022973589066
ACH-000718,-1.1896267860944425
ACH-000720,-1.69941071674734
ACH-000721,-1.3823698464212142
ACH-000724,-1.5496541686741685
ACH-000725,-0.7986298785335975
ACH-000732,-1.2326589956745695
ACH-000734,-1.5001369275773049
ACH-000735,-1.09533135083793
ACH-000736,-1.1931409318843509
ACH-000738,-1.3817675030310959
ACH-000746,-1.3240264656290863
ACH-000747,-1.3477583540261555
ACH-000748,-1.369595505116589
ACH-000753,-1.4827125724679897
ACH-000756,-1.5637162653264538
ACH-000757,-1.3400672331254757
ACH-000758,-1.3092044314155482
ACH-000760,-1.361991227636815
ACH-000762,-1.4742374896785864
ACH-000763,-1.6055991173807451
ACH-000764,-1.4931375787451504
ACH-000765,-1.339437641297544
ACH-000766,-1.2342714620339064
ACH-000767,-1.4554837679753043
ACH-000768,-1.391670838332709
ACH-000769,-1.2168118803433603
ACH-000770,-1.6038046283736003
ACH-000771,-1.0578103394905296
ACH-000773,-1.3063922165023172
ACH-000776,-1.2845537465929062
ACH-000777,-1.2269664600730812
ACH-000778,-1.6164418241963374
ACH-000781,-1.503799999279002
ACH-000782,-1.4113739034328685
ACH-000783,-1.182712903710872
ACH-000784,-1.20041899458473
ACH-000785,-1.521535680315106
ACH-000787,-1.5020803845917154
ACH-000788,-1.3740576177543415
ACH-000791,-1.5347013027746057
ACH-000792,-1.6400501126698368
ACH-000794,-1.3646112080926251
ACH-000796,-1.2752309359848204
ACH-000798,-1.4808176498199532
ACH-000799,-1.1881813952381004
ACH-000800,-1.3032194798242671
ACH-000802,-1.156143014260666
ACH-000804,-1.4475640740569495
ACH-000805,-1.074966829508015
ACH-000809,-1.0996464030857855
ACH-000810,-1.0159614759112578
ACH-000811,-1.3626840023642384
ACH-000817,-1.3404638339799388
ACH-000819,-1.3411569760392943
ACH-000820,-1.0539253296888802
ACH-000821,-1.4747838956515391
ACH-000822,-1.1793244239571157
ACH-000823,-1.2934844576856466
ACH-000824,-1.2377797986199437
ACH-000827,-1.2417624476491942
ACH-000829,-1.2759879548328614
ACH-000831,-1.4348734117758501
ACH-000832,-1.3278329269160585
ACH-000833,-1.4481835445077955
ACH-000834,-1.3602821351654684
ACH-000835,-1.4610251566344536
ACH-000836,-0.9915579117507352
ACH-000837,-1.3541004463106103
ACH-000838,-1.6974470586729131
ACH-000839,-1.1546098341966469
ACH-000840,-1.7086958348144146
ACH-000841,-1.48318731189197
ACH-000843,-1.2345572128421858
ACH-000846,-1.5505727197802188
ACH-000847,-1.2925383352228843
ACH-000848,-1.309487152456395
ACH-000849,-1.2041730084318327
ACH-000851,-1.6458065878255048
ACH-000855,-1.4875525327512056
ACH-000856,-1.1839163405923805
ACH-000858,-1.2621886558384685
ACH-000859,-1.1553307720228536
ACH-000861,-1.395251119801805
ACH-000862,-1.2852957055396823
ACH-000865,-1.446097675054494
ACH-000866,-1.4641805298442312
ACH-000867,-1.4232769263091618
ACH-000869,-1.357455881079845
ACH-000872,-1.6645470527705275
ACH-000873,-1.0408451147709652
ACH-000876,-1.202721538785605
ACH-000878,-2.049146562964204
ACH-000880,-1.2377025615942845
ACH-000881,-1.242412744433864
ACH-000882,-1.2226223603720818
ACH-000884,-1.3299352949148124
ACH-000885,-1.1969951002203965
ACH-000887,-1.4204105466704378
ACH-000889,-1.4916541674521764
ACH-000896,-1.5975087929061715
ACH-000898,-1.2163249842062764
ACH-000900,-1.2863589403534723
ACH-000901,-1.4282704448997017
ACH-000905,-1.4444420438651604
ACH-000906,-1.2757046341859797
ACH-000907,-1.263445186430634
ACH-000910,-1.2509242252244783
ACH-000911,-1.4151239229785966
ACH-000912,-1.459120415359304
ACH-000913,-1.4430263459416444
ACH-000915,-1.0414082666393356
ACH-000916,-1.2001712952367112
ACH-000917,-1.5458652632852738
ACH-000920,-1.6215734269869977
ACH-000921,-1.341164617609684
ACH-000924,-1.4282577017773812
ACH-000926,-1.3543772602520705
ACH-000928,-1.2548386745926523
ACH-000929,-1.2455883792392328
ACH-000932,-1.2706156478030697
ACH-000935,-1.2047367873850154
ACH-000936,-1.4534750268119152
ACH-000937,-1.5606810510542457
ACH-000938,-1.1277519949826214
ACH-000939,-1.3386770690001837
ACH-000941,-1.2108350825374974
ACH-000943,-1.3924184339159438
