,UBE4B (10277)
ACH-000004,-0.16020292536645184
ACH-000005,-0.1857321289527982
ACH-000007,-0.5121206868011537
ACH-000009,-0.29443442805939657
ACH-000011,-0.15726271530300406
ACH-000012,-0.4095738362868207
ACH-000013,-0.07183096489865848
ACH-000014,-0.4466072617955177
ACH-000015,-0.3206248716855872
ACH-000017,-0.33129441022785355
ACH-000018,-0.2253527811960129
ACH-000019,-0.17369411597135995
ACH-000021,-0.3219224384053109
ACH-000022,-0.21535858927363846
ACH-000025,-0.4226096821048131
ACH-000028,-0.44732899751930255
ACH-000030,-0.1758674241576702
ACH-000035,-0.5133112222267204
ACH-000036,-0.25528487219890594
ACH-000037,-0.25348167651198444
ACH-000039,-0.495798172780787
ACH-000040,-0.5314595359054042
ACH-000041,-0.11025638435853766
ACH-000042,-0.3454697604387031
ACH-000045,-0.2395590480732153
ACH-000047,-0.10003028015231644
ACH-000052,-0.4509790112676881
ACH-000053,-0.2219100964570357
ACH-000054,-0.3445692027380529
ACH-000055,-0.5861186266888585
ACH-000060,-0.3284234480228765
ACH-000067,-0.34674459514108597
ACH-000070,-0.4072358746901373
ACH-000075,-0.3731328117374496
ACH-000078,-0.0742845297524564
ACH-000082,-0.14590739903983432
ACH-000085,-0.07403995844964535
ACH-000086,-0.6319092193311682
ACH-000087,-0.2300561834081561
ACH-000092,-0.39558694920309306
ACH-000095,-0.3180048037931144
ACH-000097,-0.1375381788248334
ACH-000098,-0.4096215043021587
ACH-000099,-0.24113429161419345
ACH-000108,-0.3666188236809985
ACH-000113,-0.3425544536607354
ACH-000116,0.07649278051984686
ACH-000118,-0.3314954638328237
ACH-000120,-0.2735925216659084
ACH-000123,-0.6460425131492828
ACH-000127,-0.3214921051729386
ACH-000128,-0.6357723766893266
ACH-000132,-0.1788098381867653
ACH-000133,-0.2685963444323861
ACH-000137,-0.29102526490217584
ACH-000138,-0.3963949001261514
ACH-000142,-0.37804652175857584
ACH-000143,-0.30938191479454563
ACH-000146,-0.2309678652567602
ACH-000148,-0.4853510398527942
ACH-000150,-0.5374094694046843
ACH-000152,-0.3018983514144641
ACH-000153,-0.26068447237274706
ACH-000159,-0.2789260184291085
ACH-000160,-0.12055521734210467
ACH-000163,-0.15696282688123378
ACH-000167,-0.2767256616594036
ACH-000168,-0.5119086829816847
ACH-000169,-0.3173418754657837
ACH-000178,-0.3971803201032163
ACH-000183,-0.489310483770385
ACH-000188,-0.3490171051726141
ACH-000189,-0.3371892155652157
ACH-000190,-0.4703349302119876
ACH-000198,-0.4794928275272487
ACH-000203,-0.6157083246254206
ACH-000204,-0.20180947709143573
ACH-000206,-0.29909341073933354
ACH-000207,-0.3630935791732853
ACH-000208,-0.2426338090385923
ACH-000210,-0.3758906243865503
ACH-000211,-0.3464162799607396
ACH-000215,-0.4154081133164991
ACH-000221,-0.44542982545989857
ACH-000222,-0.601517120430456
ACH-000223,-0.2866246167648884
ACH-000226,-0.3222223819911661
ACH-000227,-0.2343834788151535
ACH-000228,-0.2756224783887366
ACH-000231,-0.3883934181465197
ACH-000232,-0.3551825196371502
ACH-000233,-0.6844813980406353
ACH-000234,-0.5127416076822965
ACH-000235,-0.3165538431076376
ACH-000237,-0.5304315510727848
ACH-000238,-0.4310638839970161
ACH-000242,0.1744323591013991
ACH-000243,-0.10228304841774538
ACH-000244,-0.09937367155722547
ACH-000246,-0.4470160940893558
ACH-000248,-0.3730089273176152
ACH-000250,-0.332825430811019
