,IL12RB2 (3595)
ACH-000004,-0.2463498298094683
ACH-000005,-0.15747246103038393
ACH-000007,-0.13005750951725106
ACH-000009,-0.30082443581535306
ACH-000011,-0.15866660887373482
ACH-000012,-0.20927164123603004
ACH-000013,-0.2873197440823697
ACH-000014,-0.2259007676304701
ACH-000015,-0.16380069197733493
ACH-000017,-0.2335791728108156
ACH-000018,-0.3553038863008133
ACH-000019,-0.30463501586435304
ACH-000021,-0.3800578897101223
ACH-000022,-0.2325723511399821
ACH-000025,-0.34704089115751546
ACH-000028,-0.21458989866773576
ACH-000030,-0.2106728816905294
ACH-000035,-0.31029658287102385
ACH-000036,-0.20618493727156745
ACH-000037,-0.185262384550768
ACH-000039,-0.0492699542350186
ACH-000040,-0.3366765432408813
ACH-000041,-0.13298483205239972
ACH-000042,-0.28645908807043896
ACH-000045,-0.13375915984413395
ACH-000047,-0.08071149721305783
ACH-000052,-0.17118379456386876
ACH-000053,-0.16426636044718193
ACH-000054,-0.26626606065296204
ACH-000055,-0.3442102855000788
ACH-000060,-0.40117040255227737
ACH-000067,-0.3175265413051878
ACH-000070,-0.2455249706373622
ACH-000075,-0.2279464833723297
ACH-000078,-0.24602472157980276
ACH-000082,-0.28357969705063873
ACH-000085,-0.2590239224184452
ACH-000086,-0.1820463041043188
ACH-000087,-0.432433220162217
ACH-000092,-0.4501718225070742
ACH-000095,-0.2651123216824764
ACH-000097,-0.1141599719547155
ACH-000098,-0.33753603324586656
ACH-000099,-0.125115077709738
ACH-000108,-0.24162396310823156
ACH-000113,-0.3401440493120389
ACH-000116,-0.2629310413265917
ACH-000118,-0.2962216481352116
ACH-000120,-0.3147060095205092
ACH-000123,-0.19772494803349144
ACH-000127,-0.19299475433679736
ACH-000128,-0.31998456803928865
ACH-000132,-0.24171527557623276
ACH-000133,-0.1857431479725085
ACH-000137,-0.13337780101223
ACH-000138,-0.3054261067902913
ACH-000142,-0.3735835156862708
ACH-000143,-0.4221551572853465
ACH-000146,-0.19787009222099214
ACH-000148,-0.23291821395467024
ACH-000150,-0.4148952223491813
ACH-000152,-0.26208411704773804
ACH-000153,-0.1828391645581596
ACH-000159,-0.233475003304888
ACH-000160,-0.27353528219782564
ACH-000163,-0.19430811774186127
ACH-000167,-0.2109331123710257
ACH-000168,-0.10980048183107344
ACH-000169,-0.2170435476739745
ACH-000178,-0.20522509438886824
ACH-000183,-0.008408059759531501
ACH-000188,-0.1498927465897873
ACH-000189,-0.10729235691149183
ACH-000190,-0.18462240666081425
ACH-000198,-0.2141509095626313
ACH-000203,-0.13244841378934166
ACH-000204,-0.14872777858118086
ACH-000206,-0.295521883005014
ACH-000207,-0.1835997201180276
ACH-000208,-0.21071399737332655
ACH-000210,-0.11810147965129345
ACH-000211,-0.16680743260591888
ACH-000215,-0.2748226970586233
ACH-000221,-0.15308022281792028
ACH-000222,-0.19994889904109472
ACH-000223,-0.26550359452310485
ACH-000226,-0.3283191849385959
ACH-000227,-0.350781386221148
ACH-000228,-0.3035134662775928
ACH-000231,-0.2607826196959985
ACH-000232,-0.1934192710164554
ACH-000233,-0.08410478893444225
ACH-000234,-0.3850659325051039
ACH-000235,-0.24077820935508906
ACH-000237,-0.2275225158214929
ACH-000238,-0.4531824627528953
ACH-000242,-0.4079786449087677
ACH-000243,-0.2262694725031937
ACH-000244,-0.6889614196984372
ACH-000246,-0.2309089340495673
ACH-000248,-0.2860917527179262
ACH-000250,-0.18253651911737345
ACH-000251,-0.3171104699665923
ACH-000252,-0.5377395854508297
ACH-000253,-0.2704758081655081
ACH-000255,-0.2627362070232137
ACH-000256,-0.3374090376301555
ACH-000257,-0.3662145507016199
ACH-000258,-0.39419104763138574
ACH-000259,-0.4044947113982846
ACH-000260,-0.2575117835033985
ACH-000261,-0.25986971150142585
ACH-000262,-0.22461043295995656
ACH-000263,-0.255498400916132
ACH-000264,-0.21463589459944196
ACH-000265,-0.2163509762460516
ACH-000266,-0.16059374698126624
ACH-000272,-0.2670009117069197
ACH-000274,-0.3754136570842723
ACH-000277,-0.2291719471778029
ACH-000278,-0.3567634126158631
ACH-000279,-0.2452767775342889
ACH-000280,-0.28552896446502296
ACH-000281,-0.13040419998169156
ACH-000288,-0.2288508286564973
ACH-000291,-0.14240898273361854
ACH-000293,-0.3542119239995501
ACH-000294,-0.09189593195367902
ACH-000295,-0.22306459022353486
ACH-000296,-0.17465127635638833
ACH-000302,-0.15519044433472245
ACH-000304,-0.2490301299122025
ACH-000307,-0.25796778615131155
ACH-000308,-0.25747076046570344
ACH-000310,-0.30852366315233604
ACH-000311,-0.4305304629909788
ACH-000312,-0.3687518675921655
ACH-000315,-0.11177742869537408
ACH-000316,-0.27379777681187434
ACH-000317,-0.19908025836339385
ACH-000318,-0.28433692955714035
ACH-000319,-0.17720863930841152
ACH-000320,-0.3390544282619831
ACH-000322,-0.3736764081191065
ACH-000323,-0.3258980597889141
ACH-000324,-0.24383299846011094
ACH-000329,-0.3408328321936999
