,SNRPF (6636)
ACH-000004,-1.189354504723157
ACH-000005,-1.4401410459965502
ACH-000007,-1.3900701174139891
ACH-000009,-1.4382174945238502
ACH-000011,-1.3081415398463605
ACH-000012,-1.4358982068845505
ACH-000013,-1.5566366246577634
ACH-000014,-1.4088660321447568
ACH-000015,-1.4462379059829071
ACH-000017,-1.3385562005820335
ACH-000018,-1.4428049166406236
ACH-000019,-1.5267467936104733
ACH-000021,-1.3798792206139934
ACH-000022,-1.525601831178157
ACH-000025,-1.4717054931856643
ACH-000028,-1.2425609728880065
ACH-000030,-1.4774695922598635
ACH-000035,-1.1368380484429483
ACH-000036,-1.4397993702263874
ACH-000037,-1.5971539914657396
ACH-000039,-1.4949670252166225
ACH-000040,-1.3374140423664316
ACH-000041,-1.3615136365769958
ACH-000042,-1.4290218823543892
ACH-000045,-1.5240375296520292
ACH-000047,-1.5125759093529343
ACH-000052,-1.5581399609832869
ACH-000053,-1.409275316467017
ACH-000054,-1.3727774977034568
ACH-000055,-1.2976063739750112
ACH-000060,-1.3152948132292286
ACH-000067,-1.4486329015043355
ACH-000070,-1.4310517588763847
ACH-000075,-1.149667548605377
ACH-000078,-1.5077454235431766
ACH-000082,-1.4700756916526998
ACH-000085,-1.2994269815995334
ACH-000086,-1.3176381177781962
ACH-000087,-1.1210485149501102
ACH-000092,-1.3131090219895027
ACH-000095,-1.5434560036208886
ACH-000097,-1.4828207245063452
ACH-000098,-1.3572903323814858
ACH-000099,-1.4353690490569198
ACH-000108,-1.4358071192463482
ACH-000113,-1.4641907522851976
ACH-000116,-1.2304452268244122
ACH-000118,-1.3392770553108049
ACH-000120,-1.5645079056564126
ACH-000123,-1.5004504497858344
ACH-000127,-1.4704618627771968
ACH-000128,-1.518826147066885
ACH-000132,-1.3377857841671783
ACH-000133,-1.2039562162763449
ACH-000137,-1.6048012370352784
ACH-000138,-1.2990253619225711
ACH-000142,-1.2384642026691597
ACH-000143,-1.514536187698387
ACH-000146,-1.6067259388967172
ACH-000148,-1.6834061217232432
ACH-000150,-1.3773911068127431
ACH-000152,-1.302655856427667
ACH-000153,-1.3602770563126183
ACH-000159,-1.4483550995830392
ACH-000160,-1.3672168049194695
ACH-000163,-1.4648836900132334
ACH-000167,-2.072391768371329
ACH-000168,-1.25795527462789
ACH-000169,-1.1560060455237562
ACH-000178,-1.292104684100644
ACH-000183,-1.5138287199103808
ACH-000188,-1.3011469589629054
ACH-000189,-1.2468267925869774
ACH-000190,-1.0317140704861292
ACH-000198,-1.4953177469275547
ACH-000203,-1.7030220110166399
ACH-000204,-1.2218528986299733
ACH-000206,-1.4210647208172509
ACH-000207,-1.7972230644410725
ACH-000208,-1.4592844983893292
ACH-000210,-1.5763086302378324
ACH-000211,-1.2022595068430044
ACH-000215,-1.3780774494317949
ACH-000221,-1.770018284621577
ACH-000222,-1.4715059168071376
ACH-000223,-1.5579646662552071
ACH-000226,-1.366630061967644
ACH-000227,-1.3123064278121757
ACH-000228,-1.3755933647367349
ACH-000231,-1.1412630770120586
ACH-000232,-1.473076768792201
ACH-000233,-1.353196703548696
ACH-000234,-1.6015430675868718
