,PPIAL4D (645142)
ACH-000004,-0.4072227922017829
ACH-000005,0.09230744229973427
ACH-000007,-0.3522635153008281
ACH-000009,-0.4972895263416999
ACH-000011,-0.4879611752630353
ACH-000012,-0.2899881093192013
ACH-000013,-0.2457699911865984
ACH-000014,-0.3413461266981805
ACH-000015,-0.19722724547040896
ACH-000017,-0.26341782838311906
ACH-000018,-0.3347163355973005
ACH-000019,-0.18949156471964104
ACH-000021,-0.2442010230507185
ACH-000022,-0.38269388062638615
ACH-000025,-0.3909480788526303
ACH-000028,-0.3602202625019285
ACH-000030,-0.12620908864496533
ACH-000035,-0.16894116369332315
ACH-000036,-0.5008234144822559
ACH-000037,-0.3214702000636445
ACH-000039,-0.4144645326265371
ACH-000040,-0.3250953444209856
ACH-000041,-0.16443503418988892
ACH-000042,-0.3494376869842055
ACH-000045,-0.4217625694865416
ACH-000047,-0.3077397383979136
ACH-000052,-0.3615002437995769
ACH-000053,-0.24383589754722795
ACH-000054,-0.15525990680559618
ACH-000055,-0.4101331366626585
ACH-000060,-0.23645412009315306
ACH-000067,-0.2338891925141873
ACH-000070,-0.16316575655550944
ACH-000075,-0.2878269117663516
ACH-000078,-0.38092056878040426
ACH-000082,-0.236146434313963
ACH-000085,-0.17187613090852605
ACH-000086,-0.3925466812689575
ACH-000087,-0.22572765572664766
ACH-000092,-0.4276249187952388
ACH-000095,-0.3583635755564773
ACH-000097,-0.4967182636446734
ACH-000098,-0.3064407600123127
ACH-000099,-0.4138598089339171
ACH-000108,-0.21855520843243129
ACH-000113,-0.2470590358357534
ACH-000116,-0.2919998764334498
ACH-000118,-0.2987422722992282
ACH-000120,-0.3983250370453099
ACH-000123,-0.4149900055030805
ACH-000127,-0.2904215587169042
ACH-000128,-0.3742512327589917
ACH-000132,-0.31366576356247194
ACH-000133,-0.4279701846348883
ACH-000137,-0.340852815470743
ACH-000138,-0.3509259597712723
ACH-000142,-0.5237724645442731
ACH-000143,-0.2599144045642172
ACH-000146,-0.2221535513937128
ACH-000148,-0.24481640129345705
ACH-000150,-0.3229324798761409
ACH-000152,-0.1907301014886709
ACH-000153,-0.478114350865284
ACH-000159,-0.24971833263835094
ACH-000160,-0.3768341642650746
ACH-000163,-0.5916215268975602
ACH-000167,-0.4561593354114785
ACH-000168,-0.2046700271414197
ACH-000169,-0.15190165984039555
ACH-000178,-0.21396300176114968
ACH-000183,-0.2917449962781065
ACH-000188,-0.12334603240776255
ACH-000189,-0.4627309757650071
ACH-000190,-0.2324827125877489
ACH-000198,-0.4106077777048154
ACH-000203,-0.6970140906749809
ACH-000204,-0.3436370888376577
ACH-000206,-0.2964501908213577
ACH-000207,-0.09622342871127054
ACH-000208,-0.4129298464189997
ACH-000210,-0.2448271523016709
ACH-000211,-0.28823953729498525
ACH-000215,-0.5329431928465335
ACH-000221,-0.3003791887916709
ACH-000222,-0.19792097887751348
