,ANKRD36 (375248)
ACH-000004,-0.4300123295354457
ACH-000005,-0.6992161406531121
ACH-000007,-0.4771942137118359
ACH-000009,-0.4425619029396898
ACH-000011,-0.3701174381155031
ACH-000012,-0.5856531389657048
ACH-000013,-0.5702008741600739
ACH-000014,-0.5557956459971309
ACH-000015,-0.3311629794773112
ACH-000017,-0.5024159012600593
ACH-000018,-0.42485077361323975
ACH-000019,-0.4266331296395992
ACH-000021,-0.4877144937627738
ACH-000022,-0.30941811059256275
ACH-000025,-0.6426953337242801
ACH-000028,-0.22457970507783065
ACH-000030,-0.4827976870589206
ACH-000035,-0.3073278708718151
ACH-000036,-0.39295508931220985
ACH-000037,-0.5896622901651632
ACH-000039,-0.4829784482601912
ACH-000040,-0.4894650813753199
ACH-000041,-0.4351530822264625
ACH-000042,-0.3198839527191081
ACH-000045,-0.3413459104957962
ACH-000047,-0.4818644884310643
ACH-000052,-0.4418512408708434
ACH-000053,-0.4099467839042039
ACH-000054,-0.2028071575048068
ACH-000055,-0.4567715070528524
ACH-000060,-0.7013465498575845
ACH-000067,-0.3711271585973178
ACH-000070,-0.6421627658727779
ACH-000075,-0.4729969372071764
ACH-000078,-0.27739476901395066
ACH-000082,-0.4563299938883356
ACH-000085,-0.5776413488790347
ACH-000086,-0.4473050144879225
ACH-000087,-0.4343975817264055
ACH-000092,-0.5768820044636692
ACH-000095,-0.5906269260393946
ACH-000097,-0.3885664977239289
ACH-000098,-0.5209415149549462
ACH-000099,-0.4521473619543488
ACH-000108,-0.4187582932496337
ACH-000113,-0.44916367403680896
ACH-000116,-0.445284814153858
ACH-000118,-0.4801063400745205
ACH-000120,-0.4795816478440281
ACH-000123,-0.454691850593125
ACH-000127,-0.25871653703883346
ACH-000128,-0.4957765381240266
ACH-000132,-0.36279304523769024
ACH-000133,-0.4285497135446955
ACH-000137,-0.6131541817984517
ACH-000138,-0.3903642103928837
ACH-000142,-0.4909011324148271
ACH-000143,-0.42290507756194895
ACH-000146,-0.5031953085513791
ACH-000148,-0.33844629489499684
ACH-000150,-0.456004197669521
ACH-000152,-0.4625322938132889
ACH-000153,-0.2621054892647358
ACH-000159,-0.5292754446408675
ACH-000160,-0.5253447121121791
ACH-000163,-0.4157051872709532
ACH-000167,-1.0254767931887112
ACH-000168,-0.26645545252897435
ACH-000169,-0.2889551078865421
ACH-000178,-0.5225472244707123
ACH-000183,-0.5143030335682444
ACH-000188,-0.5003996537649474
ACH-000189,-0.4048164173496173
ACH-000190,-0.7353674250387333
ACH-000198,-0.3850639647653283
