,NET1 (10276)
ACH-000004,-0.03827730046830498
ACH-000005,0.08572230436346427
ACH-000007,-0.04305501241354105
ACH-000009,-0.08200278377327744
ACH-000011,-0.12442560052673145
ACH-000012,-0.026462474475902317
ACH-000013,-0.0471091970560122
ACH-000014,-0.03409038626311076
ACH-000015,-0.01167410463997969
ACH-000017,0.025751790712992263
ACH-000018,-0.040149776917492525
ACH-000019,-0.18831080838897296
ACH-000021,-0.09767140200050174
ACH-000022,-0.0862902805920352
ACH-000025,-0.006671459526448968
ACH-000028,-0.049415680752358165
ACH-000030,-0.04041960131061532
ACH-000035,-0.01903976065600789
ACH-000036,-0.07219518008364867
ACH-000037,-0.1650006921158775
ACH-000039,0.10506422216796664
ACH-000040,-0.13105957530647894
ACH-000041,-0.11153398587213093
ACH-000042,-0.041515403832678884
ACH-000045,-0.005060448010034035
ACH-000047,-0.0542318200412768
ACH-000052,-0.08534398281090266
ACH-000053,-0.0013333056566257086
ACH-000054,-0.1034659482856072
ACH-000055,-0.022350068895093857
ACH-000060,-0.05100388404481656
ACH-000067,-0.1678749809285627
ACH-000070,-0.13328281877496714
ACH-000075,0.01431264984315253
ACH-000078,-0.11387848163881392
ACH-000082,-0.0541286624048182
ACH-000085,-0.06625176263826538
ACH-000086,-0.01679103836671069
ACH-000087,0.19827528261379945
ACH-000092,-0.0026834600766687984
ACH-000095,-0.006941591496398937
ACH-000097,-0.10474907423899768
ACH-000098,-0.15242208195940612
ACH-000099,-0.14538101716694118
ACH-000108,0.024573586418659657
ACH-000113,-0.17917006112160228
ACH-000116,0.006184620307211865
ACH-000118,-0.0800537484928211
ACH-000120,-0.16989014366857502
ACH-000123,-0.1364385914450542
ACH-000127,-0.02257233910055548
ACH-000128,0.12854626832187174
ACH-000132,-0.11021973331301324
ACH-000133,0.05070711484919641
ACH-000137,0.004658178096254202
ACH-000138,-0.20952377354157245
ACH-000142,0.10074220744292668
ACH-000143,-0.10356532817256896
ACH-000146,0.00020902709266661522
ACH-000148,-0.20707797876293327
ACH-000150,0.038637484311552416
ACH-000152,0.027088095633860096
ACH-000153,-0.026026197311273737
ACH-000159,-0.0316889319302594
ACH-000160,-0.034970809070852774
ACH-000163,0.029750420473133105
ACH-000167,0.2484157304678112
ACH-000168,-0.2539944006855098
ACH-000169,-0.007147665688709321
ACH-000178,-0.044983122538151836
ACH-000183,-0.010685540421527162
ACH-000188,-0.05617395374046134
ACH-000189,-0.08258837332292203
ACH-000190,-0.10072762268932776
ACH-000198,-0.02943862348484697
ACH-000203,0.1931078777965104
ACH-000204,-0.06237775537217414
ACH-000206,-0.09603808890991138
ACH-000207,-0.2198477156205643
ACH-000208,-0.17205975304862836
ACH-000210,-0.1499950513403394
ACH-000211,0.06921411062503639
ACH-000215,-0.030624855421852788
ACH-000221,-0.0023170735619089137
ACH-000222,-0.016591415704158174
ACH-000223,-0.116368292238994
ACH-000226,0.06766049770018844
ACH-000227,-0.092451170611528
ACH-000228,-0.0012337842672161545
ACH-000231,-0.07885485158723693
ACH-000232,-0.2182463656383227
ACH-000233,-0.03585096940226638
ACH-000234,-0.14586703317465868
ACH-000235,-0.08381126153223686
ACH-000237,-0.16254333213857733
ACH-000238,0.04678840453529457
ACH-000242,-0.0640022106555334
ACH-000243,-0.1218315143941618
ACH-000244,0.04116537999512857
ACH-000246,-0.047728898374310116
ACH-000248,-0.040467608862885376
ACH-000250,-0.17769639401563414
ACH-000251,-0.04902825868520004
ACH-000252,-0.13923296017342945
ACH-000253,0.0500442814485839
ACH-000255,-0.0815598878194488
ACH-000256,-0.12661312056855906
ACH-000257,-0.1514291210995358
ACH-000258,-0.2265035969594479
ACH-000259,-0.040035502913139114
ACH-000260,0.015929326274427613
ACH-000261,-0.0276006704968247
ACH-000262,-0.22943399010349014
ACH-000263,-0.1034210689534902
ACH-000264,-0.09477707572616646
ACH-000265,0.013810340977083729
ACH-000266,-0.0838095670420193
ACH-000272,-0.05340872897223696
ACH-000274,-0.06731015584759414
ACH-000277,-0.18148467273092947
ACH-000278,-0.015357586651918831
ACH-000279,-0.14494943515670927
ACH-000280,-0.20478904404647144
ACH-000281,-0.11899362935233546
ACH-000288,-0.08225135571476505
ACH-000291,-0.1557359572755094
ACH-000293,-0.0025625823262201627
ACH-000294,0.01038187148579612
ACH-000295,-0.16715910595829975
ACH-000296,0.03911348574938237
ACH-000302,-0.12721003986949514
ACH-000304,-0.03337759469677274
ACH-000307,-0.18352595880178524
ACH-000308,-0.08044144151516286
ACH-000310,-0.11248277102055013
ACH-000311,-0.07686145845867749
ACH-000312,0.124417073270588
ACH-000315,0.013164093172867531
