,ATP5E (514)
ACH-000004,-1.0160622220733802
ACH-000005,-0.7870089684321271
ACH-000007,-0.5227782784162118
ACH-000009,-0.6738226601233006
ACH-000011,-0.3667374949816792
ACH-000012,-0.4933018705852597
ACH-000013,-0.7400549662356847
ACH-000014,-0.6611437591215852
ACH-000015,-0.9149456310767028
ACH-000017,-0.5924733072655
ACH-000018,-0.6698028338461187
ACH-000019,-0.7767989616479131
ACH-000021,-0.622237822679172
ACH-000022,-0.6384008001641978
ACH-000025,-0.6186929099405212
ACH-000028,-0.6414504246932048
ACH-000030,-0.6156216373186119
ACH-000035,-0.7306913247909428
ACH-000036,-0.4457119375608932
ACH-000037,-0.4579451138223976
ACH-000039,-0.7354459997691798
ACH-000040,-0.5704361877714725
ACH-000041,-0.6547416611467761
ACH-000042,-0.5198929644821675
ACH-000045,-0.6364906956199453
ACH-000047,-0.695604005160211
ACH-000052,-0.7203872425364796
ACH-000053,-0.7748833292558971
ACH-000054,-0.7029819980643977
ACH-000055,-0.4991821328097981
ACH-000060,-0.5188034241775494
ACH-000067,-0.4083312823468661
ACH-000070,-0.5412285693549685
ACH-000075,-0.6591774088762381
ACH-000078,-0.8128629477908004
ACH-000082,-0.5457768918259825
ACH-000085,-0.7365791232594248
ACH-000086,-0.6944768743472672
ACH-000087,-0.6700219789444757
ACH-000092,-0.5294928984367653
ACH-000095,-0.5517546822162273
ACH-000097,-0.5291895514094498
ACH-000098,-0.7092511014286763
ACH-000099,-0.7608703387261566
ACH-000108,-0.4786398398391961
ACH-000113,-0.7134983680284271
ACH-000116,-0.9085382668118543
ACH-000118,-0.7302665809953623
ACH-000120,-0.6135467435674921
ACH-000123,-0.7203206794516394
ACH-000127,-0.6869623586390528
ACH-000128,-0.8518740959021444
ACH-000132,-0.4725904015647438
ACH-000133,-0.6624950221667609
ACH-000137,-0.4562850967613661
ACH-000138,-0.5327787872414039
ACH-000142,-0.8090767011247775
ACH-000143,-0.7718105571884428
ACH-000146,-0.5254672905385704
ACH-000148,-0.6119623325906444
ACH-000150,-0.8849729335950041
ACH-000152,-0.6087697746938441
ACH-000153,-0.6730265495071226
ACH-000159,-0.672094022580123
ACH-000160,-0.6527760397190839
ACH-000163,-0.6670749967391416
ACH-000167,-0.6654453261418756
ACH-000168,-0.6333152465968012
ACH-000169,-0.9443487684477044
ACH-000178,-0.5103841757985181
ACH-000183,-0.5964410415700634
ACH-000188,-0.5911927777842245
ACH-000189,-0.7314324639348313
ACH-000190,-0.7336475883973081
ACH-000198,-0.8198873572743121
ACH-000203,-0.3933813867166352
ACH-000204,-0.3595772276344634
ACH-000206,-0.3969869790339727
ACH-000207,-0.4265518332897568
ACH-000208,-0.5857066311666738
ACH-000210,-0.7520579070256189
ACH-000211,-0.7901750685541862
ACH-000215,-0.7863156597678665
ACH-000221,-0.8716621548338458
ACH-000222,-0.7059905476997539
ACH-000223,-0.7106316477552843
ACH-000226,-0.5320181047526832
ACH-000227,-0.841535867664749
ACH-000228,-0.4085952360041948
ACH-000231,-0.4099189213800312
ACH-000232,-0.7219003641305145
ACH-000233,-0.7102144685748969
ACH-000234,-0.6858161938718572
ACH-000235,-0.4096432511671805
ACH-000237,-0.3962756986560501
ACH-000238,-0.7034184582415687
ACH-000242,-0.7614165154229267
ACH-000243,-0.3901269518995311
ACH-000244,-0.6696984530091413
ACH-000246,-0.6791501680243404
ACH-000248,-0.8829606931866852
ACH-000250,-0.6710354830663181
ACH-000251,-0.5353548260277267
ACH-000252,-0.6257140761950702
ACH-000253,-0.4938561950459422
ACH-000255,-0.6981579579008973
ACH-000256,-0.4534498011956256
ACH-000257,-0.7696476077844687
ACH-000258,-0.6010249577887581
ACH-000259,-0.8890919897676303
ACH-000260,-0.9078882646475291
ACH-000261,-0.5825785887869669
ACH-000262,-0.52710135146507
ACH-000263,-0.6451340177678082
ACH-000264,-0.6613674587687061
ACH-000265,-0.8876799081919018
ACH-000266,-0.4274297133591606
ACH-000272,-0.7150421305283813
ACH-000274,-0.6387029977026167
ACH-000277,-0.8428173841358519
ACH-000278,-0.5222896742615646
ACH-000279,-0.6473441252254073
ACH-000280,-0.6740163927095971
ACH-000281,-0.6657089776272352
ACH-000288,-0.790614660523501
ACH-000291,-0.6137336941830229
ACH-000293,-0.6965172449884325
ACH-000294,-0.5339942711662958
ACH-000295,-0.4724560063739845
ACH-000296,-0.9112317090879788
ACH-000302,-0.560445634249942
ACH-000304,-0.652519830369158
ACH-000307,-0.648796852543369
ACH-000308,-0.7228203981864598
ACH-000310,-0.5928293560281239
ACH-000311,-0.3979356368820939
ACH-000312,-0.6008014881544753
ACH-000315,-0.6861383345031384
ACH-000316,-0.7407115880330566
ACH-000317,-0.8385401507455408
ACH-000318,-0.6267065803447194
ACH-000319,-0.6899116006468825
ACH-000320,-0.661213252146547
ACH-000322,-0.6324968257446778
ACH-000323,-0.6999913187812848
ACH-000324,-0.5317328061931544
ACH-000329,-0.9327991559423504
ACH-000330,-0.6464229517467122
ACH-000331,-0.7501024704261037
ACH-000332,-0.4501544480776883
ACH-000334,-0.471623584883606
ACH-000335,-0.6969928866131716
ACH-000336,-0.7480615890212085
ACH-000337,-0.7302728381555047
ACH-000338,-1.0203772380960392
ACH-000339,-0.4187212790334845
ACH-000341,-0.5211344409984651
ACH-000348,-0.6420801161879311
ACH-000350,-0.7727698032758521
ACH-000352,-0.696757760177065
ACH-000356,-0.4506589539522004
ACH-000361,-0.858179897464049
ACH-000362,-0.5469219207925196
ACH-000363,-0.7175597953856379
ACH-000364,-0.6416879330552611
ACH-000365,-0.6376411311668911
ACH-000366,-0.5237292437956443
ACH-000368,-0.7238198174707015
ACH-000374,-1.0111342032238886
ACH-000375,-0.7912594193505119
ACH-000376,-0.9711539152538258
ACH-000381,-0.7163574490204734
ACH-000383,-0.5993041216461203
ACH-000387,-0.5436622016104286
ACH-000389,-0.4569506621756371
ACH-000390,-0.719534231927974
ACH-000393,-0.3230337910320393
ACH-000395,-0.7119116935391178
ACH-000396,-0.9745752414023984
ACH-000397,-0.5460262192346901
ACH-000401,-0.4807483422379558
ACH-000402,-0.9372301337796216
ACH-000403,-0.6849405076486543
ACH-000404,-0.8759945120266848
ACH-000406,-0.7689326943549785
ACH-000407,-0.5691655910771906
ACH-000408,-0.7167292550619435
ACH-000410,-0.7314948400734912
ACH-000411,-0.7685248714173489
ACH-000414,-0.7636616827972333
ACH-000415,-0.7031092009869768
ACH-000416,-0.3691673550597779
