,ARSA (410)
ACH-000004,-0.1805588625848552
ACH-000005,-0.121906785173288
ACH-000007,-0.3149134837875782
ACH-000009,-0.3117214537481499
ACH-000011,-0.2311012329931953
ACH-000012,-0.28350680227220953
ACH-000013,-0.37382338648002345
ACH-000014,-0.12447142108525125
ACH-000015,-0.2515243460570957
ACH-000017,-0.3924531463401764
ACH-000018,-0.3026380261781863
ACH-000019,-0.1763488129272318
ACH-000021,-0.27327187952319465
ACH-000022,-0.20360344036965944
ACH-000025,-0.3001156949320584
ACH-000028,-0.1542589361205826
ACH-000030,-0.3892833947388045
ACH-000035,-0.17084600653414092
ACH-000036,-0.3620907535774176
ACH-000037,-0.2357838219222904
ACH-000039,-0.29421864935339537
ACH-000040,-0.2723917936368778
ACH-000041,-0.2405414756502879
ACH-000042,-0.31784182978823833
ACH-000045,-0.25533145168782223
ACH-000047,-0.2583802026957826
ACH-000052,-0.00536505059179878
ACH-000053,-0.2554719018908264
ACH-000054,-0.18663100203883148
ACH-000055,-0.03895862517828453
ACH-000060,-0.3451081776153289
ACH-000067,-0.2734925171402948
ACH-000070,-0.20943025901843268
ACH-000075,-0.12865332675004298
ACH-000078,-0.2567966114327555
ACH-000082,-0.30908631429313976
ACH-000085,-0.4750569001935913
ACH-000086,-0.15912548294458168
ACH-000087,-0.3865155249361824
ACH-000092,-0.19692386277622956
ACH-000095,-0.2468418387814825
ACH-000097,-0.18319818707798727
ACH-000098,-0.16548275008517954
ACH-000099,-0.2938468829980237
ACH-000108,-0.3803559812933351
ACH-000113,-0.27021868332386745
ACH-000116,-0.2763881195654425
ACH-000118,-0.2648141545042102
ACH-000120,-0.3991090742326803
ACH-000123,-0.2863746098876151
ACH-000127,-0.13809160083932304
ACH-000128,-0.3090033457968201
ACH-000132,-0.3395495390920573
ACH-000133,-0.14681972413613978
ACH-000137,-0.20688402882132145
ACH-000138,-0.16316659892336682
ACH-000142,-0.17005191796889133
ACH-000143,-0.29309283248027035
ACH-000146,-0.348842526620079
ACH-000148,-0.20430062276684874
ACH-000150,-0.2911576815758227
ACH-000152,-0.08362665807650567
