,CENPC (1060)
ACH-000004,-0.621690499620965
ACH-000005,-0.3026630916900011
ACH-000007,-0.4545088191589639
ACH-000009,-0.7434054632783058
ACH-000011,-0.5116478355416891
ACH-000012,-0.8122344767862582
ACH-000013,-0.4899644638114696
ACH-000014,-0.4315588427644752
ACH-000015,-0.4121978796197208
ACH-000017,-0.283597688222495
ACH-000018,-0.5697295731710811
ACH-000019,-0.39470803646515656
ACH-000021,-0.5897600426384344
ACH-000022,-0.464924777145557
ACH-000025,-0.5132895837861147
ACH-000028,-0.4571030120344715
ACH-000030,-0.6842608931127461
ACH-000035,-0.6183325695773606
ACH-000036,-0.5742398022011271
ACH-000037,-0.802286198224033
ACH-000039,-0.5473650662175152
ACH-000040,-0.7035582650813079
ACH-000041,-0.6199173582758499
ACH-000042,-0.5069871229577875
ACH-000045,-0.5801472375572113
ACH-000047,-0.5671660822374464
ACH-000052,-0.6571721697091545
ACH-000053,-0.4977902996498337
ACH-000054,-0.7232560322975367
ACH-000055,-0.6774652553619183
ACH-000060,-0.6487818460693361
ACH-000067,-0.27947307574866115
ACH-000070,-0.6074890657751387
ACH-000075,-0.6989701859326993
ACH-000078,-0.6864963347084054
ACH-000082,-0.5584758982638088
ACH-000085,-0.4435285553009149
ACH-000086,-0.6825623693904141
ACH-000087,-1.0805075200629402
ACH-000092,-0.5364366237474868
ACH-000095,-0.4844039831951466
ACH-000097,-0.5121335506865449
ACH-000098,-0.5612265768942908
ACH-000099,-0.5383267495802911
ACH-000108,-0.642006379152796
ACH-000113,-0.4558230618999253
ACH-000116,-0.6249916956659128
ACH-000118,-0.4504878958884022
ACH-000120,-0.6433604482207743
ACH-000123,-0.5641641932368463
ACH-000127,-0.5003892094135151
ACH-000128,-0.6688733950525291
ACH-000132,-0.3699817422291679
ACH-000133,-0.5204998716702866
ACH-000137,-0.4774292178911461
ACH-000138,-0.5268428237484227
ACH-000142,-0.5364917342015717
ACH-000143,-0.5788918363102944
ACH-000146,-0.3190943254800808
ACH-000148,-0.592741810791304
ACH-000150,-0.5606278658568494
ACH-000152,-0.5209292423813103
ACH-000153,-0.7473490534094528
ACH-000159,-0.6750908527189393
ACH-000160,-0.2037246370091886
ACH-000163,-0.5543161034529582
ACH-000167,-0.580392423388323
ACH-000168,-0.6238834151656942
ACH-000169,-0.6142353936175567
ACH-000178,-0.4293924950752512
ACH-000183,-0.4273080344072435
ACH-000188,-0.5450122056722954
ACH-000189,-0.7327742854846258
ACH-000190,-0.3131415573609165
ACH-000198,-0.3321620204976649
ACH-000203,-0.5269711087622462
ACH-000204,-0.5666565668043941
ACH-000206,-0.5010837078053271
ACH-000207,-0.21585297543541446
ACH-000208,-0.5269491031792003
ACH-000210,-0.5864876397024019
ACH-000211,-0.8489471960585567
ACH-000215,-0.6256003406776403
ACH-000221,-0.4578579992363838
ACH-000222,-0.5291427284012665
ACH-000223,-0.5012295898184619
ACH-000226,-0.4920872681683522
ACH-000227,-0.4508385625278913
ACH-000228,-0.6140848323569793
ACH-000231,-0.4623212418749562
ACH-000232,-0.4479664746220494
ACH-000233,-0.5217435103990096
ACH-000234,-1.06681055091776
ACH-000235,-0.4205292321216446
ACH-000237,-0.5511623120026694
ACH-000238,-0.6107644521417601
ACH-000242,-0.5286917776776282
ACH-000243,-0.5932092566904553
ACH-000244,-0.2662730287380502
ACH-000246,-0.5129397653358411
ACH-000248,-0.5118828092570745
ACH-000250,-0.2223272866897451
ACH-000251,-0.530579128438378
ACH-000252,-0.4505629376132443
ACH-000253,-0.6850357449601187
ACH-000255,-0.3409315603201719
ACH-000256,-0.6609766914612579
ACH-000257,-0.5654576598160543
ACH-000258,-0.3334771826600893
ACH-000259,-0.391370888411865
ACH-000260,-0.6750747514711664
ACH-000261,-0.4687077959423008
ACH-000262,-0.44980817421739416
ACH-000263,-0.4253243043833223
ACH-000264,-0.6237973732129817
ACH-000265,-0.5167241902403693
ACH-000266,-0.5020126214618312
ACH-000272,-0.3989210471203167
ACH-000274,-0.4402622711901748
ACH-000277,-0.39106242011789655
ACH-000278,-0.4522619861958764
ACH-000279,-0.7508883622285929
ACH-000280,-0.4395230691176243
ACH-000281,-0.4801010104462799
ACH-000288,-0.5822032849382874
ACH-000291,-0.5131426348119877
ACH-000293,-0.5660184437023179
ACH-000294,-0.4890851679903914
ACH-000295,-0.5779584836476481
ACH-000296,-0.32634982380796
ACH-000302,-0.4828325794123142
ACH-000304,-0.3663799140740056
ACH-000307,-0.3600612179098558
ACH-000308,-0.5044188344921894
ACH-000310,-0.4926943932815082
ACH-000311,-0.3988397933378763
ACH-000312,-0.4347529808955404
ACH-000315,-0.30807420557559595
ACH-000316,-0.5227286364265873
ACH-000317,-0.5742118258200085
ACH-000318,-0.4759178545060585
ACH-000319,-0.5935915931704354
