,MEX3B (84206)
ACH-000004,-0.1900211836799144
ACH-000005,-0.42571884000184296
ACH-000007,-0.1130828831453466
ACH-000009,-0.2788143058049879
ACH-000011,-0.14103790390982412
ACH-000012,-0.1901081727690272
ACH-000013,-0.33225553448851297
ACH-000014,-0.04483672138303089
ACH-000015,-0.09881557452250288
ACH-000017,-0.1557583733482466
ACH-000018,-0.28460215413671536
ACH-000019,-0.10452301973031496
ACH-000021,-0.17735239427254365
ACH-000022,-0.16267675122513572
ACH-000025,-0.15225831714169222
ACH-000028,-0.1974028955447326
ACH-000030,-0.1550694507945841
ACH-000035,-0.06922792722256076
ACH-000036,-0.09052820948747337
ACH-000037,0.01877138338224794
ACH-000039,-0.07628113911242597
ACH-000040,-0.04584661311748081
ACH-000041,-0.15910126736775515
ACH-000042,-0.15719443637684924
ACH-000045,-0.2521770338802077
ACH-000047,-0.15769031247432064
ACH-000052,-0.16266996441371592
ACH-000053,-0.08538458046740016
ACH-000054,-0.11727256186261732
ACH-000055,-0.17333842073128874
ACH-000060,-0.09905762226963268
ACH-000067,0.01206224452335658
ACH-000070,-0.1504434307348779
ACH-000075,-0.16850296346895652
ACH-000078,-0.16831611590263207
ACH-000082,-0.11388838195416387
ACH-000085,-0.194344871873664
ACH-000086,-0.2266887686323413
ACH-000087,-0.026459542860558176
ACH-000092,-0.16533792000351988
ACH-000095,-0.20054454930059173
ACH-000097,-0.260758229427731
ACH-000098,-0.121817881073866
ACH-000099,-0.3292495151208989
ACH-000108,-0.23566575739419435
ACH-000113,-0.13532068356760807
ACH-000116,-0.27607613320445484
ACH-000118,-0.1277875685335074
ACH-000120,-0.11898857946256225
ACH-000123,-0.15374203521577115
ACH-000127,-0.12425606510331084
ACH-000128,-0.3293251972105553
ACH-000132,-0.1628087195452745
ACH-000133,-0.4636655155077502
ACH-000137,-0.16230337520793606
ACH-000138,-0.18817908243072426
ACH-000142,-0.194076738193206
ACH-000143,0.1956536307472902
ACH-000146,-0.0558097935833124
ACH-000148,-0.2570222924922095
ACH-000150,-0.2915223716903646
ACH-000152,0.10120059325868837
ACH-000153,-0.3993964566146555
ACH-000159,-0.1615357242200293
ACH-000160,-0.11400031079046602
ACH-000163,-0.13068080343403676
ACH-000167,-0.2531161716586857
ACH-000168,-0.0318722053849717
ACH-000169,-0.21983513299058965
ACH-000178,-0.11042459453619154
ACH-000183,-0.22723879513227266
ACH-000188,-0.12196187498915015
ACH-000189,-0.330903346035134
ACH-000190,-0.07715613890744971
ACH-000198,-0.09276112075045144
ACH-000203,-0.23315356278604754
ACH-000204,-0.12693910975334266
ACH-000206,-0.2932326688899872
ACH-000207,-0.19102764283881524
ACH-000208,-0.3288841338168296
ACH-000210,-0.4614201342227762
ACH-000211,-0.10183181973640128
ACH-000215,-0.19673632040619546
ACH-000221,-0.06479821672052788
ACH-000222,0.08421161001292306
ACH-000223,-0.2443361206678233
ACH-000226,0.06834154016524575
ACH-000227,-0.19309075814965612
ACH-000228,-0.2867505441672714
ACH-000231,-0.1045130050667439
ACH-000232,-0.08680522093185128
ACH-000233,-0.17305228651614654
ACH-000234,-0.3177847167831858
ACH-000235,-0.2144469209263409
ACH-000237,-0.04705698337181804
ACH-000238,-0.15541555360002507
ACH-000242,-0.7113438193689926
ACH-000243,-0.0745977914290332
ACH-000244,0.059355205929957335
ACH-000246,-0.037656496330532654
ACH-000248,-0.13376856454599176
ACH-000250,-0.1916051027075292
ACH-000251,-0.0260345651206852
ACH-000252,-0.4790779893013411
ACH-000253,-0.18117848473203066
ACH-000255,-0.2508268371363326
ACH-000256,-0.2044709847682248
ACH-000257,-0.17102335402166538
ACH-000258,-0.15449918075092536
ACH-000259,-0.0422138887368621
ACH-000260,-0.15889633549616622
ACH-000261,-0.19422752000900606
ACH-000262,-0.06538919660728595
ACH-000263,-0.3976158834167048
ACH-000264,-0.2560102604876193
ACH-000265,-0.0917215119833122
ACH-000266,-0.20951088184280944
ACH-000272,-0.1791393433692353
ACH-000274,-0.20417502294661055
ACH-000277,-0.37932093718696064
ACH-000278,-0.11717186019195885
ACH-000279,-0.0909920630125303
ACH-000280,-0.026724004621968597
ACH-000281,-0.21242212243450376
ACH-000288,-0.06954357881040417
ACH-000291,-0.1403431936896216
ACH-000293,-0.1728595917368276
ACH-000294,-0.2015264401620616
ACH-000295,-0.14407873447532168
ACH-000296,-0.16405161599360907
ACH-000302,-0.2831028437077228
ACH-000304,0.014225768683178113
ACH-000307,-0.1301463475320664
ACH-000308,-0.19747606526224395
ACH-000310,-0.3400355001360779
ACH-000311,-0.2833229521166464
ACH-000312,-0.2374952922062509
ACH-000315,0.372164825051511
ACH-000316,-0.017462932176226548
ACH-000317,-0.16902005757338848
ACH-000318,-0.16277604956387975
ACH-000319,-0.2008445897674216
ACH-000320,-0.008471776074848105
ACH-000322,-0.09708027463063157
ACH-000323,-0.17243125110828794
ACH-000324,-0.12746939958447642
ACH-000329,-0.07997398507539279
ACH-000330,0.07589329151933555
ACH-000331,-0.20323652649046925
ACH-000332,-0.15826389208784172
ACH-000334,-0.1082786231671625
ACH-000335,0.15161801393200405
ACH-000336,0.17037805789503796
ACH-000337,0.029269108587888493
ACH-000338,0.25635177280862104
ACH-000339,-0.038855830850035585
ACH-000341,-0.15114615077410998
ACH-000348,-0.1657480586873038
ACH-000350,-0.2673453492939157
ACH-000352,-0.10853707107745088
ACH-000356,-0.19876916987597432
ACH-000361,-0.1187260262128946
ACH-000362,-0.10090249580661947
ACH-000363,0.007650036502483287
ACH-000364,-0.017500837847268504
ACH-000365,-0.20453093901826905
ACH-000366,-0.1898136045487768
ACH-000368,-0.07154687108666588
ACH-000374,-0.14889602911026195
ACH-000375,-0.19623026371843005
ACH-000376,-0.02573556226492693
ACH-000381,-0.05551887509163965
ACH-000383,-0.19032340051660798
ACH-000387,-0.25511888418077217
ACH-000389,0.30090285598800315
ACH-000390,-0.38577770205382017
ACH-000393,-0.10626737349661214
ACH-000395,-0.06366557588494252
ACH-000396,-0.014565929149213794
ACH-000397,-0.11249773935741356
ACH-000401,-0.33334239640649965
ACH-000402,-0.4978085277332766
ACH-000403,-0.17315418512109135
ACH-000404,0.012149671669562758
ACH-000406,-0.15563274347295478
ACH-000407,-0.2755798939371045
ACH-000408,-0.08240724736807056
ACH-000410,-0.05569127378459456
ACH-000411,-0.12285655316115925
ACH-000414,-0.04882385305312688
ACH-000415,-0.12406284859573198
ACH-000416,-0.3052840191269193
ACH-000420,-0.1766135262572585
ACH-000421,-0.3188478005291499
ACH-000424,0.0660669620412679
ACH-000425,-0.1762436401550624
