,EIF3D (8664)
ACH-000004,-1.1942947777662298
ACH-000005,-1.5791660850494895
ACH-000007,-1.0246245452384648
ACH-000009,-0.9702342697644352
ACH-000011,-0.7365730389363924
ACH-000012,-0.7960447664409794
ACH-000013,-1.1431876592829564
ACH-000014,-0.9403485348787726
ACH-000015,-1.0985970818572457
ACH-000017,-0.8500502012363662
ACH-000018,-0.9289061403884074
ACH-000019,-0.8709130895379694
ACH-000021,-1.0346393847288136
ACH-000022,-0.996966065820875
ACH-000025,-1.140176021488003
ACH-000028,-0.8499645725680498
ACH-000030,-0.8482450742451069
ACH-000035,-0.8368651940579783
ACH-000036,-0.9328614996372808
ACH-000037,-0.8897542823975273
ACH-000039,-0.9792684596459044
ACH-000040,-1.1111917205906174
ACH-000041,-0.7021041763346216
ACH-000042,-0.6888762662096419
ACH-000045,-0.8625584350188457
ACH-000047,-1.0624228580329338
ACH-000052,-0.9761001053060606
ACH-000053,-0.975453732755626
ACH-000054,-0.8331728645423772
ACH-000055,-1.069510975167807
ACH-000060,-0.8806553803775432
ACH-000067,-1.049919546976806
ACH-000070,-0.8160258081692684
ACH-000075,-1.096429407021972
ACH-000078,-1.0907301869266253
ACH-000082,-0.8343251370634346
ACH-000085,-0.6946150175062467
ACH-000086,-0.7658071277998905
ACH-000087,-0.9385463968411596
ACH-000092,-0.9324402369205388
ACH-000095,-0.8561931175256021
ACH-000097,-1.0297594073039351
ACH-000098,-0.8559545205771825
ACH-000099,-1.0061780520970711
ACH-000108,-0.933763121043672
ACH-000113,-1.091584745742163
ACH-000116,-0.9216003320070676
ACH-000118,-1.0663070659778948
ACH-000120,-0.9476577695585664
ACH-000123,-1.108297511079417
ACH-000127,-0.7174454971650271
ACH-000128,-0.9093537362524932
ACH-000132,-1.2120496445325015
ACH-000133,-1.1675828725227075
ACH-000137,-1.0387637290555558
ACH-000138,-0.9172166968799786
ACH-000142,-0.8199307302988341
ACH-000143,-1.2140702598428323
ACH-000146,-1.1485815643764343
ACH-000148,-0.7718708733654076
ACH-000150,-0.9112271369776884
ACH-000152,-0.9266197708960844
ACH-000153,-0.9821210957749212
ACH-000159,-0.8696608357732181
ACH-000160,-0.9757501945504806
ACH-000163,-1.0087453039656746
