,RCHY1 (25898)
ACH-000004,-0.0504901751518109
ACH-000005,0.10976043987887232
ACH-000007,0.3022702361149989
ACH-000009,0.14713583138742087
ACH-000011,-0.07200607571466866
ACH-000012,-0.025302585189545226
ACH-000013,0.10997211615150468
ACH-000014,-0.017493710777548882
ACH-000015,-0.05731646931578641
ACH-000017,-0.12235898064010944
ACH-000018,0.04104780846166384
ACH-000019,0.0442392948358076
ACH-000021,-0.01556270624601024
ACH-000022,0.11201862132656318
ACH-000025,0.013884850784370413
ACH-000028,-0.06764406464241805
ACH-000030,-0.029293455257672088
ACH-000035,0.033540172084277266
ACH-000036,0.039290413466992594
ACH-000037,0.030409170995224232
ACH-000039,0.19937719564005488
ACH-000040,-0.1236445019275769
ACH-000041,-0.0018816310635728375
ACH-000042,-0.07316376900048482
ACH-000045,0.07084513456201454
ACH-000047,0.02989850461818177
ACH-000052,0.06030386258803159
ACH-000053,0.029790814639504632
ACH-000054,-0.01077460316620463
ACH-000055,-0.1336186370427313
ACH-000060,-0.08339703747074552
ACH-000067,-0.196832157184585
ACH-000070,-0.13688708453379275
ACH-000075,-0.053412384574859376
ACH-000078,0.0176280607246434
ACH-000082,0.04535116928206013
ACH-000085,0.19071354773506904
ACH-000086,-0.018462468302216758
ACH-000087,-0.09391096609359223
ACH-000092,-0.02499314291222899
ACH-000095,0.14600321840503752
ACH-000097,-0.017335353369923336
ACH-000098,-0.0623845947864249
ACH-000099,0.08890854730913787
ACH-000108,0.007455306761950087
ACH-000113,-0.12174440591324855
ACH-000116,-0.09009969239744244
ACH-000118,-0.02654105229441807
ACH-000120,-0.18437121337241616
ACH-000123,0.12808992732175087
ACH-000127,0.03464601191100738
ACH-000128,0.040385035192062935
ACH-000132,0.019927691402840977
ACH-000133,0.008298877733212692
ACH-000137,0.09137591461443448
ACH-000138,0.047091995967448216
ACH-000142,0.05382855912638546
ACH-000143,-0.11481520545359092
ACH-000146,-0.09957686370814206
ACH-000148,0.0969738815158728
ACH-000150,-0.05685019772071311
ACH-000152,-0.13883517294823153
ACH-000153,-0.08454969809103148
ACH-000159,-0.05516509780503898
ACH-000160,-0.03905042543457448
ACH-000163,0.010039570536076715
ACH-000167,0.2252421377869735
ACH-000168,0.2946440790954624
ACH-000169,-0.17338443456110805
ACH-000178,-0.16299575989553294
ACH-000183,0.05376604934644191
ACH-000188,-0.10780915614869263
