,SGPP1 (81537)
ACH-000004,-0.388614907188916
ACH-000005,-0.31508782752769765
ACH-000007,-0.4157787057840718
ACH-000009,-0.28004918583923955
ACH-000011,-0.5050783354567736
ACH-000012,-0.35146804695035305
ACH-000013,-0.328203895584383
ACH-000014,-0.386503095649212
ACH-000015,-0.2682263634587385
ACH-000017,-0.3192664137163693
ACH-000018,-0.4483404112883264
ACH-000019,-0.4130172417186693
ACH-000021,-0.2551313830620507
ACH-000022,-0.3187965392359988
ACH-000025,-0.44728723707223617
ACH-000028,-0.3036053153251696
ACH-000030,-0.463437519949567
ACH-000035,-0.45436643143951094
ACH-000036,-0.28852071592047474
ACH-000037,-0.4025986370574201
ACH-000039,-0.4772257248443317
ACH-000040,-0.4232691276096902
ACH-000041,-0.6004963929060756
ACH-000042,-0.3604380909401137
ACH-000045,-0.6006953049579037
ACH-000047,-0.4830573014730421
ACH-000052,-0.4252104586902564
ACH-000053,-0.36692195216972057
ACH-000054,-0.5329773864905253
ACH-000055,-0.3939934470689861
ACH-000060,-0.5618267328481579
ACH-000067,-0.5003247334442024
ACH-000070,-0.5427841206726373
ACH-000075,-0.7163726380249008
ACH-000078,-0.4254885195175849
ACH-000082,-0.4081647450981564
ACH-000085,-0.29193340822623776
ACH-000086,-0.3144716388566411
ACH-000087,-0.4545115450144254
ACH-000092,-0.4290362439438023
ACH-000095,-0.5298294639425037
ACH-000097,-0.5051783000343018
ACH-000098,-0.4289956730655863
ACH-000099,-0.4260593754573576
ACH-000108,-0.3248573570903889
ACH-000113,-0.3944737413745811
ACH-000116,-0.3223906759466057
ACH-000118,-0.2446297671302028
ACH-000120,-0.3900650730947412
ACH-000123,-0.3937504799602083
ACH-000127,-0.3723492085489459
ACH-000128,-0.6715227230859365
ACH-000132,-0.518338123911622
ACH-000133,-0.4028734908566687
ACH-000137,-0.3861965584770704
ACH-000138,-0.4487496313265996
ACH-000142,-0.3128667073644608
ACH-000143,-0.4971368144168445
ACH-000146,-0.32249899408500066
ACH-000148,-0.34568596096492776
ACH-000150,-0.33299195604891424
ACH-000152,-0.4705149288141513
ACH-000153,-0.3946410938543585
ACH-000159,-0.40187449094123656
ACH-000160,-0.3435172230473015
ACH-000163,-0.2942859138530962
ACH-000167,-0.5575945907512286
ACH-000168,-0.6310336376198966
ACH-000169,-0.3830577058500046
ACH-000178,-0.42068053263362615
ACH-000183,-0.3716270661475672
ACH-000188,-0.4176651216170666
ACH-000189,-0.28341214667731873
ACH-000190,-0.3774109609848621
ACH-000198,-0.4874340872299415
ACH-000203,-0.7297432469535029
ACH-000204,-0.5769416092065976
ACH-000206,-0.7619087456770172
ACH-000207,-0.5965933948110641
ACH-000208,-0.2098646200306548
ACH-000210,-0.3782924858927335
ACH-000211,-0.613914867154751
ACH-000215,-0.4267641660867931
ACH-000221,-0.4301039346454916
ACH-000222,-0.34366957027632355
ACH-000223,-0.4610846185294229
ACH-000226,-0.3409841924070732
ACH-000227,-0.7009426348519198
ACH-000228,-0.37570113682987416
ACH-000231,-0.4497367604726844
ACH-000232,-0.5262213180909376
ACH-000233,-0.4025210552281509
ACH-000234,-0.4183499090938975
ACH-000235,-0.4562582874019985
ACH-000237,-0.19288960661315693
ACH-000238,-0.5178918831370375
ACH-000242,-0.3046772142092064
ACH-000243,-0.5021882932584216
ACH-000244,-0.2056918915811883
