,STOML2 (30968)
ACH-000004,-0.11833398942749103
ACH-000005,-0.3819536141479317
ACH-000007,0.047249767186561535
ACH-000009,-0.3224797521159316
ACH-000011,0.06705120295551786
ACH-000012,-0.014668348363276741
ACH-000013,-0.2474876520244867
ACH-000014,-0.028713598733625424
ACH-000015,-0.17550834575542287
ACH-000017,-0.1328693899098206
ACH-000018,-0.06083200220469547
ACH-000019,-0.07957981868448898
ACH-000021,-0.053676570421865216
ACH-000022,-0.3914649851402597
ACH-000025,-0.07507704615205865
ACH-000028,-0.24971630979688825
ACH-000030,-0.09602787023986888
ACH-000035,-0.10247683313536808
ACH-000036,-0.01953366833722615
ACH-000037,-0.05263946004717783
ACH-000039,-0.06743316967320548
ACH-000040,0.01812244032365652
ACH-000041,-0.0569049929386538
ACH-000042,-0.12009993672526725
ACH-000045,0.3106866374727957
ACH-000047,-0.034061806188090814
ACH-000052,-0.064365862805554
ACH-000053,-0.09043905887076263
ACH-000054,0.03288967106937471
ACH-000055,-0.13330540802220778
ACH-000060,0.0495356154653125
ACH-000067,0.12960021605046865
ACH-000070,0.005548401501070023
ACH-000075,0.051471708401451786
ACH-000078,-0.08238029866286696
ACH-000082,-0.10615580830442632
ACH-000085,-0.04728482894679192
ACH-000086,-0.2803614164964982
ACH-000087,-0.2954636495630744
ACH-000092,-0.13746880029188427
ACH-000095,0.054500767526901785
ACH-000097,-0.07564512050854567
ACH-000098,-0.2478762595171648
ACH-000099,0.006370423727169184
ACH-000108,-0.10332851652949054
ACH-000113,-0.3098529942502703
ACH-000116,-0.12081449173594662
ACH-000118,-0.1516224356817038
ACH-000120,-0.06574660486529868
ACH-000123,-0.2458154034335881
ACH-000127,-0.10365127349111196
ACH-000128,-0.1497225005111784
ACH-000132,-0.07455405483809986
ACH-000133,-0.06138145161496096
ACH-000137,-0.11891605249865468
ACH-000138,-0.055708676188347135
ACH-000142,0.08441888898035252
ACH-000143,0.055491245271063486
ACH-000146,0.08125454320131023
ACH-000148,-0.2160750493847848
ACH-000150,-0.08778810233570318
ACH-000152,0.020860505402435173
ACH-000153,-0.1433264946889017
ACH-000159,-0.08914634373302513
ACH-000160,-0.2589303940320412
ACH-000163,-0.2746985931794653
ACH-000167,0.19967423298542736
ACH-000168,-0.03615448922739711
ACH-000169,-0.08148882439849846
ACH-000178,-0.16414886762762773
ACH-000183,0.021413809130716124
ACH-000188,-0.16074935008485378
ACH-000189,-0.08013705134540335
ACH-000190,-0.22030041991364133
ACH-000198,-0.10939345438046888
ACH-000203,-0.5757149598406129
ACH-000204,0.010366499545606192
ACH-000206,-0.06372263722236023
ACH-000207,-0.04227998690130399
ACH-000208,0.05731456913438523
ACH-000210,-0.11087593636773367
ACH-000211,-0.090028017488252
ACH-000215,-0.1467317454659709
ACH-000221,-0.2461874198457932
ACH-000222,-0.21565843014035294
ACH-000223,-0.13189174416354402
ACH-000226,-0.232605255744584
ACH-000227,0.03747894213633463
ACH-000228,-0.11896476923135292
ACH-000231,-0.11717506563701023
ACH-000232,-0.10541379892303317
ACH-000233,-0.0701819234230735
ACH-000234,0.0873520782195576
ACH-000235,-0.05193486479121541
ACH-000237,-0.2430075568808055
ACH-000238,-0.2189056395483964
ACH-000242,-0.08479485089523242
ACH-000243,-0.09143313427060673
ACH-000244,-0.054546107007004165
