,TECR (9524)
ACH-000004,-0.15921930222451378
ACH-000005,-0.1204200170315568
ACH-000007,-0.15112866930323787
ACH-000009,-0.11449906847259468
ACH-000011,-0.16408302089134275
ACH-000012,-0.254211466786406
ACH-000013,-0.17433028982580326
ACH-000014,-0.14272997944820234
ACH-000015,-0.3220166407837429
ACH-000017,-0.2678111878024249
ACH-000018,-0.32949733210111626
ACH-000019,-0.21977507345734107
ACH-000021,-0.3456087485312237
ACH-000022,-0.19424429637878787
ACH-000025,-0.5848497040807811
ACH-000028,-0.2606527668393757
ACH-000030,-0.5767656465295475
ACH-000035,-0.14329792728055696
ACH-000036,-0.35964379596551865
ACH-000037,-0.035258643182548816
ACH-000039,-0.14873785148518345
ACH-000040,-0.40451764580125854
ACH-000041,-0.25205266171576324
ACH-000042,-0.2318546836894308
ACH-000045,-0.5056188016504028
ACH-000047,-0.11839583019792145
ACH-000052,-0.13387590575609012
ACH-000053,-0.18483130053150545
ACH-000054,-0.2374184289034748
ACH-000055,0.02106106039841644
ACH-000060,-0.19185771332304227
ACH-000067,-0.4258299582534715
ACH-000070,-0.23251213746580465
ACH-000075,-0.27105404547086936
ACH-000078,-0.2863997836983548
ACH-000082,-0.12359427982125633
ACH-000085,-0.2412399209426456
ACH-000086,-0.3400461495015009
ACH-000087,-0.3154208302364513
ACH-000092,-0.4150268464405925
ACH-000095,-0.1667387657013539
ACH-000097,0.014607590857701063
ACH-000098,-0.5172080517192443
ACH-000099,-0.11752356605037535
ACH-000108,-0.3165908418271264
ACH-000113,-0.1517932785711337
ACH-000116,-0.29678982879307403
ACH-000118,0.040941457775148286
ACH-000120,-0.15028222791608356
ACH-000123,-0.31104686946913623
ACH-000127,-0.15614344782886191
ACH-000128,-0.3944216962676131
ACH-000132,-0.24073749290013025
ACH-000133,-0.5370690164857903
ACH-000137,-0.1817224179297212
ACH-000138,-0.21091224718937332
ACH-000142,-0.2392433406183203
ACH-000143,-0.10952779695661607
ACH-000146,-0.2532028280300964
ACH-000148,-0.1872841744785896
ACH-000150,-0.18223344170376546
ACH-000152,-0.3653223694159925
ACH-000153,-0.12688973584339586
ACH-000159,-0.26246637161895764
