,HYI (81888)
ACH-000004,-0.2786200358437532
ACH-000005,-0.567671335620801
ACH-000007,-0.015945302677720683
ACH-000009,-0.4097696495550864
ACH-000011,-0.20047519372522235
ACH-000012,-0.2587241323403809
ACH-000013,-0.22309712503790705
ACH-000014,-0.22057137705725335
ACH-000015,-0.11973339422189032
ACH-000017,-0.3244456148226056
ACH-000018,-0.0762300907080305
ACH-000019,-0.14648659935453276
ACH-000021,-0.14684585940874975
ACH-000022,-0.12286400479667488
ACH-000025,-0.09433230906123496
ACH-000028,-0.24549476229016634
ACH-000030,-0.19857612684136444
ACH-000035,-0.2339718857525765
ACH-000036,-0.19779719113100624
ACH-000037,-0.28229310412002034
ACH-000039,-0.2441927178130867
ACH-000040,-0.3448633264496144
ACH-000041,-0.2064080421332122
ACH-000042,-0.16215562932851274
ACH-000045,-0.13153041564533854
ACH-000047,-0.058389495932521636
ACH-000052,-0.3577787936368632
ACH-000053,-0.20252261272264924
ACH-000054,-0.17761057763437926
ACH-000055,-0.480330632857664
ACH-000060,-0.2513222785185237
ACH-000067,-0.2009593510251962
ACH-000070,-0.08416349361951703
ACH-000075,-0.1813986993894792
ACH-000078,-0.2996806485410677
ACH-000082,-0.17859105832548386
ACH-000085,-0.2471709415719705
ACH-000086,-0.39719294364508456
ACH-000087,-0.1569893346238326
ACH-000092,-0.35039378935140075
ACH-000095,-0.18160456943924544
ACH-000097,-0.1782549204164872
ACH-000098,-0.3024025826352046
ACH-000099,-0.14490254603542724
ACH-000108,-0.3705259428052398
ACH-000113,-0.27522152107187914
ACH-000116,-0.1358234742571335
ACH-000118,-0.2252540579710492
ACH-000120,-0.2288289805276785
ACH-000123,0.00975534766977567
ACH-000127,-0.17602271040207926
ACH-000128,-0.25683202791494514
ACH-000132,-0.2473848224503441
ACH-000133,-0.26666702420972715
ACH-000137,-0.4545074980150362
ACH-000138,-0.2637667607526361
ACH-000142,-0.2798720806715411
ACH-000143,-0.2091061575409205
ACH-000146,-0.5031847435452137
ACH-000148,-0.26586399781021164
ACH-000150,-0.4130217663819663
ACH-000152,-0.2299452200113045
ACH-000153,-0.2965540360506368
ACH-000159,-0.2812706188247736
ACH-000160,-0.20870271415615124
ACH-000163,-0.06533918241272728
ACH-000167,-0.3734846761765709
ACH-000168,-0.12950568740618565
ACH-000169,-0.2985733658109462
ACH-000178,-0.10997673048044992
ACH-000183,-0.3117529022126191
