,DAD1 (1603)
ACH-000004,-1.4372377637409208
ACH-000005,-1.5962016638878311
ACH-000007,-1.389024970466891
ACH-000009,-1.1399812787709909
ACH-000011,-1.316577581135984
ACH-000012,-1.0342475438283658
ACH-000013,-1.2959704192282793
ACH-000014,-1.291747137121803
ACH-000015,-1.087759334746068
ACH-000017,-1.1063526635363183
ACH-000018,-1.070815658375431
ACH-000019,-0.7667252873582572
ACH-000021,-1.121279130235941
ACH-000022,-1.2271729974979728
ACH-000025,-1.1073177792510795
ACH-000028,-1.0815730676615831
ACH-000030,-1.288437922649564
ACH-000035,-1.211104324949848
ACH-000036,-1.0639484521939817
ACH-000037,-1.0809552146142332
ACH-000039,-1.32937935169987
ACH-000040,-1.065021679544443
ACH-000041,-1.2529925656964995
ACH-000042,-1.1237122233187462
ACH-000045,-1.0857787127584608
ACH-000047,-1.1809951534365917
ACH-000052,-1.1400222519418126
ACH-000053,-1.0647690967414116
ACH-000054,-1.1611215682940663
ACH-000055,-1.3497342915123929
ACH-000060,-1.2837055592394309
ACH-000067,-1.2523051161099872
ACH-000070,-1.1806435950879233
ACH-000075,-1.2468273324132773
ACH-000078,-1.0758356922291927
ACH-000082,-1.2530000699166004
ACH-000085,-1.262117098588024
ACH-000086,-1.288134317525571
ACH-000087,-1.3588127946504718
ACH-000092,-1.1364350245234232
ACH-000095,-1.0630036233924072
ACH-000097,-1.1898839424774792
ACH-000098,-1.2391534327511584
ACH-000099,-1.05045834501472
ACH-000108,-1.28696975439437
ACH-000113,-1.105918885520376
ACH-000116,-1.1299631276742996
ACH-000118,-1.160042467182729
ACH-000120,-1.1475651042414052
ACH-000123,-1.3235284683648925
ACH-000127,-1.2214100303421982
ACH-000128,-1.0721023201920612
ACH-000132,-1.3711678381386982
ACH-000133,-0.9714303057503068
ACH-000137,-1.354790041946696
ACH-000138,-1.033131231219422
ACH-000142,-1.1366552453794168
ACH-000143,-1.2524323288796668
ACH-000146,-1.1402552913856256
ACH-000148,-1.3716592993470764
ACH-000150,-1.0626107817002468
ACH-000152,-1.2784756263371777
ACH-000153,-1.3235801533858809
ACH-000159,-1.0835925588611877
ACH-000160,-1.1600245069924993
ACH-000163,-1.272647569155568
ACH-000167,-1.7498947992596974
