,SDF2L1 (23753)
ACH-000004,-0.7467330564934842
ACH-000005,-0.4295103824949621
ACH-000007,-0.09352123312800772
ACH-000009,-0.3195158256100289
ACH-000011,-0.3975819293822113
ACH-000012,-0.3109616951055617
ACH-000013,-0.2721590841626561
ACH-000014,-0.32034952892805385
ACH-000015,-0.4354105702585389
ACH-000017,-0.34260254228642073
ACH-000018,-0.2409051199521442
ACH-000019,-0.3666189675128567
ACH-000021,-0.3749484124613317
ACH-000022,-0.3405854029679473
ACH-000025,-0.3860495191319304
ACH-000028,-0.2507699739561974
ACH-000030,-0.3977433895551966
ACH-000035,-0.21426642809276447
ACH-000036,-0.25658076371400684
ACH-000037,-0.25074450007635835
ACH-000039,-0.18445331192318146
ACH-000040,-0.14682064950581564
ACH-000041,-0.3571427907468857
ACH-000042,-0.3089083470278465
ACH-000045,-0.31988907285140783
ACH-000047,-0.298565726714133
ACH-000052,-0.578557102354214
ACH-000053,-0.3916012121539853
ACH-000054,-0.3011158264268361
ACH-000055,-0.10598611676846743
ACH-000060,-0.4160880647297728
ACH-000067,-0.16147780577760962
ACH-000070,-0.08813044893050834
ACH-000075,-0.29441709019166035
ACH-000078,-0.2755237256793942
ACH-000082,-0.1933684862816634
ACH-000085,-0.1902119115570459
ACH-000086,-0.1061907394674142
ACH-000087,-0.4607554626711459
ACH-000092,-0.4169894590615879
ACH-000095,-0.24866368950634854
ACH-000097,-0.3661143678812012
ACH-000098,-0.37338918945099947
ACH-000099,-0.3232603579728687
ACH-000108,-0.3485697670779778
ACH-000113,-0.4969829936492137
ACH-000116,-0.3222340932164021
ACH-000118,-0.2633474264021303
ACH-000120,-0.4647152985607803
ACH-000123,-0.2853409378654186
ACH-000127,-0.3006048791563333
ACH-000128,-0.2898604865131446
ACH-000132,-0.4077135730261425
ACH-000133,-0.4228904442252564
ACH-000137,-0.4386022553413391
ACH-000138,-0.13508329663704458
ACH-000142,-0.3446449963459535
ACH-000143,-0.4411083491844717
ACH-000146,-0.25456928963016234
ACH-000148,-0.29315940747874425
ACH-000150,-0.3607547125501248
ACH-000152,-0.214200739721382
ACH-000153,-0.29529279230416644
ACH-000159,-0.11845302009992513
ACH-000160,-0.2936199555310342
ACH-000163,-0.13068271803704348
ACH-000167,-0.6822462181746588
ACH-000168,-0.31569857954366337
ACH-000169,-0.2852860087253533
ACH-000178,-0.24802475056117304
ACH-000183,-0.4602815341804138
ACH-000188,-0.10941610761259438
ACH-000189,0.018941200530316758
ACH-000190,-0.12119106203267947
ACH-000198,-0.2926242545430255
ACH-000203,-0.3209946758052225
ACH-000204,-0.26133784444586416
ACH-000206,-0.41016030483947946
ACH-000207,-0.388471592554563
ACH-000208,-0.028255107332330182
ACH-000210,-0.26216232856277194
ACH-000211,-0.2883020682080787
ACH-000215,-0.3405357657961829
ACH-000221,-0.25928102773102313
ACH-000222,-0.1550555344745348
ACH-000223,-0.4724171417179814
ACH-000226,-0.28928011014938704
ACH-000227,-0.3188696062266063
ACH-000228,-0.3159486145906333
ACH-000231,-0.4623435014824765
ACH-000232,-0.3258008999157583
ACH-000233,-0.33285091134657313
ACH-000234,-0.2431196753657926
ACH-000235,-0.18858821931388992
ACH-000237,-0.3006544899457941
ACH-000238,-0.30496970048467004
ACH-000242,-0.4744769474128047
ACH-000243,-0.403488326541242
ACH-000244,-0.13572220442063088
ACH-000246,-0.26612551508509485
ACH-000248,-0.1995337150201099
ACH-000250,-0.24609582599965016
ACH-000251,-0.09529967644124536
ACH-000252,-0.281997187803097
ACH-000253,-0.1853986947294161
ACH-000255,-0.3492237921624469
ACH-000256,-0.4581701737414474
