,MYCN (4613)
ACH-000004,-0.20468359963656452
ACH-000005,0.4984897410744976
ACH-000007,0.06574574601043834
ACH-000009,-0.07390732011165235
ACH-000011,-0.11212831544363776
ACH-000012,-0.02046312606539551
ACH-000013,0.016906038281323154
ACH-000014,0.053729752349088784
ACH-000015,0.10231916262057524
ACH-000017,0.026323545514575004
ACH-000018,0.046965573164165664
ACH-000019,0.003310018081106684
ACH-000021,-0.06598568702453855
ACH-000022,0.0009275405940569793
ACH-000025,0.06529608858006729
ACH-000028,0.08481740969962273
ACH-000030,0.0017124856918170242
ACH-000035,-0.007029942302209276
ACH-000036,-0.00778225217951045
ACH-000037,0.012095337959749838
ACH-000039,0.09546896959142397
ACH-000040,0.024859390215621842
ACH-000041,-0.2204414156635401
ACH-000042,-0.03806154651017468
ACH-000045,-0.03648637391489799
ACH-000047,0.04363152757045738
ACH-000052,-0.018766786028963586
ACH-000053,-0.0564879522114345
ACH-000054,0.06530366548872707
ACH-000055,0.0954887901493786
ACH-000060,-0.08141608769622513
ACH-000067,0.06975990549418011
ACH-000070,-0.012089216682374336
ACH-000075,0.007737110868433844
ACH-000078,-0.060094192998481184
ACH-000082,0.0626659025692077
ACH-000085,-0.07947874599412709
ACH-000086,0.01886705394334344
ACH-000087,-0.1266284680534011
ACH-000092,-0.1631193352923651
ACH-000095,-0.043530085225283885
ACH-000097,-0.04462761260737478
ACH-000098,0.04083854062900169
ACH-000099,-0.4214509177215337
ACH-000108,0.014716115325873368
ACH-000113,0.11423644040886732
ACH-000116,-0.0977925413179893
ACH-000118,0.08383411260098274
ACH-000120,-0.2919019338550661
ACH-000123,0.06316370987689912
ACH-000127,-0.0333847650803056
ACH-000128,-0.3217435206886977
ACH-000132,0.03320135319810918
ACH-000133,0.04061068547908328
ACH-000137,0.01968993748864652
ACH-000138,0.13094134395284673
ACH-000142,-0.011857924337426086
ACH-000143,0.006151023920809931
ACH-000146,-0.049196342109493724
ACH-000148,0.0959562165799568
ACH-000150,-0.06131034144627931
ACH-000152,-0.0995006273140305
ACH-000153,0.0017711085203387824
ACH-000159,0.0210271288799184
ACH-000160,-0.020129780354763014
ACH-000163,0.007983280541343505
ACH-000167,0.117498063718493
ACH-000168,0.05021806622255047
ACH-000169,0.007004621481539787
ACH-000178,-0.03965947717740972
ACH-000183,-0.006443472264824004
ACH-000188,0.00027749692813390216
ACH-000189,-0.0834211442513207
ACH-000190,-0.1006163256946222
ACH-000198,-0.0005963696107963684
ACH-000203,-0.027378253537878643
