,SGPL1 (8879)
ACH-000004,-0.2629682754769397
ACH-000005,-0.34982873422752936
ACH-000007,-0.08088950639868175
ACH-000009,-0.16685004476476484
ACH-000011,-0.20183569334647047
ACH-000012,-0.15377287754070074
ACH-000013,-0.13644955733879674
ACH-000014,-0.2906683870632956
ACH-000015,-0.21988147233539568
ACH-000017,-0.3136200879141205
ACH-000018,-0.07253044118632418
ACH-000019,-0.16006073804703966
ACH-000021,-0.13734386902947648
ACH-000022,-0.14218287976433752
ACH-000025,-0.34699675119301804
ACH-000028,-0.16331476981110382
ACH-000030,-0.3979638889650196
ACH-000035,-0.10423711972265816
ACH-000036,-0.19407174661517676
ACH-000037,-0.31762647506576674
ACH-000039,-0.3157419505394585
ACH-000040,-0.13873884943853032
ACH-000041,-0.3757501173769439
ACH-000042,-0.16632668313982518
ACH-000045,-0.437106274456294
ACH-000047,-0.04454232120857425
ACH-000052,-0.19361331554146632
ACH-000053,-0.14835529089229302
ACH-000054,-0.2581607226000742
ACH-000055,-0.23200296714194596
ACH-000060,-0.3448871506223409
ACH-000067,-0.22969903578142545
ACH-000070,-0.08216996372029495
ACH-000075,-0.10328528946070582
ACH-000078,-0.30436551870170353
ACH-000082,-0.4471105900846336
ACH-000085,-0.16529587557292866
ACH-000086,-0.14754584596082956
ACH-000087,-0.1629452138755126
ACH-000092,-0.1758642751631189
ACH-000095,-0.4128203216370245
ACH-000097,-0.2732427502119707
ACH-000098,-0.2250984122639254
ACH-000099,-0.2856441378851513
ACH-000108,-0.07958324218941823
ACH-000113,-0.2317384212270144
ACH-000116,-0.1019710397489844
ACH-000118,-0.14890984552946754
ACH-000120,-0.2634587439768236
ACH-000123,-0.30869044209084023
ACH-000127,-0.18290189032308696
ACH-000128,-0.059395913596172224
ACH-000132,-0.1832972302872199
ACH-000133,-0.25415656568571565
ACH-000137,-0.3523298224788053
ACH-000138,-0.13221788127579007
ACH-000142,-0.07491102603419048
ACH-000143,-0.2484786965700958
ACH-000146,-0.2271820584087705
ACH-000148,-0.381519576483776
ACH-000150,-0.2536443754384528
ACH-000152,-0.21962790715443
ACH-000153,-0.04239176990024887
ACH-000159,-0.15993066675180453
ACH-000160,-0.1440615158666722
ACH-000163,-0.2569580038864508
ACH-000167,-0.28065867477896705
ACH-000168,-0.31764782888622706
ACH-000169,-0.41155775527856375
ACH-000178,-0.2465386930189752
ACH-000183,-0.2352271961053096
ACH-000188,-0.217617328175366
ACH-000189,-0.08134564151807776
ACH-000190,-0.2564594678355981
ACH-000198,-0.17706560341928676
ACH-000203,0.1043390322560216
ACH-000204,-0.3489401448162173
ACH-000206,-0.3554433265103821
ACH-000207,-0.2726893757542705
ACH-000208,-0.3825395045560904
ACH-000210,-0.1881183444572724
ACH-000211,-0.23917556275719296
ACH-000215,-0.14770700257875902
ACH-000221,-0.2292527059869452
ACH-000222,-0.050230948032052435
ACH-000223,-0.17970313443597466
ACH-000226,-0.2134986162273161
ACH-000227,-0.5318308376581139
ACH-000228,-0.3657056867881388
ACH-000231,-0.2503376069192763
ACH-000232,-0.25691248185541976
ACH-000233,-0.2480396330402647
ACH-000234,-0.1166748073238739
ACH-000235,-0.14916769583856102
ACH-000237,-0.25449989972474346
ACH-000238,0.00618462679074269
ACH-000242,-0.46874434273753396
ACH-000243,-0.4518484353136156
ACH-000244,-0.18044762559777655
ACH-000246,-0.1939449984675865
ACH-000248,-0.31009553445484705
