,DXO (1797)
ACH-000004,-0.17923303483336542
ACH-000005,0.02309313560186875
ACH-000007,0.1011016102545056
ACH-000009,-0.003215154834929421
ACH-000011,0.05265725303080148
ACH-000012,-0.06736276313012085
ACH-000013,-0.13072996318299088
ACH-000014,0.12790736063699248
ACH-000015,-0.04365120522297993
ACH-000017,-0.2019056836713729
ACH-000018,0.061767363410969923
ACH-000019,0.08549727642726654
ACH-000021,-0.08730881228467256
ACH-000022,0.014826290331981485
ACH-000025,-0.11486439332885305
ACH-000028,-0.09465269777792286
ACH-000030,-0.04085967120169528
ACH-000035,0.03456114967698377
ACH-000036,-0.09875820163994976
ACH-000037,-0.09835810829169048
ACH-000039,-0.07358635300218205
ACH-000040,-0.2438222755799421
ACH-000041,-0.11918598665075482
ACH-000042,0.008982562490500145
ACH-000045,-0.09694398786600032
ACH-000047,-0.10010662731975097
ACH-000052,-0.122952426780568
ACH-000053,-0.10227808367247844
ACH-000054,-0.016494114150086482
ACH-000055,0.032395108880425204
ACH-000060,-0.134455286479064
ACH-000067,-0.13252366536001298
ACH-000070,-0.005401036599464557
ACH-000075,-0.2401651420472181
ACH-000078,-0.1009732015139516
ACH-000082,-0.04620823264119678
ACH-000085,0.02249143566735884
ACH-000086,-0.11132977631626943
ACH-000087,-0.17116747076099625
ACH-000092,-0.05018181475816825
ACH-000095,-0.1016265497118098
ACH-000097,-0.1179164991375084
ACH-000098,-0.10696863904132556
ACH-000099,-0.01722178631109003
ACH-000108,-0.056776967752811124
ACH-000113,0.004526556971889646
ACH-000116,0.0745039394262529
ACH-000118,-0.04071404911712325
ACH-000120,-0.046452217843121583
ACH-000123,-0.045090861539693716
ACH-000127,-0.11854703053909404
ACH-000128,-0.016342104501251085
ACH-000132,-0.00975825317666962
ACH-000133,0.012888302561300151
ACH-000137,-0.13435347246042845
ACH-000138,-0.095011116168225
ACH-000142,-0.06546351707838816
ACH-000143,-0.15891362581371238
ACH-000146,-0.1715498355169268
ACH-000148,-0.025774575599258377
ACH-000150,-0.008238637651898967
ACH-000152,-0.1325065504925715
ACH-000153,-0.17612413500565866
