,POLR3K (51728)
ACH-000004,-1.2624074879375935
ACH-000005,-1.4507450482841702
ACH-000007,-1.3404675142682931
ACH-000009,-1.2655353683570292
ACH-000011,-1.1319259496216774
ACH-000012,-1.2791315487765975
ACH-000013,-1.5140787730220011
ACH-000014,-1.2665845165740943
ACH-000015,-1.4606987481736362
ACH-000017,-1.4318920462986129
ACH-000018,-1.0553558104071012
ACH-000019,-1.128939219698953
ACH-000021,-1.3016390528238675
ACH-000022,-1.4496887382222998
ACH-000025,-1.2285651308846417
ACH-000028,-1.101015592690001
ACH-000030,-1.1616915567255452
ACH-000035,-1.1052667551370314
ACH-000036,-1.0577329191034954
ACH-000037,-0.6914848979726026
ACH-000039,-1.4057683918311998
ACH-000040,-1.087496839376353
ACH-000041,-1.2357537164071897
ACH-000042,-1.2772049267037515
ACH-000045,-1.3463376067906117
ACH-000047,-1.2162795386994043
ACH-000052,-1.3009981290892618
ACH-000053,-1.1592266986704594
ACH-000054,-1.231018111764265
ACH-000055,-1.157463477421626
ACH-000060,-1.4754557839597335
ACH-000067,-1.3996364767003204
ACH-000070,-1.171479906742552
ACH-000075,-1.282870566505154
ACH-000078,-1.1182353801619704
ACH-000082,-1.438391258074713
ACH-000085,-1.1813610515621944
ACH-000086,-1.1377720251079164
ACH-000087,-1.335990092698461
ACH-000092,-1.1185366929811498
ACH-000095,-1.1617859045394
ACH-000097,-1.2235608291849425
ACH-000098,-1.2688627010711209
ACH-000099,-1.1286261189941476
ACH-000108,-1.2853993931450722
ACH-000113,-1.3223915389280048
ACH-000116,-1.2390164417290848
ACH-000118,-1.1579794302411694
ACH-000120,-1.3493756430748869
ACH-000123,-1.070931492237335
ACH-000127,-1.2241885541832842
ACH-000128,-1.1344969324113865
ACH-000132,-1.3030182717149557
ACH-000133,-1.005842998271956
ACH-000137,-1.4541330857463886
ACH-000138,-1.311677411464771
ACH-000142,-0.9893277010617302
ACH-000143,-1.3690843437184848
ACH-000146,-1.299142687050583
ACH-000148,-1.3811688702167797
ACH-000150,-1.2701329492510636
ACH-000152,-1.1606595651110327
ACH-000153,-1.4496575013429074
ACH-000159,-1.166052182495827
ACH-000160,-0.8627948172256805
ACH-000163,-1.1987916369391105
ACH-000167,-1.6363436820228388
ACH-000168,-1.4414673668882636
ACH-000169,-1.2395808153625267
ACH-000178,-1.1756890393365436
ACH-000183,-1.1994571782358976
ACH-000188,-1.2136929512382677
ACH-000189,-1.2728980096823646
ACH-000190,-1.0296830577538736
ACH-000198,-0.9851405617800708
ACH-000203,-1.1896663755722818
ACH-000204,-1.0389315057139137
ACH-000206,-1.6275320416647214
ACH-000207,-1.3183375102984651
ACH-000208,-1.2131488211046213
