,NPB (256933)
ACH-000411,-0.4672291468601145
ACH-000414,-0.40703722080917903
ACH-000415,-0.491814062421413
ACH-000416,-0.4573954592696082
ACH-000420,-0.3195886183628433
ACH-000421,-0.4892738211077708
ACH-000424,-0.3802846700349663
ACH-000425,-0.30160934151700125
ACH-000426,-0.3641351282403154
ACH-000427,-0.427029353933141
ACH-000433,-0.4382889037228103
ACH-000435,-0.2994166983007933
ACH-000436,-0.4164494528569819
ACH-000444,-0.4549324845922662
ACH-000445,-0.3706774750419181
ACH-000448,-0.3119065760489885
ACH-000450,-0.6014381283055321
ACH-000452,-0.4984540389804818
ACH-000454,-0.4753454572137125
ACH-000458,-0.4820694238841042
ACH-000459,-0.4108600153130063
ACH-000460,-0.4710379706715757
ACH-000461,-0.4202910647498216
ACH-000463,-0.5344599142276134
ACH-000464,-0.6844171805317399
ACH-000466,-0.6500934589742341
ACH-000467,-0.5116710308278478
ACH-000468,-0.4990542994525336
ACH-000469,-0.36127415535402096
ACH-000470,-0.18699556138748485
ACH-000471,-0.4376290246172232
ACH-000472,-0.4620863455682575
ACH-000473,-0.14086956494383387
ACH-000475,-0.4423681315823302
ACH-000476,-0.601303988313019
ACH-000477,-0.6586984060423879
ACH-000479,-0.23047918974414644
ACH-000480,-0.4982351878279247
ACH-000481,-0.4125705790086121
ACH-000483,-0.2000579947436116
ACH-000484,-0.44059500160774895
ACH-000485,-0.3785692142663292
ACH-000486,-0.4486521160415474
ACH-000487,-0.3710294302219888
ACH-000488,-0.6441829618156917
ACH-000490,-0.4363347892809129
ACH-000491,-0.3625538569310002
ACH-000495,-0.3679012420622093
ACH-000496,-0.4737768792044515
ACH-000499,-0.3741056357310119
ACH-000500,-0.9309537945721762
ACH-000502,-0.4091563476457038
ACH-000503,-0.10612443794905167
ACH-000505,-0.4512068571515328
ACH-000507,-0.3565952618766799
ACH-000510,-0.4462954782812693
ACH-000511,-0.4547382417860097
ACH-000512,-0.1797576974710268
ACH-000516,-0.3887510601818288
ACH-000517,-0.4468093799095709
ACH-000518,-0.4352449698576025
ACH-000520,-0.325896958931895
ACH-000521,-0.8316587020730021
ACH-000522,-0.29655901689826786
ACH-000524,-0.5768770071416375
ACH-000527,-0.4405447139472372
ACH-000528,-0.3881218030977798
ACH-000537,-0.5981224343067826
ACH-000541,-0.5872599853002817
ACH-000542,-0.41228778124821497
ACH-000544,-0.3877064510979941
ACH-000545,-0.4343314506967938
ACH-000547,-0.21506003314135766
ACH-000548,-0.4539686819352138
ACH-000549,-0.4291973497056353
ACH-000550,-0.3530042736806215
ACH-000552,-0.5322621884180949
ACH-000556,-0.4794077955631411
ACH-000557,-0.3892363867480265
ACH-000569,-0.1984813352152784
ACH-000570,-0.4465708168503578
ACH-000571,-0.5631643147124425
ACH-000573,-0.42080225632977386
ACH-000576,-0.2473776820536321
ACH-000579,-0.13059478957535695
ACH-000580,-0.5288566148113568
ACH-000584,-0.4367892585825389
ACH-000585,-0.4726892775608388
ACH-000588,-0.5062178706014188
ACH-000589,-0.3969015086180573
ACH-000591,-0.4908968767957268
ACH-000593,-0.4970774500001747
ACH-000600,-0.4393826520274899
ACH-000601,-0.4447904690112659
ACH-000605,-0.3615324528621388
ACH-000606,-0.4614231942465161
ACH-000608,-0.4966184798266789
ACH-000614,-0.33315485125986605
ACH-000616,-0.5886619230148153
ACH-000618,-0.5721952777823618
ACH-000619,-0.5541096160410975
ACH-000620,-0.4079642572756077
ACH-000621,-0.4835664818737165
ACH-000622,-0.4116989255429955
ACH-000623,-0.5042368283038198
ACH-000624,-0.4998697788125563
ACH-000627,-0.48909623960675797
ACH-000630,-0.3638523722080912
ACH-000631,-0.691533497770109
ACH-000632,-0.5288152410132388
ACH-000633,-0.5198173920269459
ACH-000637,-0.4311857378678041
ACH-000638,-0.5370252822811721
ACH-000646,-0.2735248847888291
ACH-000647,-0.5005207480601029
ACH-000648,-0.2680070109931854
ACH-000649,-0.32889866815178875
ACH-000651,-0.4088629062590132
ACH-000652,-0.6370663951080453
ACH-000653,-0.4935909193771216
ACH-000657,-0.41544551973666893
ACH-000658,-0.2983096114384362
ACH-000661,-0.4587270575177187
ACH-000662,-0.5236794299567405
ACH-000663,-0.4985058127792576
ACH-000665,-0.3329886151391842
ACH-000671,-0.4429014142910318
ACH-000672,-0.2404517044138104
ACH-000673,-0.5105120321538469
ACH-000676,-0.488041955364687
ACH-000677,-0.4177157664925613
