,CERK (64781)
ACH-000004,-0.08584491765944494
ACH-000005,-0.3354092038178163
ACH-000007,-0.0966537072691908
ACH-000009,-0.09497864080743544
ACH-000011,-0.14594904183687668
ACH-000012,-0.25101538739162865
ACH-000013,-0.19241262721195976
ACH-000014,0.05304714231881185
ACH-000015,-0.1117998716998098
ACH-000017,-0.09427346638213394
ACH-000018,-0.12164638236491955
ACH-000019,-0.15626807029669418
ACH-000021,-0.1069904246449164
ACH-000022,-0.20607615636013096
ACH-000025,-0.36049058066844375
ACH-000028,-0.217053598903392
ACH-000030,-0.19013460421293865
ACH-000035,-0.013436678162820384
ACH-000036,-0.26530683567112023
ACH-000037,-0.1538927285777734
ACH-000039,-0.11304374355117695
ACH-000040,-0.0980677091682388
ACH-000041,-0.20815089153797275
ACH-000042,-0.1057481533877435
ACH-000045,-0.15755530709053264
ACH-000047,-0.2414514707968711
ACH-000052,-0.09855764100781354
ACH-000053,-0.20407901749240476
ACH-000054,-0.08162274087028168
ACH-000055,-0.1283018086105462
ACH-000060,-0.14183835315792498
ACH-000067,-0.14211902429570358
ACH-000070,0.04170321278958777
ACH-000075,-0.028304061403465794
ACH-000078,-0.3895703485275804
ACH-000082,-0.07940266159635162
ACH-000085,-0.036243986059539456
ACH-000086,0.05232656077152637
ACH-000087,-0.22632395886217885
ACH-000092,-0.17023226905829286
ACH-000095,-0.23381724859342776
ACH-000097,-0.16040617405599625
ACH-000098,-0.144772354129207
ACH-000099,-0.3387670920561861
ACH-000108,-0.14062918642622851
ACH-000113,-0.18250516613112455
ACH-000116,-0.14093685732521127
ACH-000118,-0.12214806948290755
ACH-000120,-0.2560443831608541
ACH-000123,-0.1810956001937805
ACH-000127,-0.04816317343001437
ACH-000128,-0.02923969954222487
ACH-000132,-0.19996932614800705
ACH-000133,-0.16779467176773094
ACH-000137,-0.33027349985553006
ACH-000138,0.010283457377635223
ACH-000142,0.07390555425576578
ACH-000143,-0.34144555985734026
ACH-000146,-0.21681683409577565
ACH-000148,-0.2556833673356742
ACH-000150,-0.15939246868881587
ACH-000152,-0.22134995963186627
ACH-000153,-0.2179662648974768
ACH-000159,-0.14127646988137418
ACH-000160,-0.09714613096867136
ACH-000163,-0.10776444104317627
ACH-000167,-0.12797016188486773
ACH-000168,-0.32881892512260563
ACH-000169,-0.12621572117408006
ACH-000178,-0.1667419190952019
ACH-000183,-0.09296166654813216
ACH-000188,-0.07181347814407613
ACH-000189,0.20671398597336055
ACH-000190,-0.07481323302028205
ACH-000198,-0.2182522257868387
ACH-000203,-0.3323508575115104
ACH-000204,-0.08520025653505542
ACH-000206,-0.22212240303735287
ACH-000207,-0.2433363639053429
ACH-000208,-0.1310356281319565
ACH-000210,-0.1763587604590669
ACH-000211,-0.17354486139494887
ACH-000215,-0.1566350642237042
ACH-000221,-0.2808139480526149
ACH-000222,-0.24725404337119603
ACH-000223,-0.1287485276879484
ACH-000226,-0.03762533615528034
ACH-000227,-0.4801806525847709
ACH-000228,-0.2343547815845799
ACH-000231,-0.2786985726471881
ACH-000232,-0.18911905227977455
ACH-000233,-0.3747051112323211
ACH-000234,-0.209357967016773
ACH-000235,-0.25990079723937864
ACH-000237,-0.17943050791952106
ACH-000238,-0.2883667136431183
ACH-000242,0.5148506572624804
ACH-000243,-0.08683955510993445
ACH-000244,-0.0951051900848172
ACH-000246,-0.17320555748649166
ACH-000248,-0.06767987909849996
ACH-000250,-0.13454508212079092
ACH-000251,-0.013670018298917137
ACH-000252,-0.007216102943259766
ACH-000253,-0.24914111767650846
ACH-000255,-0.2609066530342231
ACH-000256,-0.2185007463333352
ACH-000257,-0.06186014501187214
ACH-000258,-0.09183599235634213
ACH-000259,-0.2317153723246591
ACH-000260,-0.264355532249167
ACH-000261,-0.22058856607653166
ACH-000262,-0.18640519090340785
ACH-000263,-0.1746230386179405
ACH-000264,-0.17315816203016812
ACH-000265,-0.1483833018405378
ACH-000266,-0.14975970723426754
ACH-000272,-0.19148636677644004
ACH-000274,-0.18820843082633654
ACH-000277,-0.010689535730787592
ACH-000278,-0.1787270337897703
ACH-000279,-0.1662609250424576
ACH-000280,-0.12075899908608324
ACH-000281,-0.3094419167672762
ACH-000288,-0.13897215162240767
ACH-000291,-0.207823746973
ACH-000293,-0.13140554427861975
ACH-000294,-0.1112328211766932
ACH-000295,-0.18103572799156625
ACH-000296,-0.19576003234214898
ACH-000302,-0.18290210291471992
ACH-000304,-0.02518438283001946
ACH-000307,-0.1551569622988673
ACH-000308,-0.2562534259135471
ACH-000310,-0.28668203648466944
ACH-000311,-0.10240212549927588
ACH-000312,-0.209608427516727
ACH-000315,-0.13726329383948696
ACH-000316,-0.30679676292132596
ACH-000317,-0.2236638909643531
ACH-000318,-0.2375599692402813
ACH-000319,-0.105164155330934
ACH-000320,-0.06880095594594841
ACH-000322,-0.4117710030015883
ACH-000323,-0.2834631993995408
ACH-000324,-0.30802059081087074
ACH-000329,-0.10443087127114424
ACH-000330,-0.1690030414151041
ACH-000331,-0.1711166281150787
ACH-000332,-0.16064036706101034
ACH-000334,-0.1046524542051682
ACH-000335,-0.4375653165002964
ACH-000336,-0.5356290041798742
ACH-000337,-0.2694973654241573
ACH-000338,0.09128446424836274
ACH-000339,-0.12045478870640873
ACH-000341,-0.1701898570929126
ACH-000348,-0.07238606579085176
ACH-000350,-0.21838010809896088
ACH-000352,-0.1120382442949305
ACH-000356,-0.00785911878396668
ACH-000361,-0.1731399905937424
ACH-000362,-0.1569064808360096
ACH-000363,-0.18317744152880672
ACH-000364,-0.026792197302194724
ACH-000365,-0.12802586611574132
ACH-000366,-0.21119861992189914
ACH-000368,-0.2648629887118723
ACH-000374,-0.24285757863273044
ACH-000375,-0.08191272388277786
ACH-000376,-0.14369363614758715
ACH-000381,-0.14357190964420125
ACH-000383,-0.2793688623762574
ACH-000387,-0.1967891663250188
ACH-000389,-0.4044813524537316
ACH-000390,-0.2849796380829415
ACH-000393,-0.1564026886589822
ACH-000395,-0.25900225562632845
ACH-000396,-0.13517132739913232
ACH-000397,-0.13332989948610438
ACH-000401,-0.23637907485423246
ACH-000402,-0.1323098622917047
ACH-000403,-0.22919777901863336
ACH-000404,-0.20631906921359336
ACH-000406,-0.1812515280769668
ACH-000407,-0.098040980476055
ACH-000408,-0.2939547772491216
ACH-000410,-0.08365315900555001
ACH-000411,-0.19015924911661505
ACH-000414,-0.13866852377946634
ACH-000415,-0.19759211792291784
ACH-000416,-0.264646552065268
ACH-000420,-0.2059208245359513
ACH-000421,-0.14780533368543705
ACH-000424,-0.06514872821920767
ACH-000425,-0.21965348043737865
ACH-000426,-0.2328011342412043
ACH-000427,-0.22832654264143265
ACH-000433,-0.14839231485928633
ACH-000435,-0.5103480007496404
ACH-000436,-0.03102330706373798
ACH-000444,-0.10680720887917493
ACH-000445,-0.09262978223732103
ACH-000448,-0.22442839540791934
ACH-000450,-0.2633689651202634
ACH-000452,-0.09745227816718396
ACH-000454,-0.004963280387505761
ACH-000458,-0.1901356918277752
ACH-000459,-0.1832074036831036
ACH-000460,-0.2422419772254487
ACH-000461,-0.2445906108879442
ACH-000463,-0.13216523962652574
ACH-000464,-0.2518869054009509
ACH-000466,-0.12431955038653705
ACH-000467,-0.19285372504321124
ACH-000468,-0.18384947992663586
ACH-000469,-0.19034943783988614
ACH-000470,-0.2079645079913976
ACH-000471,-0.23863741672920105
ACH-000472,-0.27216712230100665
ACH-000473,-0.13292718147086174
ACH-000475,-0.2182235302045568
ACH-000476,-0.22666230035128665
ACH-000477,-0.12028268730620985
ACH-000479,-0.23322685289827905
ACH-000480,-0.2044582534578543
ACH-000481,-0.1790687961612545
ACH-000483,-0.2159365114479274
ACH-000484,-0.3597385351071091
ACH-000485,-0.23271309953027425
ACH-000486,-0.3950797659024691
ACH-000487,-0.24040800471448204
ACH-000488,-0.18749621262371144
ACH-000490,-0.08091011662133865
ACH-000491,-0.13883098350809867
ACH-000495,-0.15330079962885604
