,RFPL4AL1 (729974)
ACH-000004,0.4378974028563336
ACH-000005,0.2563220899053549
ACH-000007,0.2321189748989754
ACH-000009,0.3252443205726785
ACH-000011,0.23363163416837834
ACH-000012,0.2629603428171456
ACH-000013,0.2830887145004982
ACH-000014,0.3643395007445321
ACH-000015,0.14322834105763713
ACH-000017,0.3082624371054267
ACH-000018,0.1357971733580185
ACH-000019,0.2190063957097821
ACH-000021,0.2582616264403484
ACH-000022,0.29733075553429483
ACH-000025,0.16135605356557015
ACH-000028,0.18451210386223568
ACH-000030,0.20398686023328166
ACH-000035,0.3379433829641305
ACH-000036,0.21847294332386527
ACH-000037,0.340833421140662
ACH-000039,0.23273782391071274
ACH-000040,0.26276164888682624
ACH-000041,0.2302634742525513
ACH-000042,0.3795636999050864
ACH-000045,0.21952672629743988
ACH-000047,0.218738239494907
ACH-000052,0.2666320272212648
ACH-000053,0.28202343259146645
ACH-000054,0.2159252708392676
ACH-000055,0.30992680032167363
ACH-000060,0.2690368059568733
ACH-000067,0.2231052377122158
ACH-000070,0.18987272922505266
ACH-000075,0.2733640539549603
ACH-000078,0.3249903931555557
ACH-000082,0.2597809424188691
ACH-000085,0.20205027820929036
ACH-000086,0.24678268264227946
ACH-000087,0.20773059321523746
ACH-000092,0.21153689933985265
ACH-000095,0.3662290279093359
ACH-000097,0.22360877472889934
ACH-000098,0.208295497339174
ACH-000099,0.34535830644118976
ACH-000108,0.26057086313702105
ACH-000113,0.4209485793517749
ACH-000116,0.28913722396729624
ACH-000118,0.2436633827214453
ACH-000120,0.4853273037263266
ACH-000123,0.25277528570964153
ACH-000127,0.2346803288358277
ACH-000128,0.1945716497939581
ACH-000132,0.3088392069026725
ACH-000133,0.1524303801456176
ACH-000137,0.2707276284088025
ACH-000138,0.33554421396516626
ACH-000142,0.2936158778652821
ACH-000143,0.3765957461495879
ACH-000146,0.2652191511661869
ACH-000148,0.24922442324337266
ACH-000150,0.1384117587560313
ACH-000152,0.2356482271618407
ACH-000153,0.2010579810139011
ACH-000159,0.19081226118850686
ACH-000160,0.17743996635410136
ACH-000163,0.2757913236164443
ACH-000167,-0.08581575378601602
ACH-000168,0.1601672510108822
ACH-000169,0.17417499631242658
ACH-000178,0.18809180601662026
ACH-000183,0.19723416299423613
ACH-000188,0.2850820458966636
ACH-000189,0.4546469607174216
ACH-000190,0.3180119608355011
ACH-000198,0.2003675570811596
ACH-000203,0.6855221660676676
ACH-000204,0.15293164827265884
ACH-000206,0.3663955697719784
ACH-000207,0.3009153572768776
ACH-000208,0.20810622052876107
ACH-000210,0.2588514084180976
ACH-000211,0.26653211689009737
ACH-000215,0.32357997450269443
ACH-000221,0.23503490933157956
ACH-000222,0.2721569890770051
ACH-000223,0.2330559495421421
ACH-000226,0.29580366290647364
ACH-000227,0.2588963856205924
ACH-000228,0.34742585066562715
ACH-000231,0.3113983818947861
ACH-000232,0.222120653152982
ACH-000233,0.1867820794222118
ACH-000234,0.2680698042979889
ACH-000235,0.1795011783075984
ACH-000237,0.2369768410363946
ACH-000238,0.2697398848578821
ACH-000242,0.3567962229787773
ACH-000243,0.2824609763477639
ACH-000244,0.19906765740584256
ACH-000246,0.17061817401448034
ACH-000248,0.3044263787166457
