,POTEC (388468)
ACH-000004,-0.26999711962498785
ACH-000005,-0.3770985587650293
ACH-000007,-0.34150309003262785
ACH-000009,-0.28447103270104745
ACH-000011,-0.3349975324217577
ACH-000012,-0.27002643035004714
ACH-000013,-0.14921299283865672
ACH-000014,-0.3852763599337513
ACH-000015,-0.1915883952305612
ACH-000017,-0.17199607696195696
ACH-000018,-0.21139445066707502
ACH-000019,-0.25283762850583763
ACH-000021,-0.17182622668066894
ACH-000022,-0.314028604662925
ACH-000025,-0.2410420203492201
ACH-000028,-0.24937772010544385
ACH-000030,-0.21208536787641985
ACH-000035,-0.22588910002398
ACH-000036,-0.2754962274967438
ACH-000037,-0.08332974903178618
ACH-000039,-0.15010526229310858
ACH-000040,-0.3235362326468934
ACH-000041,-0.2369375065417676
ACH-000042,-0.13317822076586056
ACH-000045,-0.3108378422258003
ACH-000047,-0.06662796430173305
ACH-000052,-0.20998849136349532
ACH-000053,-0.1742973892146701
ACH-000054,-0.12691449118572376
ACH-000055,0.029056856375249858
ACH-000060,-0.24993504248262796
ACH-000067,-0.2991285973920849
ACH-000070,-0.22977978004727534
ACH-000075,-0.3036677517759393
ACH-000078,-0.2494162194042784
ACH-000082,-0.1676936201629155
ACH-000085,-0.087100153959512
ACH-000086,-0.2615494322519005
ACH-000087,0.04015086790116559
ACH-000092,-0.2377039079096924
ACH-000095,-0.3077193503616691
ACH-000097,-0.2692218397631609
ACH-000098,-0.18884813595632546
ACH-000099,-0.14521827354001915
ACH-000108,-0.0999505372201558
ACH-000113,-0.08185826841423256
ACH-000116,-0.19284948006432806
ACH-000118,-0.11187992509514112
ACH-000120,-0.18928811976878485
ACH-000123,-0.25505985864019354
ACH-000127,-0.2094148862967028
ACH-000128,-0.2430966006175196
ACH-000132,-0.2555157057289877
ACH-000133,-0.0703556216004802
ACH-000137,-0.11317086622295244
ACH-000138,-0.040930851382902284
ACH-000142,-0.4192250765138552
ACH-000143,-0.11191722953243632
ACH-000146,-0.3518144126268768
ACH-000148,-0.21077277182359866
ACH-000150,-0.039718925701679834
ACH-000152,-0.15327651639107845
ACH-000153,-0.2709150394841499
ACH-000159,-0.2577306309673429
ACH-000160,-0.17248856027037313
ACH-000163,-0.1338424824016089
ACH-000167,-0.18018965000897305
ACH-000168,-0.11757979592155672
ACH-000169,-0.3577841106678771
ACH-000178,-0.317274465352476
ACH-000183,-0.2876778608270921
ACH-000188,-0.3332656138962965
ACH-000189,-0.3470692990658776
ACH-000190,-0.2035350627528104
ACH-000198,-0.33953437586721336
ACH-000203,-0.10427556153459172
ACH-000204,-0.09652266505854286
ACH-000206,-0.3658546286726397
ACH-000207,-0.347607772906126
ACH-000208,-0.24188994089243834
ACH-000210,-0.2573242248695846
ACH-000211,-0.2251746673454955
ACH-000215,-0.31986753587358085
ACH-000221,-0.2604148806944515
ACH-000222,-0.11039335467941072
ACH-000223,-0.2793222822793799
ACH-000226,-0.4278876955423643
ACH-000227,-0.24748461766822705
ACH-000228,-0.2605480905721672
ACH-000231,-0.2895343336270497
ACH-000232,-0.3803249884525234
ACH-000233,-0.323543872028524
ACH-000234,-0.20160230644765795
ACH-000235,-0.19533908079264856
ACH-000237,-0.10488658194202838
ACH-000238,-0.08297340157308274
ACH-000242,-0.05523823716835816
ACH-000243,-0.15207686584855534
ACH-000244,-0.21733861607987925
ACH-000246,-0.12840610559692525
ACH-000248,-0.5181975065606006
ACH-000250,-0.2666096302938015
ACH-000251,-0.04325838505471427
ACH-000252,-0.3267535672523839
ACH-000253,-0.2774280500692181
ACH-000255,-0.2025770930395158
ACH-000256,-0.06996192531727398
ACH-000257,-0.1021240199504178
ACH-000258,-0.3669440066102471
ACH-000259,-0.09194309570058852
ACH-000260,-0.2336005508001003
ACH-000261,-0.1888764217773901
ACH-000262,-0.3521038922051182
ACH-000263,-0.23689666845703844
ACH-000264,-0.33197567187583554
ACH-000265,-0.1736497162089128
ACH-000266,-0.2615314020289116
ACH-000272,-0.21953974599810128
ACH-000274,-0.3043525179736819
ACH-000277,-0.16237092122216484
ACH-000278,-0.2517525435616931
ACH-000279,-0.21793333734238304
ACH-000280,-0.2626371274776072
ACH-000281,-0.13003688240578373
ACH-000288,-0.13120123169668482
ACH-000291,-0.16873334786678915
ACH-000293,-0.1761487355837316
ACH-000294,-0.29976033863112306
ACH-000295,-0.3770680595068169
ACH-000296,-0.2925974106692126
ACH-000302,-0.2777651087129437
ACH-000304,-0.1679205227817489
ACH-000307,-0.1395479352664492
ACH-000308,-0.17240840493536833
ACH-000310,-0.4240568751680192
ACH-000311,-0.23570661716843255
ACH-000312,-0.27816873032434025
ACH-000315,-0.01871803980605564
ACH-000316,-0.05050981410490173
ACH-000317,-0.4925463321763325
ACH-000318,-0.3464932517431386
ACH-000319,-0.1408768213904576
ACH-000320,-0.17962716350376495
ACH-000322,-0.2193178882226182
ACH-000323,-0.4777059118114149
ACH-000324,-0.2192695625713588
ACH-000329,-0.2427042153192191
ACH-000330,-0.29471643777733697
ACH-000331,-0.2891420935218386
ACH-000332,-0.11640121779874615
ACH-000334,-0.12467038598436728
ACH-000335,-0.024540594463544483
ACH-000336,-0.1325760386915064
ACH-000337,-0.20760311001324613
ACH-000338,0.15132811659761866
ACH-000339,-0.2832391203072666
ACH-000341,-0.17006281967601725
ACH-000348,-0.15302056502280648
ACH-000350,-0.17542147294540625
ACH-000352,-0.28386930469336874
ACH-000356,-0.3620684337664989
ACH-000361,-0.02463233048184617
ACH-000362,-0.15382640968066155
ACH-000363,-0.24313909063689024
ACH-000364,-0.15667094070997778
ACH-000365,-0.15935791999247745
ACH-000366,-0.2450038899461873
ACH-000368,-0.3392487763983192
ACH-000374,-0.1838039772954376
ACH-000375,-0.057115858305281424
ACH-000376,-0.2674132662398315
ACH-000381,-0.24479269119531705
ACH-000383,-0.2278865357303075
ACH-000387,-0.14647216278776334
ACH-000389,-0.3332815502703353
ACH-000390,-0.2468447755653844
ACH-000393,-0.31140611527722123
ACH-000395,-0.16774042668127032
ACH-000396,-0.13408685378557655
ACH-000397,-0.19031862625344054
ACH-000401,-0.22117706516179028
ACH-000402,-0.1502717927811955
ACH-000403,-0.37753932104578497
ACH-000404,0.02774603860426439
ACH-000406,-0.20877992329253375
ACH-000407,-0.2618359895675749
ACH-000408,-0.3426029158627029
ACH-000410,-0.06293658174266463
ACH-000411,-0.17864649576692138
ACH-000414,-0.17806702246816802
ACH-000415,-0.4631451716920302
ACH-000416,-0.2764750976476436
ACH-000420,-0.25248215521235784
ACH-000421,-0.3399566137526868
ACH-000424,-0.012849752788686823
ACH-000425,-0.2683706913925589
ACH-000426,-0.211860392173617
ACH-000427,-0.261668721155824
ACH-000433,-0.22524305946130554
ACH-000435,-0.364721814568451
ACH-000436,-0.1350059787873405
ACH-000444,-0.2232577558572163
ACH-000445,-0.22512229211308496
ACH-000448,-0.2467720343586638
ACH-000450,0.04387038789137706
ACH-000452,-0.23612703824874665
ACH-000454,-0.239635779126378
ACH-000458,-0.22349697501005025
ACH-000459,-0.02782550296816195
ACH-000460,-0.3140096568323214
ACH-000461,-0.4507726406119876
ACH-000463,-0.4021211941543709
ACH-000464,-0.30120805596090744
ACH-000466,-0.32227422496536434
ACH-000467,-0.09291895719096503
ACH-000468,-0.1717083705111267
ACH-000469,-0.3206799379679326
ACH-000470,-0.2279216574168213
ACH-000471,-0.10301752281644573
ACH-000472,-0.22332377842083956
ACH-000473,-0.2583955637331863
ACH-000475,-0.32596375796780896
ACH-000476,-0.1733749813342642
ACH-000477,-0.10824513615004484
ACH-000479,-0.1449403892473119
ACH-000480,-0.06544204686608661
ACH-000481,-0.5090782809396455
ACH-000483,-0.3666004277798776
ACH-000484,-0.2493765050780353
ACH-000485,-0.3462060602062295
ACH-000486,-0.2291851105708121
ACH-000487,0.017404104089507162
ACH-000488,-0.19424486536206184
ACH-000490,-0.3717395752484006
ACH-000491,-0.09580894459845757
ACH-000495,-0.3536399674211042
ACH-000496,-0.14410557760262668
ACH-000499,-0.4346620781194582
ACH-000500,-0.519590763836873
ACH-000502,-0.10205169527611006
ACH-000503,-0.11660802215619233
ACH-000505,-0.26473742554965163
ACH-000507,-0.11722175071623145
ACH-000510,-0.18593932778032912
ACH-000511,-0.34461327545724585
ACH-000512,-0.1485372355025319
ACH-000516,-0.2775625956585197
ACH-000517,-0.3853655693740831
ACH-000518,-0.20800792011829025
ACH-000520,-0.5393565658907098
ACH-000521,-0.16822456402028332
ACH-000522,-0.5615088134668734
ACH-000524,-0.32033396418679305
ACH-000527,-0.06678015237529526
ACH-000528,-0.1421534255292232
ACH-000537,-0.055307968262466034
ACH-000541,0.1957347096024747
ACH-000542,-0.2530237803273498
ACH-000544,-0.2846033349519396
ACH-000545,-0.1982807488671921
ACH-000547,-0.2994404175782127
ACH-000548,-0.1951193810983507
ACH-000549,-0.05916129263203052
ACH-000550,-0.14361004430522287
ACH-000552,-0.2802322918445261
ACH-000556,-0.2381076586663685
ACH-000557,-0.4517143884774219
ACH-000569,-0.5642134256813734
ACH-000570,-0.27318275011197624
ACH-000571,-0.39164786967626464
ACH-000573,-0.18470708917556328
ACH-000576,-0.2380533839112968
ACH-000579,-0.2374891690866243
ACH-000580,-0.1400568551690856
ACH-000584,-0.2642462573153913
ACH-000585,-0.10668290164878967
ACH-000588,-0.10032560183926433
ACH-000589,-0.208548503913464
ACH-000591,-0.19164457372551788
ACH-000593,-0.25367279540777765
ACH-000600,-0.292323838332779
ACH-000601,-0.20283209877628666
ACH-000605,-0.3469037242867911
ACH-000606,-0.2903007315839736
ACH-000608,-0.1680387601928164
ACH-000614,-0.036199356442001326
ACH-000616,-0.2728116180920709
ACH-000618,-0.225937200695448
ACH-000619,-0.35695102908218884
ACH-000620,-0.2635883964931049
ACH-000621,-0.16894205259516487
ACH-000622,-0.1098125218709297
ACH-000623,-0.2903076454694057
ACH-000624,-0.3744289643061589
ACH-000627,-0.037314373979069934
ACH-000630,-0.19782214654314625
ACH-000631,-0.04808187536412113
ACH-000632,-0.454691755723492
ACH-000633,-0.14782300201328946
ACH-000637,-0.3245935650451873
ACH-000638,-0.3838717088363505
ACH-000646,-0.297899321690961
ACH-000647,-0.10886628788847902
ACH-000648,-0.3315254942083914
ACH-000649,-0.26145691779161473
ACH-000651,-0.10538277938623562
ACH-000652,-0.08945612803786125
ACH-000653,-0.06957457115835368
ACH-000657,-0.24548251718085914
ACH-000658,-0.391561703040076
ACH-000661,-0.05003524018555426
ACH-000662,-0.2957863763417375
ACH-000663,-0.29500194070967084
ACH-000665,-0.13378283866928806
ACH-000671,-0.1916697684614098
ACH-000672,-0.3018470888975521
ACH-000673,-0.2590681404469955
ACH-000676,-0.10266362968883253
ACH-000677,-0.2849020429027156
ACH-000681,-0.2461252134300956
ACH-000683,-0.18429158596614584
ACH-000684,-0.22253534174922476
ACH-000688,-0.10131874922695286
ACH-000693,-0.33117900425043884
ACH-000694,-0.26987779714782745
ACH-000695,-0.112080356908943
ACH-000696,-0.3692943112997051
ACH-000697,-0.3719430368236899
ACH-000699,-0.2098903189727224
ACH-000701,-0.30879893249412604
ACH-000706,-0.24931748697987546
ACH-000711,-0.2754468163508009
ACH-000713,-0.29200522071749585
ACH-000714,-0.363649875922944
ACH-000718,-0.18608714125945536
ACH-000720,-0.20374299455009406
ACH-000721,-0.3300233419276911
ACH-000724,-0.2352537468093546
ACH-000725,-0.3163532683179938
ACH-000732,-0.3009759002122517
ACH-000734,-0.10073909934569612
ACH-000735,-0.3104259368901245
ACH-000736,-0.11013266290443836
ACH-000738,-0.22230886012930165
ACH-000746,-0.3242158258221663
ACH-000747,-0.2579772806026305
ACH-000748,-0.06531064174530257
ACH-000753,-0.20772268764526133
ACH-000756,-0.25364378788604514
ACH-000757,-0.07378817248941111
ACH-000758,-0.2736529089834884
ACH-000760,-0.19077419953168304
ACH-000762,-0.14405286102189555
ACH-000763,-0.2186975315167098
ACH-000764,-0.3144871297053413
ACH-000765,-0.22198284173726365
ACH-000766,-0.4202523840768898
ACH-000767,-0.38144016554292015
ACH-000768,-0.2389798204661921
ACH-000769,-0.3021328811478887
ACH-000770,-0.425825946119116
ACH-000771,-0.3755462382076132
ACH-000773,-0.3658255315371913
ACH-000776,-0.3938743652018611
ACH-000777,-0.20362593188681866
ACH-000778,-0.3788347551018047
ACH-000781,-0.2886196093131537
ACH-000782,-0.2828901254616769
ACH-000783,-0.3213217970086369
ACH-000784,-0.28491886876161304
ACH-000785,-0.3177365511607376
ACH-000787,-0.22187683031284414
ACH-000788,-0.1578764329875314
ACH-000791,-0.2813228070489113
ACH-000792,-0.16490821068395933
ACH-000794,-0.2939106808577552
ACH-000796,-0.20302671313840195
ACH-000798,-0.22471597559339013
ACH-000799,-0.3162160158765513
ACH-000800,-0.3088307779852884
ACH-000802,-0.3221993599197715
ACH-000804,-0.4143402541113604
ACH-000805,-0.1846542462641048
ACH-000809,-0.14329166894447246
ACH-000810,-0.04134039576700158
ACH-000811,-0.1739650429991269
ACH-000817,-0.4041558860402635
ACH-000819,-0.3831293753779165
ACH-000820,-0.14191452412632186
ACH-000821,-0.2478590059738433
ACH-000822,-0.08735514429160743
ACH-000823,-0.1125841457408305
ACH-000824,-0.2919557135499638
ACH-000827,-0.3120408511615443
ACH-000829,-0.3451445837517547
ACH-000831,-0.321074783217292
ACH-000832,-0.26890006597768995
ACH-000833,0.09390910761420672
ACH-000834,-0.2741048218761525
ACH-000835,-0.22332512219789136
ACH-000836,-0.2260538789888549
ACH-000837,-0.1658924019671036
ACH-000838,-0.2179428631102836
ACH-000839,-0.2363104729366007
ACH-000840,-0.0515699780726848
ACH-000841,-0.3206950833055805
ACH-000843,-0.199018545884392
ACH-000846,-0.19096125570811054
ACH-000847,-0.2488858725039333
ACH-000848,-0.0731177811959172
ACH-000849,-0.38144008334480334
ACH-000851,-0.14872708166107554
ACH-000855,-0.14181240910620796
ACH-000856,-0.04038628337728719
ACH-000858,-0.15846101497818266
ACH-000859,-0.2683503449843488
ACH-000861,-0.2082635306496484
ACH-000862,-0.12883098197756754
ACH-000865,-0.3117567618226297
ACH-000866,-0.2415780895262016
ACH-000867,-0.32555962245290465
ACH-000869,-0.2617911368168809
ACH-000872,-0.1916671509438644
ACH-000873,-0.3433910592722148
ACH-000876,-0.2262410901520576
ACH-000878,-0.3245495752182604
ACH-000880,-0.2029767472013324
ACH-000881,-0.20132465408227354
ACH-000882,-0.05198125935918014
ACH-000884,-0.18614324971500795
ACH-000885,-0.32694205925000336
ACH-000887,-0.4073599450911517
ACH-000889,-0.32874300084043995
ACH-000896,-0.19463137689956791
ACH-000898,-0.406992333818441
