,ALG1L (200810)
ACH-000004,-0.4820316145574747
ACH-000005,-0.8452261790576168
ACH-000007,-0.5994225911597054
ACH-000009,-0.6401282565966462
ACH-000011,-0.5586329241781981
ACH-000012,-0.7144272406823278
ACH-000013,-0.5585192874770377
ACH-000014,-0.716760043961267
ACH-000015,-0.41152149315044106
ACH-000017,-0.6960906382132928
ACH-000018,-0.5753953893699002
ACH-000019,-0.3914839680185057
ACH-000021,-0.6505090532700011
ACH-000022,-0.6229544524969648
ACH-000025,-0.6449608872784524
ACH-000028,-0.5282467389508594
ACH-000030,-0.6805538491325649
ACH-000035,-0.6791143510058105
ACH-000036,-0.3727325988053045
ACH-000037,-0.4271264782830453
ACH-000039,-0.8568605471178328
ACH-000040,-0.6109688258359965
ACH-000041,-0.7253940037017442
ACH-000042,-0.6134899373801485
ACH-000045,-0.4992109212017953
ACH-000047,-0.6953188938853704
ACH-000052,-0.5461751049139109
ACH-000053,-0.6977521407916707
ACH-000054,-0.4799131275987009
ACH-000055,-0.6739472966175465
ACH-000060,-0.7358163434063951
ACH-000067,-0.5494069698161475
ACH-000070,-0.6231327609496102
ACH-000075,-0.6302977739868731
ACH-000078,-0.7131460246417562
ACH-000082,-0.7365869534287879
ACH-000085,-0.9323176644000952
ACH-000086,-0.6994478937718744
ACH-000087,-0.4198562248643645
ACH-000092,-0.6676133035529823
ACH-000095,-0.5332310584997226
ACH-000097,-0.6508885420183815
ACH-000098,-0.6321419404766212
ACH-000099,-0.4881573426867653
ACH-000108,-0.6295347061193131
ACH-000113,-0.4827006105448964
ACH-000116,-0.4740808320539621
ACH-000118,-0.5886112363153098
ACH-000120,-0.5976007457193837
ACH-000123,-0.540334280893425
ACH-000127,-0.5063162741064192
ACH-000128,-0.6233867501904311
ACH-000132,-0.4769792045245969
ACH-000133,-0.5820253606028948
ACH-000137,-0.5912389789834647
ACH-000138,-0.5740667962703924
ACH-000142,-0.7425432992730566
ACH-000143,-0.3683505793087815
ACH-000146,-0.5379241526494114
ACH-000148,-0.4852459869358416
ACH-000150,-0.8582620829257768
ACH-000152,-0.5765350027580497
ACH-000153,-0.8099072927053979
ACH-000159,-0.6779470373638946
ACH-000160,-0.5350554176214369
ACH-000163,-0.612095757447557
ACH-000167,-0.5421895006066817
ACH-000168,-0.7460370422078836
ACH-000169,-0.4833798037574498
ACH-000178,-0.7142845629741028
ACH-000183,-0.6110211537667025
ACH-000188,-0.6541970667328824
ACH-000189,-0.5175414608067925
ACH-000190,-0.6625836331166979
ACH-000198,-0.6591900308122739
ACH-000203,-0.7212423149889648
ACH-000204,-0.2820371376421377
ACH-000206,-0.498505972510372
ACH-000207,-0.7394937929935992
ACH-000208,-0.8701385873693976
ACH-000210,-0.6647170689282211
ACH-000211,-0.6231083343501026
ACH-000215,-0.526074249058646
ACH-000221,-0.517788636774282
ACH-000222,-0.7240163623333381
ACH-000223,-0.6532452204081097
ACH-000226,-0.6808781323932791
ACH-000227,-0.6532165659917897
ACH-000228,-0.6619005754892491
ACH-000231,-0.5709986933745262
ACH-000232,-0.6243889500532871
ACH-000233,-0.7727471470782117
ACH-000234,-0.5401530875416716
ACH-000235,-0.5113551289022943
ACH-000237,-0.6249585574988137
ACH-000238,-0.5566058594429195
ACH-000242,-0.7912177627052721
ACH-000243,-0.6523646070159136
ACH-000244,-1.0900775269438154
ACH-000246,-0.5977590563488928
ACH-000248,-0.7226238876587999
ACH-000250,-0.6650995751893988
ACH-000251,-0.8601180748755023
ACH-000252,-0.6168525472004104
ACH-000253,-0.5639822340383047
ACH-000255,-0.5957681877085765
ACH-000256,-0.6222567322961258
ACH-000257,-0.8960251043825583
ACH-000258,-0.779374150497352
ACH-000259,-0.5896998458159781
ACH-000260,-0.6522809928250004
ACH-000261,-0.7747154286775062
ACH-000262,-0.5746623636925348
ACH-000263,-0.6708154252763207
ACH-000264,-0.6185857336522985
ACH-000265,-0.4802939450671097
ACH-000266,-0.5255069797600123
ACH-000272,-0.7071680607436546
ACH-000274,-0.814405147052961
ACH-000277,-0.5917345815710577
ACH-000278,-0.6184941713138566
ACH-000279,-0.6842885674294676
ACH-000280,-0.6954356353846026
ACH-000281,-0.5079045380652165
ACH-000288,-0.6353657957610932
ACH-000291,-0.7161647020738217
ACH-000293,-0.5927326709856008
ACH-000294,-0.6258552719997809
ACH-000295,-0.5287939705786358
ACH-000296,-0.6725226853349285
ACH-000302,-0.5661540798149566
ACH-000304,-1.0669735673102252
ACH-000307,-0.696306275548775
ACH-000308,-0.548559048500036
ACH-000310,-0.779650924590885
ACH-000311,-0.6113683958893761
ACH-000312,-0.535170928415063
ACH-000315,-0.6120122955154407
ACH-000316,-0.5811170212287345
ACH-000317,-0.6716967047332884
ACH-000318,-0.6645248063067732
ACH-000319,-0.6859629419706794
ACH-000320,-0.518429772341047
ACH-000322,-0.7426689715544037
ACH-000323,-0.6940399144418642
ACH-000324,-0.7183034160986063
ACH-000329,-0.5564016154925687
ACH-000330,-0.5100035318990406
ACH-000331,-0.5723646400981862
ACH-000332,-0.6422006218477476
ACH-000334,-0.8551868256989515
ACH-000335,-0.5901083834962851
ACH-000336,-0.7159209175420115
ACH-000337,-0.5766046139877201
ACH-000338,-0.5446064175684036
ACH-000339,-0.585093142878754
ACH-000341,-0.434036895181428
ACH-000348,-0.4040234649133604
ACH-000350,-0.7381316965382055
ACH-000352,-0.6459223250362094
ACH-000356,-0.6944700412102562
ACH-000361,-0.4190781290968656
ACH-000362,-0.68486602375088
ACH-000363,-0.7141363627361205
ACH-000364,-0.5963408232565321
ACH-000365,-0.6955144498155384
ACH-000366,-0.5453764886970422
ACH-000368,-0.7141548835809213
ACH-000374,-0.8833307051334564
ACH-000375,-0.778269319506482
ACH-000376,-0.5558683347311031
ACH-000381,-0.5843463181658595
ACH-000383,-0.5007947613795689
ACH-000387,-0.4541750494835704
ACH-000389,-0.6995974341514564
ACH-000390,-0.7896454307886835
ACH-000393,-0.8620080788952464
ACH-000395,-0.6636454930015029
ACH-000396,-0.6663836365564824
ACH-000397,-0.5874238926343156
ACH-000401,-0.5157642340366636
ACH-000402,-0.5816457185514624
ACH-000403,-0.7113621821336321
ACH-000404,-0.6153195880956561
ACH-000406,-0.5242136722937992
ACH-000407,-0.5173100050023475
ACH-000408,-0.8371571732937063
ACH-000410,-0.6308604370729121
ACH-000411,-0.647283059106213
ACH-000414,-0.5430261220878903
ACH-000415,-0.6463185618945826
ACH-000416,-0.5341933443036229
ACH-000420,-0.6789687553835346
ACH-000421,-0.5863167944682138
ACH-000424,-0.5185737868513229
ACH-000425,-0.7219391602330885
ACH-000426,-0.6622647438412215
ACH-000427,-0.59724780042055
ACH-000433,-0.4451064934069518
ACH-000435,-0.5484234563699468
ACH-000436,-0.5273056797996183
ACH-000444,-0.5712696680875791
ACH-000445,-0.7230473872437707
ACH-000448,-0.6742106930686471
ACH-000450,-0.3393698410535441
ACH-000452,-0.8268840543949451
ACH-000454,-0.7912339734217565
ACH-000458,-0.6415705980573714
ACH-000459,-0.285201235136471
ACH-000460,-0.6778418342484289
ACH-000461,-0.5553491412900161
ACH-000463,-0.5143517357134503
ACH-000464,-0.6686593938569175
ACH-000466,-0.5878723551465379
ACH-000467,-0.7122450474087734
ACH-000468,-0.4204314641230916
ACH-000469,-0.6996395927326242
ACH-000470,-0.7220875447828912
ACH-000471,-0.6565493611770425
ACH-000472,-0.764433245765328
ACH-000473,-0.5028341169801579
ACH-000475,-0.6885927591472443
ACH-000476,-0.6783242325992429
ACH-000477,-0.6862045960143498
ACH-000479,-0.601225796117855
ACH-000480,-0.6676204631079785
ACH-000481,-0.6230967460166944
ACH-000483,-0.6560350579225563
ACH-000484,-0.4049084358586438
ACH-000485,-0.5835330930729143
ACH-000486,-0.5665010335337691
ACH-000487,-0.5257276177871512
ACH-000488,-0.652960148381026
ACH-000490,-0.6983169023344866
ACH-000491,-0.5109133346216598
ACH-000495,-0.683719511125238
ACH-000496,-0.6293361854175612
ACH-000499,-0.5046544651727264
ACH-000500,-0.1306911749909782
ACH-000502,-0.5273008946478049
ACH-000503,-0.6915875969869945
ACH-000505,-0.5860886700934765
ACH-000507,-0.7385101283003318
ACH-000510,-0.3641519122793364
ACH-000511,-0.6819567748848008
ACH-000512,-0.6121331570726313
ACH-000516,-0.6879852636595595
ACH-000517,-0.7419511774542781
ACH-000518,-0.714950922549351
ACH-000520,-0.5845301146811541
ACH-000521,-0.6187387864197463
ACH-000522,-0.7206880856070853
ACH-000524,-0.6546134952843995
ACH-000527,-0.6267035321705654
ACH-000528,-0.6751286803066797
ACH-000537,-0.6812184102769311
ACH-000541,-0.5384728740315037
ACH-000542,-0.6137140786767871
ACH-000544,-0.7889177148709241
ACH-000545,-0.5728989509657528
ACH-000547,-0.4100688918768355
ACH-000548,-0.6780853471374229
ACH-000549,-0.6054128134755001
ACH-000550,-0.5404703624668902
ACH-000552,-0.5334039916053194
ACH-000556,-0.772805227811384
ACH-000557,-0.8218624215308387
ACH-000569,-0.5252065440097039
ACH-000570,-0.6541525134137837
ACH-000571,-0.6649907906378939
ACH-000573,-0.6432197040856895
ACH-000576,-0.6472548779738307
ACH-000579,-0.5954762427314395
ACH-000580,-0.6502587226595489
ACH-000584,-0.6079113068485439
ACH-000585,-0.7746972642554064
ACH-000588,-0.43352062307298794
ACH-000589,-0.6560421851543053
ACH-000591,-0.481796332414589
ACH-000593,-0.54321391268574
ACH-000600,-0.6979587688736804
ACH-000601,-0.643848337687147
ACH-000605,-0.969777140476106
ACH-000606,-0.5649341656914303
ACH-000608,-0.5361800970785863
ACH-000614,-0.7415372287491502
ACH-000616,-0.6010641259629307
ACH-000618,-0.5664106221535447
