,CENPP (401541)
ACH-000004,-0.32511603442806125
ACH-000005,0.08873083020573658
ACH-000007,-0.625635453579771
ACH-000009,-0.2661886890996344
ACH-000011,-0.6915409676446747
ACH-000012,-0.3560348348650945
ACH-000013,-0.1806098095388784
ACH-000014,-0.5665874871148024
ACH-000015,-0.7074346347972168
ACH-000017,-0.1709100525753176
ACH-000018,-0.4838212926412186
ACH-000019,-0.3332825349683827
ACH-000021,-0.262377156577761
ACH-000022,-0.7361773578390549
ACH-000025,-0.23400154870397985
ACH-000028,-0.50460845078745
ACH-000030,-0.4243308391720707
ACH-000035,-0.1949563254443401
ACH-000036,-0.636588102922126
ACH-000037,-0.29795953473835857
ACH-000039,-0.6538016245239785
ACH-000040,-0.4131795557557541
ACH-000041,-0.749530050397014
ACH-000042,-0.22263046716512347
ACH-000045,-0.5078219654174406
ACH-000047,-0.570901731939638
ACH-000052,-0.7210818330961886
ACH-000053,-0.3674994817198893
ACH-000054,-0.4535187566080152
ACH-000055,-0.4656686773504822
ACH-000060,-0.21659817540224696
ACH-000067,-0.9538087456777836
ACH-000070,-0.6237468058589829
ACH-000075,-0.3575166215465069
ACH-000078,-0.3680038411885467
ACH-000082,-0.2946637855689164
ACH-000085,-0.21814038258459595
ACH-000086,-0.18393637895680626
ACH-000087,-0.3654736894802749
ACH-000092,-0.2714414962657408
ACH-000095,-0.4638440920876395
ACH-000097,-0.3619103317327863
ACH-000098,-0.5950010063633074
ACH-000099,-0.6924307475588835
ACH-000108,-0.3837702279357605
ACH-000113,-0.4226686140797969
ACH-000116,-0.7422392018292371
ACH-000118,-0.1371941421952045
ACH-000120,-0.504392861445492
ACH-000123,-0.479870524771285
ACH-000127,-0.08379261743666233
ACH-000128,-0.6710012726598537
ACH-000132,-0.2224842517683916
ACH-000133,-0.4418008430928244
ACH-000137,-0.5447068014883218
ACH-000138,-0.2685800034440254
ACH-000142,-0.4763579571920836
ACH-000143,-0.5581828042491381
ACH-000146,-0.3965505669056332
ACH-000148,-0.7337040081861885
ACH-000150,-0.6266868575355027
ACH-000152,-0.4411534679612695
ACH-000153,-0.1034004321328484
ACH-000159,-0.5648967963991822
ACH-000160,-0.2236259744978607
ACH-000163,-0.4961601969027932
ACH-000167,-0.012170365060501806
ACH-000168,-0.1064494644615032
ACH-000169,-0.306887011969154
ACH-000178,-0.35382120452403953
ACH-000183,-0.7241137188132666
ACH-000188,-0.5617069745271028
ACH-000189,-0.5117857690897364
ACH-000190,-0.19406893418261406
ACH-000198,-0.15252911553659998
ACH-000203,-0.3760713271340541
ACH-000204,-0.13356341135844196
ACH-000206,0.01204481888861698
ACH-000207,-0.4972034081053689
ACH-000208,-0.7670498398918818
ACH-000210,-0.3301284366644121
ACH-000211,-0.8232846689542882
ACH-000215,-0.7333072237707513
ACH-000221,-0.5229470003400344
ACH-000222,-0.4168665370589861
ACH-000223,-0.30767803192925397
ACH-000226,-0.339656820302421
ACH-000227,-0.37920441017609774
ACH-000228,-0.5862376112115713
ACH-000231,-0.2580799308497365
ACH-000232,-0.8367562550069827
ACH-000233,-0.30183205826942144
ACH-000234,-0.6011272976119844
ACH-000235,-0.3226464448162185
ACH-000237,-0.7145834415705714
ACH-000238,-0.9326305648598496
ACH-000242,-0.31681503026018243
ACH-000243,-0.1680498366384865
ACH-000244,-0.7933688883535635
ACH-000246,-0.4542022713559781
ACH-000248,-0.3305375573723215
ACH-000250,-0.4891352845796265
ACH-000251,-0.4833522164773362
ACH-000252,-0.4733121172823134
ACH-000253,-0.4329092124271618
ACH-000255,-0.27107500814544433
ACH-000256,-0.32919666432891176
ACH-000257,-0.24884569907327456
ACH-000258,-0.4280189874900293
ACH-000259,-0.47645080491784497
ACH-000260,-0.6889149992842126
ACH-000261,-0.2811781027796093
ACH-000262,-0.513348335870193
ACH-000263,-0.4886497067693139
ACH-000264,-0.3887063635149661
ACH-000265,-0.20417284432081936
ACH-000266,-0.3523938232429856
ACH-000272,-0.4959630423761403
ACH-000274,-0.42829022472782025
ACH-000277,-0.15239976894251991
ACH-000278,-0.6511384440900928
ACH-000279,-0.8214399045545749
ACH-000280,-0.3184857499237612
ACH-000281,-0.4090209580654157
ACH-000288,-0.3865106754475701
ACH-000291,-0.4527102868823923
ACH-000293,-0.32726797445972833
ACH-000294,-0.30402249599117626
ACH-000295,-0.2972874329574658
ACH-000296,-0.4522021095697134
ACH-000302,-0.26317743222195306
ACH-000304,-0.08762744598594349
ACH-000307,-0.6384838832606213
