,OR52K1 (390036)
ACH-000221,-0.19889786238850485
ACH-000222,-0.0518690845620645
ACH-000223,-0.00634874606368545
ACH-000226,-0.010882438035933494
ACH-000227,0.04746663739162575
ACH-000228,0.0529573726167439
ACH-000231,0.1291999739239357
ACH-000232,0.08846626826215008
ACH-000233,0.0047467547242919066
ACH-000234,0.13657961531458965
ACH-000235,0.05875819553437496
ACH-000237,-0.02889442960467882
ACH-000238,0.20746430806642585
ACH-000242,-0.1356631628823886
ACH-000243,-0.014317280314200863
ACH-000244,0.1640956579551282
ACH-000246,-0.08336407421080991
ACH-000248,-0.0012082742205826926
ACH-000250,0.01896637322566668
ACH-000251,0.013910186675679495
ACH-000252,-0.2767997401426477
ACH-000253,-0.13943243683748852
ACH-000255,0.0602802058681786
ACH-000256,-0.08030244721605165
ACH-000257,0.24452959617167455
ACH-000258,-0.017908550785791514
ACH-000259,-0.020896358583074048
ACH-000260,-0.037696459342549775
ACH-000261,-0.027370468107795497
ACH-000262,0.16840528254258189
ACH-000263,-0.2207599510578398
ACH-000264,0.042856301453897884
ACH-000265,0.05601040519302948
ACH-000266,-0.019496387144308656
ACH-000272,0.022601622221976297
ACH-000274,0.013387304304291105
ACH-000277,0.010520338044192449
ACH-000278,-0.17641048259209655
ACH-000279,0.007492151811900063
ACH-000280,0.014270322707973931
ACH-000281,0.048242082309468734
ACH-000288,-0.10291834104365476
ACH-000291,-0.055051502613402865
ACH-000293,-0.0030070865065050557
ACH-000294,-0.039712301780967414
ACH-000295,0.08889262035655639
ACH-000296,0.04551467588315557
ACH-000302,0.12839876730052144
ACH-000304,-0.0045549080731287295
ACH-000307,-0.08271401116956804
ACH-000308,-0.050476475534088336
ACH-000310,0.06106665463365945
ACH-000311,-0.07158369173607851
ACH-000312,0.048485909505539014
ACH-000315,0.012124259641697529
ACH-000316,0.00867597575950935
ACH-000317,0.15759958997558918
ACH-000318,-0.07593192318882952
ACH-000319,0.09170341719595247
ACH-000320,0.1505268338426335
ACH-000322,-0.007826044646718853
ACH-000323,0.14964595840222716
ACH-000324,-0.0597019735448537
ACH-000329,-0.04512412102246288
ACH-000330,0.17984645157524784
ACH-000331,0.011487002807518569
ACH-000332,0.05846057276757456
ACH-000334,-0.05742679521415684
ACH-000335,-0.16857097978046173
ACH-000336,0.1278753030537561
ACH-000337,0.135740914474985
ACH-000338,-0.041030094402631945
ACH-000339,0.09466374535195718
ACH-000341,-0.0757917812078435
ACH-000348,0.04503481344912045
ACH-000350,-0.05013154596554099
ACH-000352,0.11512482949185555
ACH-000356,0.09021793552065008
ACH-000361,-0.12346761440443345
ACH-000362,-0.038836983663421684
ACH-000363,-0.013564297283699516
ACH-000364,-0.07057680628636785
ACH-000365,0.08273336382588045
ACH-000366,-0.012204478322617208
ACH-000368,0.1413036769324626
ACH-000374,-0.1053838332676358
ACH-000375,0.011424706901147151
ACH-000376,0.13328180548301574
ACH-000381,0.022048305904836283
ACH-000383,0.033080390874326925
ACH-000387,-0.04825422008407765
ACH-000389,0.05616786581521691
ACH-000390,0.1191267221501527
ACH-000393,-0.1024654858929143
ACH-000395,0.008450870919086672
ACH-000396,0.014374321001182955
ACH-000397,-0.01880362155194045
ACH-000401,0.13546292471342153
ACH-000402,-0.03987361614007746
ACH-000403,-0.06538392987540119
ACH-000404,-0.003422066347335128
ACH-000406,-0.019602752989563627
ACH-000407,0.08397885624820871
ACH-000408,0.009195683053790413
ACH-000410,5.225570448319931e-05
ACH-000411,-0.07036961046254854
ACH-000414,-0.040225451878917635
ACH-000415,0.07337696508871487
ACH-000416,0.026256324083380325
ACH-000420,-0.07621892094075658
ACH-000421,0.052387008284520434
ACH-000424,0.15098370487195947
ACH-000425,0.016967804149458882
ACH-000426,-0.04986558960109473
ACH-000427,0.06254090227018846
ACH-000433,-0.030679195096992764
ACH-000435,-0.20489974266520347
ACH-000436,0.12025813382714065
ACH-000444,-0.17770801851194393
ACH-000445,-0.22475618403214367
ACH-000448,0.024962759022449262
ACH-000450,0.33557290328040995
ACH-000452,-0.017739863587133652
ACH-000454,0.08280893850819633
ACH-000458,-0.047021952504790784
ACH-000459,0.07862814465196613
ACH-000460,-0.1101620875774044
ACH-000461,0.07031311264292005
ACH-000463,0.14542505381112425
ACH-000464,-0.1991836430085208
ACH-000466,0.15724711489507126
ACH-000467,0.04618770130539703
ACH-000468,0.01534684120869892
ACH-000469,0.058529200448532825
ACH-000470,-0.05753755433642376
ACH-000471,-0.13258801654640406
ACH-000472,0.03497216404693558
ACH-000473,0.18651933383922756
ACH-000475,0.03083289342859096
ACH-000476,0.0609364507759903
ACH-000477,-0.06562191402260131
ACH-000479,-0.0757765397306448
ACH-000480,-0.014859523630563306
ACH-000481,0.013553361726950406
ACH-000483,-0.08524567381246415
ACH-000484,0.0881155534796404
ACH-000485,-0.051198989546977616
ACH-000486,-0.003719391005080046
ACH-000487,0.036538870850903085
ACH-000488,0.0457618614505306
ACH-000490,-0.054889223347961834
ACH-000491,0.08117938662057733
ACH-000495,-0.11967843732265215
ACH-000496,0.01153865613189797
ACH-000499,0.12650237809681927
ACH-000500,-0.08478578689985165
ACH-000502,0.0376543824374416
ACH-000503,-0.0515648405775255
ACH-000505,-0.022810688834246612
ACH-000507,-0.11526509796708488
ACH-000510,-0.09709336360682448
ACH-000511,0.047633285610734336
ACH-000512,-0.1751936826101914
ACH-000516,0.03200711296540397
ACH-000517,-0.05261584628538737
ACH-000518,-0.05324813040580217
ACH-000520,0.1498223013224131
ACH-000521,0.06736578787250437
ACH-000522,-0.10603748684217054
ACH-000524,0.009846428175711104
ACH-000527,0.016589237786714887
ACH-000528,0.09481157217407186
ACH-000537,0.031695213665243416
ACH-000541,-0.049545023569561406
ACH-000542,0.04665503658705168
ACH-000544,0.009693996978588785
ACH-000545,-0.06628660841809901
ACH-000547,-0.2888191657299815
ACH-000548,0.010652093520232851
ACH-000549,-0.03725182626773669
ACH-000550,0.1042688729767647
ACH-000552,-0.019617075987101284
ACH-000556,0.09103209580556122
ACH-000557,0.0320544051841802
ACH-000569,-0.17867891840508995
ACH-000570,0.15661099875573384
ACH-000571,0.029478470711148917
ACH-000573,-0.011295332545335976
ACH-000576,0.0062075582871658225
ACH-000579,0.0800114951309777
ACH-000580,-0.05582282036761272
ACH-000584,0.02784166136699248
ACH-000585,0.03515233273808138
ACH-000588,0.13878367330490465
ACH-000589,-0.03803531656923666
ACH-000591,0.23517762868543385
ACH-000593,-0.03000811906829176
ACH-000600,-0.05457251709471494
ACH-000601,-0.03928522961932706
ACH-000605,0.04178245332141523
ACH-000606,-0.035912103675879735
ACH-000608,0.0537289005225581
ACH-000614,-0.039006949738212914
ACH-000616,-0.1106938931300483
ACH-000618,0.11691891740128885
ACH-000619,0.056385532477804874
ACH-000620,-0.14691585152145453
ACH-000621,0.07557007915334482
ACH-000622,0.04435365381149178
ACH-000623,0.03405324252638753
ACH-000624,-0.01941316989249435
ACH-000627,-0.11196778168947208
ACH-000630,-0.0328507759576054
ACH-000631,-0.22947260099220534
ACH-000632,-0.1085211722593211
ACH-000633,0.0009761710399547633
ACH-000637,0.05480363293637739
ACH-000638,0.12557005724965334
ACH-000646,0.11531335539144234
ACH-000647,-0.043694389900169266
ACH-000648,-0.07743919493995395
ACH-000649,0.062409599057032826
ACH-000651,0.040092088096904
ACH-000652,-0.030516150932965194
ACH-000653,-0.15020840759715393
ACH-000657,-0.07029637692904944
ACH-000658,-0.035921493964638486
ACH-000661,0.1136835794814392
ACH-000662,0.077642183404854
ACH-000663,0.015718147533414432
ACH-000665,0.08783221892928313
ACH-000671,0.03384588908993188
ACH-000672,-0.1653866494485164
ACH-000673,0.06462060852010264
ACH-000676,0.05568119474508748
ACH-000677,-0.06706005028433132
ACH-000681,0.06868046567117732
ACH-000683,0.03778719630609737
ACH-000684,-0.12524199271479253
ACH-000688,-0.03298488812289624
ACH-000693,0.004448302908706721
ACH-000694,0.07908393453766242
ACH-000695,-0.15689750199075791
ACH-000696,0.057811451161166975
ACH-000697,0.12288149406580764
ACH-000699,0.011986563868430224
ACH-000701,-0.0031694582289443804
ACH-000706,0.16221332738014405
ACH-000711,0.03874729388787062
ACH-000713,-0.09940815049093242
ACH-000714,0.13219115936857342
ACH-000718,0.1204125374320109
ACH-000720,0.028862868147110563
ACH-000721,0.001883890593293764
