,NETO2 (81831)
ACH-000004,0.07870501040317399
ACH-000005,-0.2230001885466698
ACH-000007,0.03154857026189917
ACH-000009,-0.033803057026389305
ACH-000011,0.04205069843337948
ACH-000012,0.027451560541419392
ACH-000013,0.02570148594477016
ACH-000014,0.1123289677227724
ACH-000015,0.1665247460268482
ACH-000017,-0.07650906865799657
ACH-000018,0.15542196537544348
ACH-000019,-0.024495757985545995
ACH-000021,-0.008427034993757477
ACH-000022,-0.04611927845751974
ACH-000025,0.03492736182843308
ACH-000028,-0.005216388933355499
ACH-000030,-0.062134318066175476
ACH-000035,-0.16528917765466186
ACH-000036,0.04942546609701379
ACH-000037,-0.02978462543859478
ACH-000039,-0.13371440016911426
ACH-000040,0.03709266132702485
ACH-000041,-0.04879489701644569
ACH-000042,-0.06712205358782407
ACH-000045,-0.14348005193580465
ACH-000047,0.00023338217137538241
ACH-000052,-0.00018652922879687853
ACH-000053,-0.001363784085354621
ACH-000054,0.015130449226653676
ACH-000055,-0.17326562510538224
ACH-000060,0.02080641642398996
ACH-000067,-0.02893553711763294
ACH-000070,-0.04568940342498986
ACH-000075,0.23592889777057116
ACH-000078,0.045929569208213686
ACH-000082,-0.17631654544836978
ACH-000085,-0.12789666179704676
ACH-000086,-0.002642980190398647
ACH-000087,0.09792403771681198
ACH-000092,-0.00470803984974495
ACH-000095,-0.06969405522041032
ACH-000097,-0.006744637979705468
ACH-000098,-0.04664851292847447
ACH-000099,0.08067664028045739
ACH-000108,0.05858784272620458
ACH-000113,0.03838195535737197
ACH-000116,0.0920305755637546
ACH-000118,-0.01580970179139449
ACH-000120,0.006031959030637242
ACH-000123,0.03725497434987807
ACH-000127,0.06910033757474371
ACH-000128,0.00037388472658280564
ACH-000132,-0.06296250401653873
ACH-000133,0.0436583058209837
ACH-000137,0.05397500081374245
ACH-000138,0.015951190150230183
ACH-000142,-0.057240080679979766
ACH-000143,0.10196388852275057
ACH-000146,-0.1609631034487555
ACH-000148,-0.012759941578377674
ACH-000150,0.08856471961151077
ACH-000152,-0.08812561308377648
ACH-000153,0.00013897178793379484
ACH-000159,0.14535404432227747
