,CORO7 (79585)
ACH-000406,-0.0564207473139822
ACH-000407,-0.27846810218879586
ACH-000408,-0.12140884615227047
ACH-000410,-0.15412518680195658
ACH-000411,-0.07050014079301845
ACH-000414,-0.20313597228140007
ACH-000415,-0.16700085876236903
ACH-000416,-0.16507156544908502
ACH-000420,-0.22449888746710445
ACH-000421,-0.11686436173612905
ACH-000424,-0.166967526996968
ACH-000425,-0.14349317705990391
ACH-000426,-0.020572272341850856
ACH-000427,-0.02540313050317236
ACH-000433,-0.21329714176290748
ACH-000435,-0.10960433459249637
ACH-000436,-0.08284611778167761
ACH-000444,-0.07484303371527032
ACH-000445,-0.14770324736200774
ACH-000448,-0.19115178515127249
ACH-000450,-0.1585954089089155
ACH-000452,-0.17770521703445466
ACH-000454,-0.14059159688333156
ACH-000458,-0.104332091043225
ACH-000459,-0.1929039033049316
ACH-000460,-0.030885485619446776
ACH-000461,-0.08289038445377689
ACH-000463,-0.15190721961851314
ACH-000464,-0.2444640658299875
ACH-000466,-0.18623223520119608
ACH-000467,-0.1938552474388897
ACH-000468,-0.05346250340560614
ACH-000469,-0.19447892197094965
ACH-000470,-0.029631883248184325
ACH-000471,-0.12095319622871326
ACH-000472,-0.05828485869153159
ACH-000473,-0.07076447284155046
ACH-000475,-0.14133363215179706
ACH-000476,-0.04659338999591844
ACH-000477,-0.17554790903006878
ACH-000479,-0.11074202953479458
ACH-000480,-0.02129893489410668
ACH-000481,-0.11150124944527327
ACH-000483,-0.38036785480496
ACH-000484,-0.1257000372925385
ACH-000485,-0.12791878518159627
ACH-000486,-0.2042716582413976
ACH-000487,-0.036404377499521086
ACH-000488,-0.11208918332506207
ACH-000490,-0.08092396318329377
ACH-000491,-0.19017348717077967
ACH-000495,-0.20437294665710407
ACH-000496,-0.22652450541523786
ACH-000499,-0.11477038365065345
ACH-000500,-0.017522942028768584
ACH-000502,-0.4276342560388693
ACH-000503,-0.038843862666221515
ACH-000505,-0.1464661328471805
ACH-000507,0.031612800802384815
ACH-000510,-0.15408001668434573
ACH-000511,-0.07734263425132372
ACH-000512,-0.046440530688784065
ACH-000516,-0.1577382046028087
ACH-000517,-0.08379348258060072
ACH-000518,-0.1182692432569972
ACH-000520,-0.07277967724669884
ACH-000521,-0.09614731741662297
ACH-000522,-0.1077177558722451
ACH-000524,-0.08873184127219198
ACH-000527,-0.1489431929443478
ACH-000528,-0.0740139696456878
ACH-000537,-0.15744460088450798
ACH-000541,-0.18783425134976706
ACH-000542,-0.06770251129357198
ACH-000544,0.09919606846051776
ACH-000545,0.013730280610097605
ACH-000547,0.06991621758314581
ACH-000548,-0.15347908842568106
ACH-000549,0.08168178261200196
ACH-000550,-0.19147115319078206
ACH-000552,0.027075819264450747
ACH-000556,-0.3609731544658981
ACH-000557,0.00790153131309583
ACH-000569,-0.2690590138964796
ACH-000570,-0.10877347587706848
ACH-000571,-0.07161602295488252
ACH-000573,-0.027863483081906903
ACH-000576,-0.062315616431733736
ACH-000579,-0.24272591287565504
ACH-000580,-0.07664133428887371
ACH-000584,-0.15837913267574422
ACH-000585,-0.16839680091737602
ACH-000588,-0.09603152757813692
ACH-000589,-0.37013219902529604
ACH-000591,-0.20186301155927447
ACH-000593,-0.1901153192437824
ACH-000600,-0.1380839094151808
ACH-000601,-0.27892574528826064
ACH-000605,-0.12519339040004454
ACH-000606,-0.09922662052641353
ACH-000608,-0.20519728826806471
ACH-000614,-0.08913044426000065
ACH-000616,-0.05571559749779646
ACH-000618,-0.07210194801908001
ACH-000619,-0.15207686954317665
ACH-000620,-0.07839359576120848
ACH-000621,-0.2422545430244349
ACH-000622,0.011295653801139905
ACH-000623,-0.2707778266674601
ACH-000624,-0.10998125902330072
ACH-000627,0.020118896375182698
ACH-000630,-0.180322414002405
ACH-000631,-0.12695839364200914
ACH-000632,-0.08538867053174781
ACH-000633,-0.15069067270494446
ACH-000637,0.011610527713714113
ACH-000638,-0.05095633175941243
ACH-000646,-0.046633751615555975
ACH-000647,-0.04015968962147449
ACH-000648,-0.3795866983867291
ACH-000649,-0.10830652790909748
ACH-000651,0.06878209952346387
ACH-000652,0.0037061088054760843
ACH-000653,-0.06013497621678751
ACH-000657,-0.1872869958767441
ACH-000658,-0.1455124185144686
ACH-000661,-0.06041364311560584
ACH-000662,-0.07009396134788111
ACH-000663,-0.07592423685819051
ACH-000665,0.004235723897096133
ACH-000671,-0.1550342385992495
ACH-000672,-0.1840617184223972
ACH-000673,-0.2793633902422451
ACH-000676,-0.04444034403236808
ACH-000677,-0.03614438850414596
ACH-000681,-0.17222487726233024
ACH-000683,-0.17637401871827196
ACH-000684,-0.17421245273183594
