,ZNFX1 (57169)
ACH-000004,0.005651842730870083
ACH-000005,0.11808808498736705
ACH-000007,-0.10077066233449422
ACH-000009,-0.12212038754605999
ACH-000011,0.1159590136411966
ACH-000012,0.0017273941658256249
ACH-000013,-0.0042335923802621295
ACH-000014,-0.30525910942126
ACH-000015,-0.05609861897884985
ACH-000017,-0.10109450607650494
ACH-000018,-0.08545104291809892
ACH-000019,-0.0977787542664066
ACH-000021,-0.0275129147531624
ACH-000022,0.019401204964381503
ACH-000025,-0.12876408839905118
ACH-000028,-0.12642442897849485
ACH-000030,-0.13606559687350442
ACH-000035,-0.3883209247525176
ACH-000036,-0.2290260225204012
ACH-000037,-0.05132303119569289
ACH-000039,-0.04155091842238543
ACH-000040,-0.07449832063039144
ACH-000041,0.051544716789589086
ACH-000042,-0.13380281348484155
ACH-000045,-0.16622767832081087
ACH-000047,-0.13405337790008773
ACH-000052,0.0943609887302226
ACH-000053,-0.09862924954241747
ACH-000054,-0.027470864632137524
ACH-000055,-0.042751680790161145
ACH-000060,-0.08512115055946254
ACH-000067,-0.01360181978023663
ACH-000070,-0.09976027953227168
ACH-000075,-0.22164899624133733
ACH-000078,-0.1274248961298818
ACH-000082,-0.3290310862624098
ACH-000085,0.015287136591456753
ACH-000086,-0.16012557990330295
ACH-000087,-0.21295945605605324
ACH-000092,-0.3761573070187081
ACH-000095,-0.08548274890357828
ACH-000097,-0.14401112856731332
ACH-000098,0.06321076704222706
ACH-000099,-0.03489041174959003
ACH-000108,-0.0011466546687320044
ACH-000113,-0.13210166112497151
ACH-000116,-0.11312828075032133
ACH-000118,-0.06503945568602056
ACH-000120,-0.11055393536144482
ACH-000123,-0.10089808322082452
ACH-000127,-0.10845965809941358
ACH-000128,-0.0614948884225054
ACH-000132,0.2210920855595223
ACH-000133,-0.10967632713168324
ACH-000137,-0.10481339163868413
ACH-000138,-0.1750974984896773
ACH-000142,-0.1648161975433495
ACH-000143,-0.19044042046463888
ACH-000146,-0.07190059338592189
ACH-000148,-0.07139907236077048
ACH-000150,0.012036235107101835
ACH-000152,-0.08374168109451695
ACH-000153,0.026089554379678352
ACH-000159,-0.008736051050703365
ACH-000160,-0.04143422159714225
ACH-000163,0.05085515002797054
ACH-000167,-0.2952016347675889
ACH-000168,0.0026354030743679065
ACH-000169,-0.2300381579808688
ACH-000178,-0.2453487681090808
ACH-000183,-0.060734322754781876
ACH-000188,-0.11205820482617254
ACH-000189,0.037823809005221434
ACH-000190,-0.1497374489583736
ACH-000198,-0.15515625934316238
ACH-000203,-0.2251943508711311
ACH-000204,-0.5442011704733227
ACH-000206,-0.1318486672403243
ACH-000207,-0.1361241656655711
ACH-000208,-0.17910397539711986
ACH-000210,-0.1469487578207467
ACH-000211,-0.08117265077938997
ACH-000215,-0.29878702704285315
ACH-000221,-0.07215847155487821
ACH-000222,-0.056473371143352075
ACH-000223,-0.07388327145692647
ACH-000226,-0.008682548627737666
ACH-000227,-0.1816368435981857
ACH-000228,-0.3786190881941396
ACH-000231,-0.5524101519321909
ACH-000232,-0.01127068451995475
ACH-000233,-0.11733207969957905
ACH-000234,-0.14635762109000902
ACH-000235,-0.11743165112150072
ACH-000237,-0.16716257694468914
ACH-000238,-0.2351111455057803
ACH-000242,-0.26580147027806944
