,ACTL7A (10881)
ACH-000004,-0.1347297133257527
ACH-000005,-0.035023379458311216
ACH-000007,-0.3264240612062675
ACH-000009,-0.2207029244945325
ACH-000011,-0.14484006242816228
ACH-000012,-0.2032880169494421
ACH-000013,-0.2745709510743947
ACH-000014,-0.26033390286362496
ACH-000015,-0.302125467130409
ACH-000017,-0.17730581510376128
ACH-000018,-0.23783129742532785
ACH-000019,-0.010827859933660429
ACH-000021,-0.219336397682287
ACH-000022,-0.273785722814768
ACH-000025,-0.27844704261987324
ACH-000028,-0.2303924214867165
ACH-000030,-0.21912381442011566
ACH-000035,-0.16883352160764528
ACH-000036,-0.22549951430581786
ACH-000037,-0.2537876436522598
ACH-000039,-0.2282823984707389
ACH-000040,-0.14877293122930904
ACH-000041,-0.1415835158520979
ACH-000042,-0.4119468172955662
ACH-000045,-0.2326154990283291
ACH-000047,-0.16294789801367593
ACH-000052,-0.5139207985713172
ACH-000053,-0.12320265623583568
ACH-000054,-0.20843411465581574
ACH-000055,-0.09270183366292764
ACH-000060,-0.22120655479303966
ACH-000067,0.028842962302992464
ACH-000070,0.030850500057577807
ACH-000075,-0.09618255877964034
ACH-000078,-0.14316899661588084
ACH-000082,-0.055319507828656383
ACH-000085,-0.2585331166143369
ACH-000086,-0.22321339813642627
ACH-000087,-0.4354422350581321
ACH-000092,-0.22800612498595704
ACH-000095,-0.25363313862996856
ACH-000097,-0.2907893105761605
ACH-000098,-0.24804138490164865
ACH-000099,-0.13537304714937112
ACH-000108,-0.14530196805189713
ACH-000113,-0.1502332610049361
ACH-000116,-0.255670853371513
ACH-000118,-0.37421398083010265
ACH-000120,-0.15933708826188606
ACH-000123,-0.2020405405468277
ACH-000127,-0.2337659601768248
ACH-000128,-0.2372023531216035
ACH-000132,-0.1709702884401281
ACH-000133,-0.41127849690911406
ACH-000137,-0.05382022465858919
ACH-000138,-0.2576908001943572
ACH-000142,-0.3548516357423388
ACH-000143,-0.09476431361155356
ACH-000146,-0.15585845540773585
ACH-000148,-0.1138055853032781
ACH-000150,-0.04620302588517553
ACH-000152,-0.3045175371862256
ACH-000153,-0.04995217331352314
ACH-000159,-0.3002464559856116
ACH-000160,-0.2328859553643013
ACH-000163,-0.35785843820981783
ACH-000167,0.03423635682686554
ACH-000168,-0.3649300356957605
ACH-000169,-0.26098473161042085
ACH-000178,-0.2575480515880739
ACH-000183,-0.17441899522168056
ACH-000188,-0.43583895103764897
ACH-000189,-0.03193493272811325
ACH-000190,-0.1760134415215527
ACH-000198,-0.12438911997309698
ACH-000203,-1.0420003634475277
ACH-000204,-0.20813148799226866
ACH-000206,-0.34499247426417023
ACH-000207,-0.38955562467454297
ACH-000208,-0.2381679775168988
ACH-000210,-0.2327567037507244
ACH-000211,-0.2635314289116228
ACH-000215,-0.23726099832822134
ACH-000221,-0.3477188791019237
ACH-000222,-0.319276858594092
ACH-000223,-0.16085153114719802
ACH-000226,-0.3191045775359672
ACH-000227,-0.1495667091022914
ACH-000228,-0.21698872093253227
ACH-000231,-0.2884623806639616
ACH-000232,-0.19897562588783085
ACH-000233,-0.20510069600813144
ACH-000234,-0.07253503571023744
ACH-000235,-0.2749983989010159
ACH-000237,-0.28754033289752645
ACH-000238,-0.296753919398878
ACH-000242,-0.27466396068314697
ACH-000243,-0.2396968908470841
ACH-000244,-0.11202967933127228
ACH-000246,-0.17076846599787626
ACH-000248,-0.19163358814788206
ACH-000250,-0.26101856360415304
ACH-000251,0.1996112735936484
ACH-000252,-0.41581394559520535
ACH-000253,-0.32260315502758163
ACH-000255,-0.3668051836169874
ACH-000256,-0.17659712153155785
ACH-000257,-0.13393151153427288
ACH-000258,-0.44830377001315774
ACH-000259,-0.2069777974851406
ACH-000260,-0.2034693023625279
ACH-000261,-0.13264620684704406
ACH-000262,-0.29895151539050785
ACH-000263,-0.2171439383057942
ACH-000264,-0.325633632152199
ACH-000265,-0.15365266284411128
ACH-000266,-0.2537873799300861
ACH-000272,-0.010303551069119165
ACH-000274,-0.3011384265364987
ACH-000277,-0.15265364363904033
ACH-000278,-0.11361295975472101
ACH-000279,-0.2495657076104816
ACH-000280,-0.25635314640413565
ACH-000281,-0.2690164896132925
ACH-000288,-0.07957994529845143
