,HIST1H2BB (3018)
ACH-000004,-0.4554077152895303
ACH-000005,-0.7876260231712134
ACH-000007,-0.5233885973047582
ACH-000009,-0.3082169293445673
ACH-000011,-0.5068437300687073
ACH-000012,-0.3904215187604673
ACH-000013,-0.36202698062267613
ACH-000014,-0.4730850880908956
ACH-000015,-0.2229262057226636
ACH-000017,-0.4319111767531961
ACH-000018,-0.2966890630290547
ACH-000019,-0.386033427923692
ACH-000021,-0.3444416565644561
ACH-000022,-0.2647664573462119
ACH-000025,-0.3376403851868379
ACH-000028,-0.3082583414786325
ACH-000030,-0.3528057032479985
ACH-000035,-0.4840907810261904
ACH-000036,-0.36326277580464383
ACH-000037,-0.2882178357741145
ACH-000039,-0.41077556631189815
ACH-000040,-0.32107134073542803
ACH-000041,-0.5145723341871167
ACH-000042,-0.5127501289657781
ACH-000045,-0.4791587429195705
ACH-000047,-0.3750054989270562
ACH-000052,-0.4825376535985642
ACH-000053,-0.4248197430805205
ACH-000054,-0.4081155905022396
ACH-000055,-0.4868563703805634
ACH-000060,-0.4186553130300767
ACH-000067,-0.2864979090311812
ACH-000070,-0.5172100130236861
ACH-000075,-0.5369098776441789
ACH-000078,-0.6267111621602288
ACH-000082,-0.4689067167541916
ACH-000085,-0.3738469956215439
ACH-000086,-0.4722588320136451
ACH-000087,-0.43805956704308
ACH-000092,-0.4555260839607311
ACH-000095,-0.6034527171400118
ACH-000097,-0.39271109851768976
ACH-000098,-0.37076657238247773
ACH-000099,-0.35670383869054795
ACH-000108,-0.30883406730161433
ACH-000113,-0.3421713932451657
ACH-000116,-0.4266018372412289
ACH-000118,-0.5306947299736162
ACH-000120,-0.3701121211648207
ACH-000123,-0.4024092491594324
ACH-000127,-0.3021911571410452
ACH-000128,-0.3711235006594499
ACH-000132,-0.3237488006736993
ACH-000133,-0.2987909615586822
ACH-000137,-0.2584891516518024
ACH-000138,-0.4319078100301966
ACH-000142,-0.4233197360393586
ACH-000143,-0.4172915523907148
ACH-000146,-0.4014090323079581
ACH-000148,-0.27610034065006595
ACH-000150,-0.3176339067263494
ACH-000152,-0.2950306696575341
ACH-000153,-0.6073582687095005
ACH-000159,-0.3199220029116142
ACH-000160,-0.1943978344788591
ACH-000163,-0.3032896458047836
ACH-000167,-0.14884940859445184
ACH-000168,-0.6709645429798371
ACH-000169,-0.6239024801286367
ACH-000178,-0.2554086893530907
ACH-000183,-0.4843210233979375
ACH-000188,-0.43093478876758107
ACH-000189,-0.2458439728207371
