,IRF2BP1 (26145)
ACH-000004,-0.1917208725274501
ACH-000005,-0.12475096426067503
ACH-000007,-0.19873428763656675
ACH-000009,-0.002406291209687934
ACH-000011,-0.027557499155474303
ACH-000012,-0.13988804348808034
ACH-000013,-0.23911969206771203
ACH-000014,-0.11676944017061387
ACH-000015,-0.057311556744529264
ACH-000017,-0.08072617042951978
ACH-000018,-0.16433462943027835
ACH-000019,-0.1644255626381722
ACH-000021,-0.14179872526617374
ACH-000022,-0.10213875726311047
ACH-000025,0.012820909123663876
ACH-000028,-0.18701476747495135
ACH-000030,-0.2810045218925203
ACH-000035,-0.11091474279115517
ACH-000036,0.11026403953206128
ACH-000037,-0.047535998633164586
ACH-000039,-0.2369144607368867
ACH-000040,-0.17724188354898246
ACH-000041,-0.1608122999456149
ACH-000042,0.014858328817189759
ACH-000045,-0.02578449599134462
ACH-000047,-0.2602933546857027
ACH-000052,-0.030101156773555918
ACH-000053,-0.3951276296149409
ACH-000054,-0.05628670953834476
ACH-000055,-0.1452079653837014
ACH-000060,0.06270672916898565
ACH-000067,0.0280754422300764
ACH-000070,-0.06402886176679885
ACH-000075,-0.2491335806886871
ACH-000078,-0.07010724019426143
ACH-000082,-0.07259543536149199
ACH-000085,-0.11609713611139645
ACH-000086,-0.14065513335831328
ACH-000087,0.0013132461206498615
ACH-000092,-0.029491612172387827
ACH-000095,-0.06886733656062256
ACH-000097,0.034760604121599925
ACH-000098,0.12599119695801567
ACH-000099,0.040724199623964105
ACH-000108,-0.1871837915090715
ACH-000113,0.017905232970429688
ACH-000116,-0.05277518893366246
ACH-000118,-0.039602206768114434
ACH-000120,0.010505348111005642
ACH-000123,-0.15787433128767772
ACH-000127,-0.08323380725123818
ACH-000128,0.017212363347066953
ACH-000132,-0.12775880762896147
ACH-000133,-0.19878288870606609
ACH-000137,-0.2261182175308092
ACH-000138,-0.15716636824340502
ACH-000142,-0.14563863100956104
ACH-000143,0.10218549248410903
ACH-000146,-0.18399899456645016
ACH-000148,0.03161531714481652
ACH-000150,-0.24114556748539245
ACH-000152,-0.08201078683211227
ACH-000153,-0.03660328956423005
ACH-000159,-0.06330584726136618
ACH-000160,-0.15749000938066784
ACH-000163,-0.04637159710774378
ACH-000167,-0.20221081237935165
ACH-000168,-0.31638580536673017
ACH-000169,-0.07419708680171969
ACH-000178,-0.0998906158973842
ACH-000183,0.09301447827232512
ACH-000188,-0.19097241946266133
ACH-000189,-0.3947682322662656
ACH-000190,-0.1788198387235964
