,IFRD2 (7866)
ACH-000004,-0.1840483783236604
ACH-000005,-0.053432046546280906
ACH-000007,-0.05618834836443285
ACH-000009,-0.11255613386630538
ACH-000011,-0.07172319594855532
ACH-000012,-0.14294600547272984
ACH-000013,-0.047590739324893334
ACH-000014,-0.08327408550354347
ACH-000015,-0.18139084496963692
ACH-000017,0.057054316955839575
ACH-000018,-0.1345061450713497
ACH-000019,-0.033805893047991024
ACH-000021,-0.1298374457292075
ACH-000022,-0.08642071209236096
ACH-000025,-0.2914454293750631
ACH-000028,-0.11359109055664475
ACH-000030,-0.19146482640592227
ACH-000035,-0.18443072273605912
ACH-000036,-0.2402098030940253
ACH-000037,-0.2130653352201997
ACH-000039,0.09393857504119654
ACH-000040,-0.2257755535193365
ACH-000041,-0.034569609790026774
ACH-000042,-0.2143741500111024
ACH-000045,-0.1978082541488896
ACH-000047,-0.2343379492723775
ACH-000052,-0.4289038251289336
ACH-000053,-0.16228605251882874
ACH-000054,-0.3049085921035577
ACH-000055,-0.30177209998014004
ACH-000060,-0.28789639754104945
ACH-000067,-0.3571949420612694
ACH-000070,0.041077588483252714
ACH-000075,-0.2979061176534067
ACH-000078,-0.19807981004757147
ACH-000082,-0.042803003055057014
ACH-000085,-0.13157956014893096
ACH-000086,-0.04566351243213535
ACH-000087,0.1591902020213961
ACH-000092,-0.14218638501298306
ACH-000095,-0.17974326737981214
ACH-000097,-0.19431048791847194
ACH-000098,-0.17481528669913707
ACH-000099,-0.04186710537040432
ACH-000108,-0.10115677042088846
ACH-000113,-0.10579429563901127
ACH-000116,-0.14205971185306546
ACH-000118,-0.24099932811382424
ACH-000120,-0.1397774663214977
ACH-000123,-0.16759610053592475
ACH-000127,-0.17604061113519115
ACH-000128,-0.2348356991314065
ACH-000132,-0.17220480020815693
ACH-000133,-0.19759838116310705
ACH-000137,-0.08013561073476543
ACH-000138,-0.09902723552026624
ACH-000142,-0.3533745034454593
ACH-000143,-0.27453756799548
ACH-000146,-0.15314727242432358
ACH-000148,-0.007902224537429905
ACH-000150,-0.4332317708921017
ACH-000152,-0.1837075428095836
ACH-000153,-0.13644317873700915
ACH-000159,-0.13831829170873974
ACH-000160,-0.21661293984640292
ACH-000163,-0.11734739839129615
ACH-000167,0.07507465538261653
ACH-000168,-0.3675146925504485
ACH-000169,-0.11064830075404887
ACH-000178,-0.02614053023730271
ACH-000183,-0.09477402927987016
ACH-000188,-0.25144464577994113
ACH-000189,-0.04728339485622703
ACH-000190,-0.2742635733543315
ACH-000198,-0.13612577833495715
ACH-000203,0.0691471193128897
ACH-000204,-0.12849624606485094
ACH-000206,-0.14655322427013545
ACH-000207,-0.2098665382285705
ACH-000208,-0.4233685430606389
ACH-000210,-0.4547440542577056
ACH-000211,-0.2075169454363312
ACH-000215,0.009720915428456586
ACH-000221,-0.20967186147429892
ACH-000222,0.005789800641656909
ACH-000223,-0.1831291979425911
ACH-000226,-0.2638655283097721
ACH-000227,-0.15733018849042024
ACH-000228,-0.2932988497221253
ACH-000231,-0.23606454780292654
ACH-000232,-0.11658196989003396
ACH-000233,-0.1942127813220153
ACH-000234,-0.1351610434350224
ACH-000235,-0.16280960967665378
ACH-000237,-0.18591819652284952
ACH-000238,-0.3248882065217614
ACH-000242,-0.07137559944316947
ACH-000243,-0.12155466575386008
ACH-000244,0.07785450935234314
ACH-000246,-0.1939542305540216
ACH-000248,-0.1709401343034301
ACH-000250,-0.17513403720812007
ACH-000251,0.2327668800132353
ACH-000252,-0.10080425787504074
ACH-000253,-0.16919582166818709
ACH-000255,-0.19646548720406007
ACH-000256,-0.22365551847855847
ACH-000257,0.14088039694911386
ACH-000258,-0.3985223119415932
ACH-000259,-0.14434135237569065
ACH-000260,-0.15582476086986136
ACH-000261,-0.2462894054821401
ACH-000262,0.0687142226786142
ACH-000263,-0.2865347044554313
ACH-000264,-0.2022368702711348
ACH-000265,-0.19374258584698445
ACH-000266,-0.1051136912680725
ACH-000272,-0.17564102402696155
ACH-000274,-0.09596490460171288
ACH-000277,-0.24483760973190236
ACH-000278,-0.12129977548430615
ACH-000279,-0.007236941209896444
ACH-000280,0.023156770173485382
ACH-000281,-0.16182404711519885
ACH-000288,-0.16074061523708474
ACH-000291,-0.19073299725569295
ACH-000293,0.035780939024654415
ACH-000294,-0.22553245226836
ACH-000295,-0.18239073624732247
ACH-000296,-0.03650737004240456
ACH-000302,-0.110683289369002
ACH-000304,-0.15752667411415505
ACH-000307,-0.241945800145677
ACH-000308,-0.10803794447075958
ACH-000310,-0.010880639601519422
ACH-000311,0.01971931774004284
ACH-000312,-0.0768101435789249
ACH-000315,-0.2055296841666682
ACH-000316,0.01983227983813232
ACH-000317,-0.11549223313888385
