,GRIP1 (23426)
ACH-000004,-0.09684538082662396
ACH-000005,-0.3082851634413337
ACH-000007,-0.06517024193660707
ACH-000009,-0.07110538640834284
ACH-000011,0.07380287710577932
ACH-000012,0.04124037169800119
ACH-000013,-0.008624887163796897
ACH-000014,0.026861843115506698
ACH-000015,-0.018643769474784692
ACH-000017,-0.07689200577909727
ACH-000018,0.06215994025308798
ACH-000019,0.06968156121167572
ACH-000021,-0.029549838248622538
ACH-000022,-0.04982574410805818
ACH-000025,-0.00025442501625897595
ACH-000028,-0.021136751278018742
ACH-000030,-0.04036589611543338
ACH-000035,-0.1412287895934002
ACH-000036,-0.09651856148453222
ACH-000037,-0.04878870551877585
ACH-000039,-0.04217586794548429
ACH-000040,-0.002736450992694563
ACH-000041,-0.06390794017252223
ACH-000042,-0.04060366363314677
ACH-000045,-0.10484257953404176
ACH-000047,0.007241405574729331
ACH-000052,0.058658968192158316
ACH-000053,-0.04991020720621119
ACH-000054,-0.017897546647196054
ACH-000055,-0.11695163958397832
ACH-000060,0.04421870543325627
ACH-000067,0.0053222172839966575
ACH-000070,-0.20164743066520535
ACH-000075,-0.02635545019800986
ACH-000078,0.07938642524618136
ACH-000082,0.02287890299002799
ACH-000085,0.024576992417164743
ACH-000086,-0.20521816979606813
ACH-000087,0.05216188364249477
ACH-000092,-0.030767483893292417
ACH-000095,-0.015391010009337253
ACH-000097,0.00044226265004899197
ACH-000098,0.001830059194301089
ACH-000099,0.01305420379776307
ACH-000108,0.12213040939928985
ACH-000113,-0.05996911477191817
ACH-000116,-0.10457780067539432
ACH-000118,-0.07154619139581073
ACH-000120,-0.052119470192868785
ACH-000123,-0.1240071068183144
ACH-000127,-0.07473770062573094
ACH-000128,-0.12875673237523733
ACH-000132,-0.03903066173512788
ACH-000133,-0.15710655488732247
ACH-000137,-0.05133259112820103
ACH-000138,-0.019976586133627187
ACH-000142,-0.03359484096029476
ACH-000143,-0.137124953236949
ACH-000146,0.028547631240739536
ACH-000148,-0.15976676237558074
ACH-000150,-0.12892177733264154
ACH-000152,-0.09153745665296782
ACH-000153,-0.15508346188147384
ACH-000159,0.08976277543513073
ACH-000160,0.16241987025460172
ACH-000163,0.010504213665056248
ACH-000167,0.17993253231834794
ACH-000168,0.07692717435538021
ACH-000169,0.01577315115825124
ACH-000178,-0.009077033436611677
ACH-000183,-0.03555194445081962
ACH-000188,-0.022947684347582004
ACH-000189,0.15703280738111572
ACH-000190,0.05778939379317639
ACH-000198,-0.08827155957403436
ACH-000203,-0.160207772271612
ACH-000204,-0.03806538217782893
ACH-000206,-0.0444190283324613
