,PIK3CG (5294)
ACH-000004,-0.06328629589344509
ACH-000005,-0.08248609716616198
ACH-000007,-0.15033145324553734
ACH-000009,0.05087810634068096
ACH-000011,-0.018225281627404798
ACH-000012,-0.1389802028445214
ACH-000013,0.002739248238562748
ACH-000014,-0.05750493656668448
ACH-000015,0.03814741495298653
ACH-000017,-0.011535916943463913
ACH-000018,-0.049114614984383104
ACH-000019,-0.00798599181863832
ACH-000021,-0.13545560467918075
ACH-000022,-0.10035819008737096
ACH-000025,0.029927471754561768
ACH-000028,0.002058710049069377
ACH-000030,0.0379812909578484
ACH-000035,-0.2307299949583498
ACH-000036,-0.052451062044127215
ACH-000037,-0.04454791408990219
ACH-000039,-0.01516592199068707
ACH-000040,-0.06773084978475025
ACH-000041,-0.08704959513977935
ACH-000042,-0.0737615258601721
ACH-000045,-0.012313033249090556
ACH-000047,-0.03172330285646816
ACH-000052,-0.20417664415915612
ACH-000053,-0.023734864979820896
ACH-000054,0.019098169713901318
ACH-000055,-0.017110525617545946
ACH-000060,-0.0012226019813867722
ACH-000067,-0.07819874721464537
ACH-000070,0.0403848653940539
ACH-000075,0.007835165122974797
ACH-000078,-0.08916792490455352
ACH-000082,-0.06670990425651163
ACH-000085,0.0009752887669896363
ACH-000086,0.11840398613416675
ACH-000087,-0.06756340463267617
ACH-000092,0.043478091225143234
ACH-000095,0.020586480514565686
ACH-000097,-0.012446921776304878
ACH-000098,0.035649253553221086
ACH-000099,-0.0028702459197939307
ACH-000108,-0.010016103432109905
ACH-000113,-0.044638761033315016
ACH-000116,0.02558011503676894
ACH-000118,-0.08163768423376036
ACH-000120,-0.0961430887142951
ACH-000123,-0.03639281757867889
ACH-000127,-0.021314248756881992
ACH-000128,-0.12178599021253803
ACH-000132,0.012249544313254573
ACH-000133,-0.15569356734409776
ACH-000137,-0.040369694509271414
ACH-000138,0.06352947469506136
ACH-000142,-0.02800789873119135
ACH-000143,-0.006504753652179748
ACH-000146,-0.2999410147058696
ACH-000148,0.043133084616095135
ACH-000150,0.12611877722334705
ACH-000152,-0.14217715759109056
ACH-000153,0.1843047532784753
ACH-000159,-0.05428390598498523
ACH-000160,-0.16842221436316904
ACH-000163,0.06890886879568336
ACH-000167,-0.014001874346760665
ACH-000168,-0.3056035503589273
