,PDSS2 (57107)
ACH-000004,-0.05662272239955461
ACH-000005,-0.4570977334900593
ACH-000007,-0.4910071421175617
ACH-000009,-0.05949334264364529
ACH-000011,-0.011252459089717266
ACH-000012,-0.14780853919834386
ACH-000013,-0.22392324272248024
ACH-000014,-0.1734614469174007
ACH-000015,-0.12018204013049125
ACH-000017,-0.3753986894346888
ACH-000018,-0.1357979070855715
ACH-000019,-0.1423134527370819
ACH-000021,-0.2585379218367354
ACH-000022,-0.1809497204394733
ACH-000025,-0.2604576928243442
ACH-000028,-0.19495302723064226
ACH-000030,-0.1350390185707312
ACH-000035,-0.09425797688021684
ACH-000036,0.2300345389224478
ACH-000037,-0.38554282068111023
ACH-000039,0.11432628005812735
ACH-000040,-0.14434443418293905
ACH-000041,-0.12163309753058073
ACH-000042,-0.04323825754800965
ACH-000045,-0.31069364139334743
ACH-000047,-0.4525265935566157
ACH-000052,0.1216591575873482
ACH-000053,-0.25053130408063656
ACH-000054,-0.351549088730766
ACH-000055,-0.1460934368467749
ACH-000060,-0.21824039073926568
ACH-000067,-0.16786825577834233
ACH-000070,-0.4519070132483163
ACH-000075,-0.3297806724918558
ACH-000078,-0.04218025620566796
ACH-000082,-0.13475189177036456
ACH-000085,-0.3419807291785013
ACH-000086,-0.22417681568125555
ACH-000087,-0.40127881567218027
ACH-000092,-0.16644563162962306
ACH-000095,0.008864529312557387
ACH-000097,-0.1765709078238893
ACH-000098,-0.20466935776720205
ACH-000099,-0.15463981853333875
ACH-000108,-0.07176644796103004
ACH-000113,-0.15275204503755302
ACH-000116,-0.2204868864865842
ACH-000118,-0.6658276181703976
ACH-000120,-0.1629753882124698
ACH-000123,-0.08759993666954859
ACH-000127,-0.2425435710216536
ACH-000128,-0.3201400255217169
ACH-000132,-0.2736362027782135
ACH-000133,-0.14795787713098266
ACH-000137,-0.061832312095013636
ACH-000138,-0.4105471066833777
ACH-000142,-0.026080772733303368
ACH-000143,-0.1855556195559119
ACH-000146,-0.13946330836458132
ACH-000148,-0.31686307700749955
ACH-000150,-0.18111223067958795
ACH-000152,-0.0795282784529096
ACH-000153,-0.27071402673926914
ACH-000159,-0.25491448626752883
ACH-000160,-0.22738821105209026
ACH-000163,-0.054337777147614535
ACH-000167,-0.3448558261909217
ACH-000168,-0.0180617228416537
ACH-000169,-0.2033395341391485
ACH-000178,-0.08106702979488671
ACH-000183,-0.5107329436810433
ACH-000188,0.07579504700139428
ACH-000189,0.16012052372298669
ACH-000190,-0.2828204138652433
ACH-000198,-0.09497436542751314
ACH-000203,-0.0967975861430054
ACH-000204,-0.5389913851690478
ACH-000206,-0.4585309068858589
ACH-000207,-0.4478334436694279
ACH-000208,-0.055793917439702516
ACH-000210,-0.2719418211507563
ACH-000211,-0.0901698365906378
ACH-000215,-0.16103157317443687
ACH-000221,-0.17308594066690097
ACH-000222,-0.1495523573518242
ACH-000223,-0.396040622535825
ACH-000226,-0.3986776811005469
ACH-000227,-0.20657123211613795
ACH-000228,-0.07853342540967131
ACH-000231,-0.15560409273418774
ACH-000232,-0.07651477894550325
ACH-000233,-0.19541933808820144
ACH-000234,-0.06315340785060161
ACH-000235,-0.2307327760638756
ACH-000237,-0.08973807393027178
ACH-000238,-0.1162872746820902
ACH-000242,-0.18748443220314376
ACH-000243,-0.16985570885546242
ACH-000244,-0.24874054808915624
ACH-000246,-0.4750849415998594
ACH-000248,-0.1966296591094948
ACH-000250,-0.014509075196570981
ACH-000251,0.020509821739940454
ACH-000252,-0.18629231293706655
ACH-000253,-0.03781677684188989
ACH-000255,-0.2730581187590568
ACH-000256,-0.0009825508951290033
