,STK38L (23012)
ACH-000004,0.1246200743766028
ACH-000005,0.13695881721827347
ACH-000007,0.13447667526628876
ACH-000009,0.24543873951195064
ACH-000011,0.04243680135640388
ACH-000012,0.12028174309018665
ACH-000013,0.07866248241874647
ACH-000014,-0.2235227811778264
ACH-000015,-0.10716100432524546
ACH-000017,0.019397969476388485
ACH-000018,-0.08009450953177985
ACH-000019,0.0045579070873105094
ACH-000021,-0.023230841609605646
ACH-000022,0.03745258569308041
ACH-000025,-0.11521337801547275
ACH-000028,0.03650693976290572
ACH-000030,0.1190013161330755
ACH-000035,-0.14775549627843593
ACH-000036,-0.0643789092062973
ACH-000037,-0.05419372247128485
ACH-000039,0.05295560740195476
ACH-000040,0.0761984746750893
ACH-000041,-0.04973774470538223
ACH-000042,0.042093701169440285
ACH-000045,0.014752274311442687
ACH-000047,-0.011913014793263484
ACH-000052,-0.23070130107624345
ACH-000053,0.07928586582372324
ACH-000054,-0.09479924702537214
ACH-000055,-0.005340342175423857
ACH-000060,-0.012712573568820029
ACH-000067,0.024827712268032782
ACH-000070,-0.005903296279171106
ACH-000075,0.2634611599139653
ACH-000078,-0.016575527052422524
ACH-000082,-0.0574402212175251
ACH-000085,0.08952104680695441
ACH-000086,-0.0278381863382365
ACH-000087,-0.1637526607017301
ACH-000092,0.0512614130158964
ACH-000095,-0.041820899237502984
ACH-000097,0.03123852438885841
ACH-000098,0.041021409506921735
ACH-000099,-0.080478763908765
ACH-000108,0.12204786649092915
ACH-000113,-0.04256863866013207
ACH-000116,-0.10320678333942067
ACH-000118,0.0614426222588735
ACH-000120,-0.0409492274680684
ACH-000123,-0.02878004418791688
ACH-000127,-0.004738371570102671
ACH-000128,-0.07270274676352599
ACH-000132,-0.010331620196146557
ACH-000133,0.013724428425303107
ACH-000137,0.014216785626678006
ACH-000138,-0.02513753695134284
ACH-000142,-0.12141268984379384
ACH-000143,-0.11494293317215598
ACH-000146,-0.11457480760701642
ACH-000148,0.0864210056548323
ACH-000150,0.1253370783910443
ACH-000152,0.19470301099689288
ACH-000153,-0.026362128689079164
ACH-000159,-0.05350909018184812
ACH-000160,-0.06692559273849237
ACH-000163,-0.12396297765168647
ACH-000167,-0.24337658184591315
ACH-000168,0.017904628411763997
ACH-000169,-0.11162945342774504
ACH-000178,0.0005643362219539741
ACH-000183,0.16930265614379386
ACH-000188,0.011825144821359448
ACH-000189,-0.11938426034212228
ACH-000190,0.09168926997541912
ACH-000198,-0.08967087707937292
ACH-000203,0.01739132575966857
ACH-000204,0.08279640854199219
ACH-000206,-0.1156984410197496
ACH-000207,0.004599541126632713
ACH-000208,-0.05030777295299699
ACH-000210,-0.10682023370511526
ACH-000211,-0.010551807849737006
ACH-000215,-0.0980201282052652
ACH-000221,-0.2300651054456578
