,GPAT2 (150763)
ACH-000004,-0.12817716068756452
ACH-000005,-0.2546789762176616
ACH-000007,-0.3148103637102181
ACH-000009,-0.3367879537244758
ACH-000011,-0.16389205095375306
ACH-000012,-0.408915671282296
ACH-000013,-0.3592313315217661
ACH-000014,-0.2346917585268145
ACH-000015,-0.3690470858445522
ACH-000017,-0.5086241505108308
ACH-000018,-0.5105835639475317
ACH-000019,-0.3816265740337801
ACH-000021,-0.3343862426537514
ACH-000022,-0.4964369410348837
ACH-000025,-0.13763993899476384
ACH-000028,-0.3471740261405572
ACH-000030,-0.3941294606340813
ACH-000035,-0.3436795353603129
ACH-000036,-0.3900414747972389
ACH-000037,-0.4239889622984281
ACH-000039,-0.2337501743687959
ACH-000040,-0.5339091033109803
ACH-000041,-0.08087643267800038
ACH-000042,-0.135198202013224
ACH-000045,-0.25712033539681545
ACH-000047,-0.03121222940928298
ACH-000052,-0.20920178820485327
ACH-000053,-0.2661221543224809
ACH-000054,-0.4026942728883992
ACH-000055,-0.41595045777725775
ACH-000060,-0.3082154184003366
ACH-000067,-0.5460205756908074
ACH-000070,-0.1935355784383818
ACH-000075,-0.24844234196888665
ACH-000078,-0.2298862323958872
ACH-000082,-0.3292358346262
ACH-000085,-0.2595674881258294
ACH-000086,-0.40636687431522295
ACH-000087,-0.6912073389465335
ACH-000092,-0.5030692069068587
ACH-000095,-0.2514976753375719
ACH-000097,-0.13552791284945254
ACH-000098,-0.3237906068982538
ACH-000099,-0.2904016060161261
ACH-000108,-0.3282660772357038
ACH-000113,-0.25053027395437993
ACH-000116,-0.17234095978135638
ACH-000118,-0.3473512702989895
ACH-000120,-0.1174836472415188
ACH-000123,-0.4491691403982043
ACH-000127,-0.2148402658043896
ACH-000128,-0.4489407943220085
ACH-000132,-0.1004963702390846
ACH-000133,-0.29364952354895285
ACH-000137,-0.3195313803436628
ACH-000138,-0.21173155598890286
ACH-000142,-0.27955266103764226
ACH-000143,-0.4534646017612815
ACH-000146,-0.3945468874848703
ACH-000148,-0.247625273260988
ACH-000150,0.01725446712174326
ACH-000152,-0.2705753435246346
ACH-000153,-0.36626860434022585
ACH-000159,-0.24768729129108796
ACH-000160,0.007906765328551842
ACH-000163,-0.3249607966953881
ACH-000167,-0.6422750411456195
ACH-000168,-0.059380364240675165
ACH-000169,-0.2264162784576643
ACH-000178,-0.3430664654106652
ACH-000183,-0.324365347989968
ACH-000188,-0.30209981140740305
ACH-000189,-0.33635001649865665
ACH-000190,-0.32107697942897995
ACH-000198,-0.5270057416346415
ACH-000203,-0.11129856786909678
ACH-000204,-0.2007024043293441
ACH-000206,-0.3622313947275306
ACH-000207,-0.42368484050929145
ACH-000208,-0.19580555224458654
ACH-000210,-0.2313636449574477
ACH-000211,-0.3873367169656238
ACH-000215,-0.3393695888955401
ACH-000221,-0.4932542913322668
ACH-000222,-0.6615966547115055
ACH-000223,-0.4201810496471825
ACH-000226,-0.2883673021995477
ACH-000227,-0.2742301570469616
ACH-000228,-0.3155488236280435
ACH-000231,-0.3503346208978704
ACH-000232,-0.17409088256194954
ACH-000233,-0.22343555334003745
ACH-000234,-0.3081771153301868
ACH-000235,-0.2781148320333689
ACH-000237,-0.4009146226556095
ACH-000238,-0.3207625276330251
ACH-000242,-0.4643985952146124
ACH-000243,-0.4523925622575073
ACH-000244,-0.4773161712924114
ACH-000246,-0.34705946531541554
ACH-000248,-0.3981589296421861
ACH-000250,-0.3690240775335502
ACH-000251,-0.30139083312547504
ACH-000252,-0.4213986664011325
ACH-000253,-0.3950941054180183
ACH-000255,-0.2591093854158173
ACH-000256,-0.32518205063101185
ACH-000257,-0.3806423665447363
ACH-000258,-0.13572972676235176
ACH-000259,-0.2667717876750221
ACH-000260,-0.24400166056600145
ACH-000261,-0.22087810275373354
ACH-000262,-0.36602668559435203
ACH-000263,-0.34260119272567946
ACH-000264,-0.30332120807208346
ACH-000265,-0.3446169680788416
ACH-000266,-0.31409304419504136
ACH-000272,-0.3976213846598423
ACH-000274,-0.3780892833937896
ACH-000277,-0.2626809815450357
ACH-000278,-0.1478423905398451
ACH-000279,-0.18340802405998308
ACH-000280,-0.2295487145645381
ACH-000281,-0.12199223163561497
ACH-000288,-0.500502685933197
ACH-000291,-0.23759474774989275
ACH-000293,-0.4194031742095952
ACH-000294,-0.3935214093595159
ACH-000295,-0.5939356797401544
ACH-000296,-0.2871776089128605
ACH-000302,-0.2827197676368946
ACH-000304,-0.25734361685480805
ACH-000307,-0.3992386562865803
ACH-000308,-0.1828582240122334
ACH-000310,-0.1005827884542196
ACH-000311,-0.3591393499939271
ACH-000312,-0.21637547577726066
ACH-000315,-0.15060730678302392
ACH-000316,-0.5029582387640159
ACH-000317,-0.20412788197913626
ACH-000318,-0.4638514999785419
ACH-000319,-0.3438018054626561
ACH-000320,-0.33258792484946176
ACH-000322,-0.21635180377893626
ACH-000323,-0.6096167091952398
ACH-000324,-0.467944499342585
ACH-000329,-0.4504732185851176
ACH-000330,-0.4819979199740697
ACH-000331,-0.16861531759757092
ACH-000332,-0.2714201412633616
ACH-000334,-0.4902145241057762
ACH-000335,-0.3729642188596556
ACH-000336,-0.4084511295671544
ACH-000337,-0.26738386002434866
ACH-000338,-0.3556090599845597
ACH-000339,-0.3133015623410396
ACH-000341,-0.3367366740146321
ACH-000348,-0.30224436810968786
ACH-000350,-0.1762284850015131
ACH-000352,-0.29741080972417183
ACH-000356,-0.2995457132323501
ACH-000361,-0.5169868190504683
ACH-000362,-0.3684847205318751
ACH-000363,-0.21520338317523505
ACH-000364,-0.40976582446464505
ACH-000365,-0.3389471365837229
ACH-000366,-0.2947832678711495
ACH-000368,-0.2509245793771481
ACH-000374,-0.5725161978707962
ACH-000375,-0.372929714252524
ACH-000376,-0.3411538740918771
ACH-000381,-0.27941342436153555
ACH-000383,-0.3125843862581639
ACH-000387,-0.1238944554246732
ACH-000389,-0.16269104418391978
ACH-000390,-0.36593442327385695
ACH-000393,-0.5088246883139836
ACH-000395,-0.4218507926759128
ACH-000396,-0.3122137698101697
ACH-000397,-0.2514882136931897
ACH-000401,-0.521970876656949
ACH-000402,-0.3700095967195127
ACH-000403,-0.4070171938158841
ACH-000404,-0.2608805676468155
ACH-000406,-0.3364858197631612
ACH-000407,-0.4502877309888644
ACH-000408,-0.2056052393709445
ACH-000410,-0.3048438322931229
ACH-000411,-0.2030852748547824
ACH-000414,-0.3252532868327908
ACH-000415,-0.32274235662854817
ACH-000416,-0.2510948647407658
ACH-000420,-0.30019052878360314
ACH-000421,-0.3510054915558171
ACH-000424,-0.4865538067069271
ACH-000425,-0.4291449240665586
ACH-000426,-0.3204693181032733
ACH-000427,-0.2663016312046085
ACH-000433,-0.4092169515751594
ACH-000435,-0.06184495054275376
ACH-000436,-0.3217895154690133
ACH-000444,-0.2276742525356571
ACH-000445,-0.4657207016711329
ACH-000448,-0.4117409714104985
ACH-000450,-0.2979859212619969
ACH-000452,-0.2750757268219731
ACH-000454,-0.35217649722062794
ACH-000458,-0.4613241749837394
ACH-000459,-0.3203780963816177
ACH-000460,-0.3001867444363246
ACH-000461,-0.4221395285400455
ACH-000463,-0.2907295791277104
ACH-000464,-0.2818564627375349
ACH-000466,-0.4855223555577206
ACH-000467,-0.3639577784600401
ACH-000468,-0.3841148646463736
ACH-000469,-0.29291989382743794
ACH-000470,-0.4420090199880339
ACH-000471,-0.1944527276034516
ACH-000472,-0.2978250202321421
ACH-000473,-0.3374225938827109
ACH-000475,-0.3103374997917953
ACH-000476,-0.3611276841469512
ACH-000477,-0.31493185772836696
ACH-000479,-0.6860903173717401
ACH-000480,-0.3174248262452862
ACH-000481,-0.3966167523905249
ACH-000483,-0.2337171470326154
ACH-000484,-0.4613063245948911
ACH-000485,-0.3131482346807469
ACH-000486,-0.2835966029331771
ACH-000487,-0.18565804563628133
ACH-000488,-0.3431800438953989
ACH-000490,-0.3584072245442773
ACH-000491,-0.4779057982573211
ACH-000495,-0.5333105558313407
ACH-000496,-0.5501599328711492
ACH-000499,-0.14754633933527214
ACH-000500,0.08367916119882139
ACH-000502,-0.3522504168954846
ACH-000503,-0.3996474527389269
ACH-000505,-0.5041208480268041
ACH-000507,-0.1787166805765355
ACH-000510,-0.3414119593441349
ACH-000511,-0.16830256452900047
ACH-000512,-0.4183100441119367
ACH-000516,-0.31278162333971915
ACH-000517,-0.35789884337398525
ACH-000518,-0.26932518664819544
ACH-000520,-0.3848367211500389
ACH-000521,-0.6433540548849728
ACH-000522,-0.2870339610836084
ACH-000524,-0.24380934804962626
ACH-000527,-0.2328106016997087
ACH-000528,-0.21646275270118848
ACH-000537,-0.4876549794210953
ACH-000541,-0.3487124553240629
ACH-000542,-0.1826654322113457
ACH-000544,-0.452425756124162
ACH-000545,-0.4278345601422597
ACH-000547,-0.2587585336965677
ACH-000548,-0.23907633209633716
ACH-000549,-0.2892742538795797
ACH-000550,-0.3621149883314171
ACH-000552,-0.3421784201927364
ACH-000556,-0.3730463228691815
ACH-000557,-0.3020656927200268
ACH-000569,-0.6533083126256473
ACH-000570,-0.5416917632151179
ACH-000571,-0.26083366810457825
ACH-000573,-0.2245176120846782
ACH-000576,-0.20368790605424109
ACH-000579,-0.6042627537071484
ACH-000580,-0.2128753503752817
ACH-000584,-0.3724291422842037
ACH-000585,-0.18677494059623592
ACH-000588,-0.2408790579281916
ACH-000589,-0.4372071534575903
ACH-000591,-0.4939797497076665
ACH-000593,-0.4193546595532564
ACH-000600,-0.44698632309658975
ACH-000601,-0.2570681927262514
ACH-000605,-0.5361806093708769
ACH-000606,-0.463695267886455
ACH-000608,-0.2938900048665856
ACH-000614,-0.4475736503802151
ACH-000616,-0.3195206761207873
ACH-000618,-0.3338270799251125
ACH-000619,-0.5592525637485137
ACH-000620,-0.2959527769201734
ACH-000621,-0.3697681739329963
ACH-000622,-0.3596799670205067
ACH-000623,-0.5025821868522952
ACH-000624,-0.3211131840761009
ACH-000627,-0.37235837148966056
ACH-000630,-0.6275463608121584
ACH-000631,-0.2458160296388404
ACH-000632,-0.19969922349048236
ACH-000633,-0.3305494033850177
ACH-000637,-0.5126280881147319
ACH-000638,-0.29309079566562496
ACH-000646,-0.1444037381755622
ACH-000647,-0.26618069769636576
ACH-000648,-0.4574904646611737
ACH-000649,-0.3933227148055921
ACH-000651,-0.1843444549468967
ACH-000652,-0.4344629241691955
ACH-000653,-0.1969638819872621
ACH-000657,-0.3916033962684333
ACH-000658,-0.20745692856222045
ACH-000661,-0.30261334026565634
ACH-000662,-0.4374445905482989
ACH-000663,-0.37961599577170413
ACH-000665,-0.3883582473009696
ACH-000671,-0.2849378787011078
ACH-000672,-0.4131153082518256
ACH-000673,-0.37971820879383184
ACH-000676,-0.17880362098574631
ACH-000677,-0.3280313884622236
ACH-000681,-0.20383754771347684
ACH-000683,-0.18415283840141952
ACH-000684,-0.4714680584417293
ACH-000688,-0.4507031187698166
ACH-000693,-0.2838707659743182
ACH-000694,-0.10894054090327566
ACH-000695,-0.24576584069949955
ACH-000696,-0.3120736061852627
ACH-000697,-0.24486708757583084
ACH-000699,-0.2192766169544131
ACH-000701,-0.3517131402364102
ACH-000706,-0.16915568437521972
ACH-000711,-0.4192406533992502
ACH-000713,-0.3856511158424749
ACH-000714,-0.5455279286856922
ACH-000718,-0.3260495047154344
ACH-000720,-0.2661621461259117
ACH-000721,-0.3726373976318288
ACH-000724,-0.4773731717108658
ACH-000725,-0.2884457806667501
ACH-000732,-0.4233406721076629
ACH-000734,-0.3943605248464754
ACH-000735,-0.26465100697649563
ACH-000736,-0.500148777547875
ACH-000738,-0.3152021296692619
ACH-000746,-0.5633983622137224
ACH-000747,0.003158506333997819
ACH-000748,-0.3659116206848173
ACH-000753,-0.2678780196878364
ACH-000756,-0.3923651889641068
ACH-000757,-0.2808621225934341
ACH-000758,-0.13296621011505985
ACH-000760,-0.2494332305932414
ACH-000762,-0.5628953880170028
ACH-000763,-0.2036801461439252
ACH-000764,-0.5694102171926725
ACH-000765,-0.4083911045273944
ACH-000766,-0.32237528234417523
ACH-000767,-0.2517958053418567
ACH-000768,-0.33525930055126624
ACH-000769,-0.40867589024494666
ACH-000770,-0.4870800060238475
ACH-000771,-0.4271795594935916
ACH-000773,-0.1989460191531945
ACH-000776,-0.19658294470800827
ACH-000777,-0.4203579905363104
ACH-000778,-0.4265207016100833
ACH-000781,-0.1776525368293992
ACH-000782,-0.34684646883003944
ACH-000783,-0.3227560826281038
ACH-000784,-0.2631038669226884
ACH-000785,-0.4890070934853027
ACH-000787,-0.423656287009526
ACH-000788,-0.3905504903155138
ACH-000791,-0.2180867741723136
ACH-000792,-0.1981530003574788
ACH-000794,-0.3191978749553941
ACH-000796,-0.4121270843040135
ACH-000798,-0.3624770163380252
