,SV2C (22987)
ACH-000004,-0.10941560344594088
ACH-000005,-0.09997929536675927
ACH-000007,-0.015603663697361303
ACH-000009,-0.11944656914912538
ACH-000011,-0.22164422465153505
ACH-000012,-0.08898314386081392
ACH-000013,-0.052130991769885816
ACH-000014,-0.04864503520103396
ACH-000015,-0.23858525151561996
ACH-000017,-0.11181250887731607
ACH-000018,-0.1879064310966866
ACH-000019,-0.09334198667928116
ACH-000021,-0.1395660239083583
ACH-000022,-0.10053920516626558
ACH-000025,-0.03946305961924389
ACH-000028,-0.05982141802427944
ACH-000030,-0.1673306979811009
ACH-000035,-0.1014757767500624
ACH-000036,-0.018448691099849587
ACH-000037,-0.07934286112620585
ACH-000039,0.12844631072489893
ACH-000040,-0.09751369496444046
ACH-000041,-0.18154455591165136
ACH-000042,-0.09958302927000054
ACH-000045,-0.07233064673923735
ACH-000047,-0.03952205872722701
ACH-000052,-0.2413811444186059
ACH-000053,-0.047407517138082736
ACH-000054,-0.08723794858192006
ACH-000055,-0.26270511441857
ACH-000060,0.11964779917222505
ACH-000067,-0.013698198346832408
ACH-000070,-0.1497136800859944
ACH-000075,0.050536458480505614
ACH-000078,-0.13293716499023794
ACH-000082,-0.11277456790952956
ACH-000085,-0.07596166068042051
ACH-000086,-0.06435054147509177
ACH-000087,-0.2794024673119828
ACH-000092,-0.10804058141370604
ACH-000095,0.019345409536511027
ACH-000097,-0.06751305258724798
ACH-000098,-0.06352388005818406
ACH-000099,-0.14091073502802906
ACH-000108,-0.3226666413311587
ACH-000113,-0.09380606247638952
ACH-000116,-0.008583440401040483
ACH-000118,-0.021660812257904137
ACH-000120,-0.21938777664583686
ACH-000123,-0.036888333178716384
ACH-000127,-0.13510328372340658
ACH-000128,-0.11720079351389492
ACH-000132,-0.27408837466657765
ACH-000133,-0.08011064893232214
ACH-000137,-0.29160941128771234
ACH-000138,0.022957776831007456
ACH-000142,-0.15581584174023605
ACH-000143,-0.2553197672914396
ACH-000146,-0.16911795522367656
ACH-000148,-0.15403765107076026
ACH-000150,-0.19695734447599306
ACH-000152,-0.11309747956318468
ACH-000153,-0.1984132034315482
ACH-000159,-0.062336861544578626
ACH-000160,-0.06324730731644165
ACH-000163,-0.25621426478491643
ACH-000167,-0.09982593205901406
ACH-000168,-0.02659130807366778
ACH-000169,-0.034673443807942975
ACH-000178,-0.057147437592669485
ACH-000183,-0.22340027120679476
ACH-000188,-0.1724157229192224
ACH-000189,0.03515960902695819
