,SIPA1 (6494)
ACH-000004,-0.09666288940967553
ACH-000005,-0.3281536522462393
ACH-000007,-0.4814719397653284
ACH-000009,-0.03260510130230182
ACH-000011,-0.19397216824340335
ACH-000012,-0.2857692403557613
ACH-000013,-0.3126206902787785
ACH-000014,0.17573950041410472
ACH-000015,-0.09243878120272148
ACH-000017,-0.09742723182698557
ACH-000018,-0.2863443963657744
ACH-000019,-0.15052442057335252
ACH-000021,-0.17630647208131267
ACH-000022,-0.1545470148544572
ACH-000025,0.1441409042575572
ACH-000028,-0.3011986119847613
ACH-000030,-0.1996724636037056
ACH-000035,-0.00563191214237893
ACH-000036,-0.22720613960460925
ACH-000037,-0.38235547504391776
ACH-000039,-0.2298638117938047
ACH-000040,-0.08668058752161173
ACH-000041,-0.053155189845000665
ACH-000042,-0.22082625347016896
ACH-000045,-0.3497645663321352
ACH-000047,-0.019798506153016884
ACH-000052,-0.01945465305548606
ACH-000053,-0.2585138368694349
ACH-000054,-0.1824319610972132
ACH-000055,-0.31345340510860514
ACH-000060,-0.10672844175614468
ACH-000067,0.07810701642808904
ACH-000070,-0.10040704452019836
ACH-000075,-0.1909197336987364
ACH-000078,-0.23944912303329116
ACH-000082,-0.14147471503051148
ACH-000085,-0.2797682176978064
ACH-000086,-0.313570212570356
ACH-000087,-0.0910967862580944
ACH-000092,-0.1638281022248064
ACH-000095,-0.1011647501426694
ACH-000097,-0.09152930065277998
ACH-000098,-0.21634649288626212
ACH-000099,-0.03515731410091598
ACH-000108,-0.2699961146659083
ACH-000113,-0.2022177325467268
ACH-000116,-0.21666813935906806
ACH-000118,-0.36086542735411337
ACH-000120,-0.15391514330477554
ACH-000123,-0.14813115634055934
ACH-000127,-0.11131551785371906
ACH-000128,-0.17179787062080148
ACH-000132,-0.2219066221079196
ACH-000133,-0.18736262640599866
ACH-000137,-0.30648724153430235
ACH-000138,-0.31063179868142066
ACH-000142,-0.3837717337150212
ACH-000143,-0.26084617195273824
ACH-000146,-0.2254629175216795
ACH-000148,-0.038629725472773185
ACH-000150,-0.2864439204002845
ACH-000152,-0.13540317019013268
ACH-000153,-0.4484363592301445
ACH-000159,-0.07329770886550185
ACH-000160,-0.20710506303940493
ACH-000163,-0.23386064047242144
ACH-000167,0.0913295899318126
ACH-000168,0.028570175179916613
ACH-000169,-0.1418147541997614
ACH-000178,-0.20198093525504
ACH-000183,-0.2679412442053101
ACH-000188,-0.4109059308651524
ACH-000189,-0.060070633470626376
ACH-000190,-0.10740213888960444
ACH-000198,-0.06565746052357897
ACH-000203,-0.4106038256436199
ACH-000204,0.12470726049819678
ACH-000206,0.06522173934021805
ACH-000207,-0.5188568239913464
ACH-000208,-0.08225222726153139
ACH-000210,0.016750229569888926
ACH-000211,-0.3053433845898337
ACH-000215,-0.1316057145027846
ACH-000221,-0.10965120969745086
ACH-000222,-0.3249401363604723
ACH-000223,-0.10290559750087454
ACH-000226,-0.2401588987482591
ACH-000227,-0.09609334865865583
ACH-000228,-0.21377086508466325
ACH-000231,-0.16135068780373002
ACH-000232,-0.04946327759614035
ACH-000233,-0.06260544414241839
ACH-000234,-0.16305098739308238
ACH-000235,-0.17855971625093134
ACH-000237,-0.20259646304200105
ACH-000238,-0.2744352327252558
ACH-000242,-0.16931485112156475
ACH-000243,-0.13632825217128786
ACH-000244,-0.03859309350576088
ACH-000246,-0.11038870982008417
ACH-000248,-0.19698609810603704
ACH-000250,-0.15584831436950086
ACH-000251,-0.2106719858459376
ACH-000252,-0.3647456418721049
ACH-000253,-0.2862639694142058
ACH-000255,-0.2370064025351788
ACH-000256,-0.1088874806479192
ACH-000257,0.037756692729449634
ACH-000258,-0.02043690719867549
ACH-000259,-0.24873731195641
ACH-000260,-0.1642690527866696
ACH-000261,-0.2538837159663325
ACH-000262,-0.30736073533382985
ACH-000263,-0.20295031709573613
ACH-000264,-0.1575866676111196
ACH-000265,-0.13067269953942207
ACH-000266,-0.21738695001661285
ACH-000272,-0.13866022512333984
ACH-000274,-0.01989236882523002
ACH-000277,-0.21153917606604916
ACH-000278,-0.025686600588118384
ACH-000279,-0.19031337336647036
ACH-000280,-0.2720930245346081
ACH-000281,-0.3225143054559996
ACH-000288,-0.2996463096680024
ACH-000291,-0.1974955787836312
ACH-000293,-0.2408174845392956
ACH-000294,-0.11667716779771915
ACH-000295,-0.2727197933538311
ACH-000296,0.02627603463171326
ACH-000302,-0.18291298591119454
ACH-000304,-0.03685612565005923
ACH-000307,-0.13787532363534594
ACH-000308,-0.3771751051276843
ACH-000310,-0.12084052282613912
ACH-000311,-0.15575485760737645
ACH-000312,-0.20913169089460595
ACH-000315,-0.04979447876784523
ACH-000316,-0.2114434471181751
ACH-000317,-0.3628092246647664
ACH-000318,-0.39674748524880094
ACH-000319,-0.2261839035509459
ACH-000320,-0.14146732266841314
ACH-000322,-0.1911329625256887
ACH-000323,-0.12119963053839815
ACH-000324,-0.14961658505440847
ACH-000329,-0.05437186365271232
ACH-000330,-0.1619182082137897
ACH-000331,0.04008551298205195
ACH-000332,-0.2852716863723758
ACH-000334,0.01000023057752859
ACH-000335,-0.3899932835692498
ACH-000336,-0.0963425853991489
ACH-000337,-0.4261934850504408
ACH-000338,-0.5369225000408263
ACH-000339,-0.14522354668485654
ACH-000341,-0.13515763407911716
ACH-000348,0.054375031728389735
ACH-000350,-0.08424288293208583
ACH-000352,-0.21210241976660807
ACH-000356,-0.5115951874788776
ACH-000361,-0.3720454015530726
ACH-000362,-0.2591942354285504
ACH-000363,-0.14073535353381308
ACH-000364,-0.2999754696095892
ACH-000365,-0.18306148112667933
ACH-000366,-0.3807297521518633
ACH-000368,-0.1279416208511251
ACH-000374,-0.4784821089834298
ACH-000375,-0.18387299390703934
ACH-000376,-0.2674833233851345
ACH-000381,-0.1789603492928854
ACH-000383,-0.2387499946046476
ACH-000387,0.013533176140532852
ACH-000389,-0.015378441820449338
ACH-000390,-0.3134718473400369
ACH-000393,-0.2392876753378143
