,SNRPE (6635)
ACH-000004,-1.0274988623447303
ACH-000005,-1.7508935858656165
ACH-000007,-0.9989900061625336
ACH-000009,-1.1552263464825692
ACH-000011,-1.0693283354794725
ACH-000012,-1.2462166782450224
ACH-000013,-1.2241998939660756
ACH-000014,-1.3365798902159098
ACH-000015,-1.3847623356289058
ACH-000017,-1.385796826350984
ACH-000018,-1.1708550842680119
ACH-000019,-1.1256098169354012
ACH-000021,-1.3033894164851736
ACH-000022,-1.321565667392201
ACH-000025,-1.3722518821219398
ACH-000028,-1.1865398166860721
ACH-000030,-1.326902405631448
ACH-000035,-1.1402515476672046
ACH-000036,-1.0556998841344842
ACH-000037,-1.1097238305060324
ACH-000039,-1.2292768684369313
ACH-000040,-1.5028649856906362
ACH-000041,-1.1812629906683594
ACH-000042,-1.413805530679012
ACH-000045,-1.4395379704783398
ACH-000047,-1.1707582565035703
ACH-000052,-1.19739830370206
ACH-000053,-1.32194907844844
ACH-000054,-1.3146262327673517
ACH-000055,-1.1585962060005282
ACH-000060,-1.1641936453385835
ACH-000067,-1.225083289139883
ACH-000070,-1.0450193426015713
ACH-000075,-1.260129614659576
ACH-000078,-1.0244791117111087
ACH-000082,-1.1340393279421002
ACH-000085,-1.0074549681344422
ACH-000086,-1.1955426472778778
ACH-000087,-1.4923316748048303
ACH-000092,-1.3200766969780913
ACH-000095,-1.2546994791966264
ACH-000097,-1.0921935749456084
ACH-000098,-1.28254123218785
ACH-000099,-1.207394500728354
ACH-000108,-1.3302329878102859
ACH-000113,-1.1929209956984619
ACH-000116,-1.3815210162575249
ACH-000118,-1.3439255801078829
ACH-000120,-1.2623384594211182
ACH-000123,-1.37003013993669
ACH-000127,-1.2834040122017305
ACH-000128,-1.342446166240402
ACH-000132,-1.306465816637184
ACH-000133,-1.3732681948813446
ACH-000137,-1.1329480773735623
ACH-000138,-1.3344692814382242
ACH-000142,-1.4399987893053243
ACH-000143,-1.5656899145101335
ACH-000146,-1.1705968729843572
ACH-000148,-1.3849568951410782
ACH-000150,-1.3669262701789158
ACH-000152,-0.9658273987476744
ACH-000153,-1.1919980347761954
ACH-000159,-1.1454563620385587
ACH-000160,-0.9855229615955884
ACH-000163,-1.2984673413968455
ACH-000167,-1.6099077426158601
ACH-000168,-1.3903002610149855
ACH-000169,-1.2741888353501811
ACH-000178,-1.2789563196890372
ACH-000183,-1.1448375022613853
ACH-000188,-1.3315819350588756
ACH-000189,-1.3084475469125343
ACH-000190,-0.9159990009790736
ACH-000198,-1.305891430740283
ACH-000203,-0.9974045904849044
ACH-000204,-1.1834246028521922
ACH-000206,-1.6496504314179323
ACH-000207,-1.6472149227649593
ACH-000208,-1.2214537786355315
ACH-000210,-1.253378992125732
ACH-000211,-1.2330830962467918
ACH-000215,-1.3353479970056021
ACH-000221,-1.4820156855843227
ACH-000222,-1.5518018682977075
ACH-000223,-1.385660112172438
ACH-000226,-0.8767251727292609
ACH-000227,-1.2580689449899185
ACH-000228,-1.3078414350001333
ACH-000231,-1.263236361290158
ACH-000232,-1.2164559759110878
ACH-000233,-1.2762630902448624
ACH-000234,-1.2665652157977731
ACH-000235,-1.2213812199717957
ACH-000237,-1.2518578383969874
ACH-000238,-1.2777536437165702
ACH-000242,-1.0882980071364108
ACH-000243,-1.5286634734707971
ACH-000244,-0.9633180609768998
ACH-000246,-1.1556638889785928
ACH-000248,-1.30144082384275
ACH-000250,-1.3838685562085646
ACH-000251,-1.3378920713463338
ACH-000252,-1.4731501632163686
ACH-000253,-1.4548612810567434
ACH-000255,-1.2111456058084713
ACH-000256,-1.5155928759634645
ACH-000257,-1.4589801154442683
ACH-000258,-1.1904811321584186
ACH-000259,-1.2389484914320779
ACH-000260,-1.416333282690579
ACH-000261,-1.1663299692240452
ACH-000262,-1.1736221793869
ACH-000263,-1.3618408088792686
ACH-000264,-1.3885191382746092
ACH-000265,-1.2996209295922252
ACH-000266,-1.284618748040714
ACH-000272,-1.2237335048941875
ACH-000274,-1.2989864580371666
ACH-000277,-1.526412762051965
ACH-000278,-1.1782535295911551
ACH-000279,-1.0209153907826805
ACH-000280,-1.135134913929555
ACH-000281,-1.1490618451627697
ACH-000288,-1.1809306239357016
ACH-000291,-1.1650642349963858
ACH-000293,-1.3273617379749871
ACH-000294,-1.2761705413956101
ACH-000295,-1.2887579868777608
ACH-000296,-1.2046787534219798
ACH-000302,-1.2017104882684952
ACH-000304,-1.6364894549217812
ACH-000307,-1.2344196437287374
ACH-000308,-1.1962404848467802
ACH-000310,-1.1757340051538523
ACH-000311,-1.3654732350770002
ACH-000312,-1.1772224991251743
ACH-000315,-1.272353837726686
ACH-000316,-1.168655024836708
ACH-000317,-1.1105263156131446
ACH-000318,-1.6038886562908607
ACH-000319,-1.2194221112825387
ACH-000320,-1.26219114666069
ACH-000322,-0.9985054214568592
ACH-000323,-1.4069500237845078
ACH-000324,-1.1012171571381195
ACH-000329,-1.461222992896512
ACH-000330,-1.1656393407062808
ACH-000331,-1.2968065749721345
ACH-000332,-1.467422888997077
ACH-000334,-1.818659422708764
ACH-000335,-1.3540745680195811
ACH-000336,-0.8930230977196516
ACH-000337,-1.7648194120196148
ACH-000338,-1.1779939816189826
ACH-000339,-1.3037373514464894
ACH-000341,-1.3889908117773724
ACH-000348,-1.331412369018572
ACH-000350,-1.2868806676480642
ACH-000352,-1.2395237331738698
