,HSD11B1L (374875)
ACH-000004,-0.3898569002268709
ACH-000005,-0.8862568281774743
ACH-000007,-0.2143378205229156
ACH-000009,-0.22386071619444264
ACH-000011,-0.30131284489922305
ACH-000012,-0.3845803698939546
ACH-000013,-0.3049412856338807
ACH-000014,-0.1901088178936627
ACH-000015,-0.33712972969606714
ACH-000017,-0.4520456682593925
ACH-000018,-0.14907370286898794
ACH-000019,-0.440645526946244
ACH-000021,-0.3347146942871294
ACH-000022,-0.16108042068890555
ACH-000025,-0.3101864755558221
ACH-000028,-0.3238649928664432
ACH-000030,-0.3491740917248095
ACH-000035,-0.3108293382303029
ACH-000036,-0.5351807287510233
ACH-000037,-0.5512915933195703
ACH-000039,-0.47891592260658294
ACH-000040,-0.2477550678972689
ACH-000041,-0.4247486781797366
ACH-000042,-0.2260406275600377
ACH-000045,-0.24859432560237946
ACH-000047,-0.4255878985131914
ACH-000052,-0.3932791325243672
ACH-000053,-0.4561425171489508
ACH-000054,-0.34953975756262085
ACH-000055,-0.1452824266723125
ACH-000060,-0.4233433027897093
ACH-000067,-0.3303941758387469
ACH-000070,-0.14384552307762072
ACH-000075,-0.19438834432791505
ACH-000078,-0.4280405075017957
ACH-000082,-0.3850165862278613
ACH-000085,-0.2447756649725988
ACH-000086,-0.3827145905885521
ACH-000087,-0.05075147919253239
ACH-000092,-0.3675394800211652
ACH-000095,-0.24676026446723065
ACH-000097,-0.3602171906199906
ACH-000098,-0.4058131756861467
ACH-000099,-0.3773985496446843
ACH-000108,-0.3631949310731755
ACH-000113,-0.2653363124980952
ACH-000116,-0.15521333560013
ACH-000118,-0.3244728513583552
ACH-000120,-0.24481507240832226
ACH-000123,-0.3703879428744036
ACH-000127,-0.3434501569613529
ACH-000128,-0.4206557229081931
ACH-000132,-0.31660670869961555
ACH-000133,-0.48036662895447296
ACH-000137,-0.13454087264458675
ACH-000138,-0.3983492871462556
ACH-000142,-0.3476958216386913
ACH-000143,-0.4969213020584561
ACH-000146,-0.3123453234680677
ACH-000148,-0.31376824679480664
ACH-000150,-0.5742229319023
ACH-000152,-0.12921468796857902
ACH-000153,-0.5444117557518158
ACH-000159,-0.3016183867603571
ACH-000160,-0.2797072464673246
ACH-000163,-0.3149249810738032
ACH-000167,-0.2909738044427681
ACH-000168,-0.31388488133230125
ACH-000169,-0.22544088727897785
ACH-000178,-0.2690614056537121
ACH-000183,-0.09296335593569263
ACH-000188,-0.35684430185980176
ACH-000189,-0.4847648909653967
ACH-000190,-0.2508404316445749
ACH-000198,-0.2338028231855704
ACH-000203,0.05364526580644772
ACH-000204,-0.5839826952988412
ACH-000206,-0.2454660500460849
ACH-000207,-0.18852325749487847
ACH-000208,-0.32257421396256863
ACH-000210,-0.38705040806109503
