,RGP1 (9827)
ACH-000004,-0.6337621550427055
ACH-000005,-0.6601857428794556
ACH-000007,-0.5347130335511082
ACH-000009,-0.5249064569391333
ACH-000011,-0.8120053907509595
ACH-000012,-0.4607053581774733
ACH-000013,-0.3991467723705778
ACH-000014,-0.4604248282700032
ACH-000015,-0.6770549361709405
ACH-000017,-0.2256120070910492
ACH-000018,-0.464943571174515
ACH-000019,-0.364657393671448
ACH-000021,-0.3686280446072462
ACH-000022,-0.1847297187275259
ACH-000025,-0.4305837606041881
ACH-000028,-0.2156504827422403
ACH-000030,-0.7608099264670976
ACH-000035,-0.2742035986968899
ACH-000036,-0.5467848593321663
ACH-000037,-0.531625190751028
ACH-000039,-0.32395989868569297
ACH-000040,-0.7756632568625456
ACH-000041,-0.2807013369594463
ACH-000042,-0.4979768570466458
ACH-000045,-0.27305645264322875
ACH-000047,-0.30071512672430034
ACH-000052,-0.3754787349601304
ACH-000053,-0.7704512880382411
ACH-000054,-0.4293949598951573
ACH-000055,-0.6412578522211722
ACH-000060,-0.5836036318754202
ACH-000067,-0.3109390350041463
ACH-000070,-0.4643615462718286
ACH-000075,-0.6484742633068145
ACH-000078,-0.2829828290569363
ACH-000082,-0.3876572369149229
ACH-000085,-0.7629732159194159
ACH-000086,-0.4263603128046456
ACH-000087,-0.38304478323022656
ACH-000092,-0.7171678316623338
ACH-000095,-0.5708257012377719
ACH-000097,-0.3812672201854262
ACH-000098,-0.6140168734702073
ACH-000099,-0.1677958759828916
ACH-000108,-0.3299168059498213
ACH-000113,-0.3150279056692907
ACH-000116,-0.14063012099399114
ACH-000118,-0.587057459956439
ACH-000120,-0.4323920903076233
ACH-000123,-0.42814397397096615
ACH-000127,-0.3965861770205376
ACH-000128,-0.16824913957762905
ACH-000132,-0.1889471217112644
ACH-000133,-0.4148410104837176
ACH-000137,-0.2952938107341405
ACH-000138,-0.7412917533877939
ACH-000142,-0.3968693662067851
ACH-000143,-0.5946011271871504
ACH-000146,-0.3100606795839367
ACH-000148,-0.2596415456187301
ACH-000150,-0.5411759270215832
