,ICE1 (23379)
ACH-000004,-0.7116692549465146
ACH-000005,-0.8243166992172453
ACH-000007,-0.4975340635243481
ACH-000009,-0.5441022436042687
ACH-000011,-0.8306529542354
ACH-000012,-0.5443745469953988
ACH-000013,-0.6194667909303971
ACH-000014,-0.4293068217613741
ACH-000015,-0.5497111627885207
ACH-000017,-0.6707603339034397
ACH-000018,-0.3040463291136854
ACH-000019,-0.6902312651678255
ACH-000021,-0.462524335086193
ACH-000022,-0.3782137996578689
ACH-000025,-0.42467052736413596
ACH-000028,-0.7391841752641106
ACH-000030,-0.20977780847909488
ACH-000035,-0.4549298412394584
ACH-000036,-0.39901779792636977
ACH-000037,-0.9422340634173384
ACH-000039,-0.475979883424242
ACH-000040,-0.5641378821417306
ACH-000041,-0.4042943844262311
ACH-000042,-0.824107202045303
ACH-000045,-0.6850572510755968
ACH-000047,-0.6987193112059165
ACH-000052,-0.6951396890303994
ACH-000053,-0.5767339897313513
ACH-000054,-0.6982359582957596
ACH-000055,-0.5825643895070757
ACH-000060,-0.4497245658306523
ACH-000067,-0.5783836778321156
ACH-000070,-0.6277553958538202
ACH-000075,-0.5416706285695888
ACH-000078,-0.6888341138850923
ACH-000082,-0.8703530436082058
ACH-000085,-0.6423752014806547
ACH-000086,-0.3765299238363235
ACH-000087,-0.5150905648794653
ACH-000092,-0.651971065110189
ACH-000095,-0.6226951474725443
ACH-000097,-1.003795106683309
ACH-000098,-0.3420758433578853
ACH-000099,-0.5239486884652836
ACH-000108,-0.7111227089797927
ACH-000113,-0.5343516814483062
ACH-000116,-0.8468237768021747
ACH-000118,-0.6269948543119911
ACH-000120,-0.4791414052714535
ACH-000123,-0.6118919138922494
ACH-000127,-0.4630707504810563
ACH-000128,-0.3962686250722065
ACH-000132,-0.6672805697497171
ACH-000133,-0.5381671457852281
ACH-000137,-0.6434433915751769
ACH-000138,-0.5784439191438614
ACH-000142,-0.5677080416247903
ACH-000143,-0.6251822656104978
ACH-000146,-0.8752168790299372
ACH-000148,-0.5739811770615522
ACH-000150,-0.6848119194330832
ACH-000152,-0.6157786141086145
ACH-000153,-0.5010314124394142
ACH-000159,-0.7028557390839395
ACH-000160,-0.7113202165706988
ACH-000163,-0.5422778605248287
ACH-000167,-0.7473045150112599
ACH-000168,-0.4088122561606001
ACH-000169,-0.6153024846935643
ACH-000178,-0.4650880829781579
ACH-000183,-0.9363061172218384
ACH-000188,-0.5757843111405877
ACH-000189,-0.6450645544742761
ACH-000190,-0.8363575755375074
ACH-000198,-0.6305678952346905
ACH-000203,0.07843009006049803
ACH-000204,-0.5309949958806561
ACH-000206,-0.6522058567876462
ACH-000207,-0.3621525226428477
ACH-000208,-0.4676300057560734
ACH-000210,-0.6246673867037221
ACH-000211,-0.6341777549977784
ACH-000215,-0.32814147413401656
ACH-000221,-0.4951703557080346
ACH-000222,-0.3692634301122662
ACH-000223,-0.5371648343136374
ACH-000226,-0.6724922860810754
ACH-000227,-0.7191724583077211
ACH-000228,-0.4597789608917166
ACH-000231,-0.4509135072618958
ACH-000232,-0.285960166156896
ACH-000233,-0.3408621264061372
ACH-000234,-0.5994347848724249
ACH-000235,-0.4848211977592408
ACH-000237,-0.6166583617769281
ACH-000238,-0.4006384795737007
ACH-000242,-0.5683071859555825
ACH-000243,-0.5736830236773718
ACH-000244,-0.6776087551626941
ACH-000246,-0.7784787514086091
ACH-000248,-0.5314805658712215
ACH-000250,-0.5391754377517309
ACH-000251,-0.2866835993203544
ACH-000252,-0.6663222528123869
ACH-000253,-0.5105887625429482
ACH-000255,-0.5909345869076434
ACH-000256,-0.7036592814039517
ACH-000257,-0.523179989080823
ACH-000258,-0.8910162438712397
ACH-000259,-0.7135035132200068
ACH-000260,-0.7446308294735717
ACH-000261,-0.591298503990245
ACH-000262,-0.7983844645192633
ACH-000263,-0.10262518280783677
ACH-000264,-0.5643180102716786
ACH-000265,-0.49738077321243607
ACH-000266,-0.8650635802438827
ACH-000272,-0.4880736040398844
ACH-000274,-0.5621687849402625
ACH-000277,-0.5686039164644432
ACH-000278,-0.5685510340553488
ACH-000279,-0.3445616959497635
ACH-000280,-0.9721236697941996
ACH-000281,-0.3645779250828579
