,ISG20L2 (81875)
ACH-000004,-0.6535463364348083
ACH-000005,-0.4778690516016102
ACH-000007,-0.7729982627025108
ACH-000009,-0.5865197301958286
ACH-000011,-0.5600177465576556
ACH-000012,-0.6314946066267751
ACH-000013,-0.4647429350146783
ACH-000014,-0.6438941508048963
ACH-000015,-0.4865956632437113
ACH-000017,-0.4601491223531782
ACH-000018,-0.6169985885435735
ACH-000019,-0.7123337038770954
ACH-000021,-0.501285504904841
ACH-000022,-0.6312702443109339
ACH-000025,-0.568132896907884
ACH-000028,-0.41697512662408737
ACH-000030,-0.4689388451144654
ACH-000035,-0.6774094245551675
ACH-000036,-0.5614252740417081
ACH-000037,-0.5946525416757279
ACH-000039,-0.4866956764296088
ACH-000040,-0.5789908995388554
ACH-000041,-0.32831863778599546
ACH-000042,-0.4979673571393621
ACH-000045,-0.5310033947738714
ACH-000047,-0.744596212429284
ACH-000052,-0.670434729522281
ACH-000053,-0.6164252107289919
ACH-000054,-0.6436294750643894
ACH-000055,-0.5922164864053974
ACH-000060,-0.4658300372465582
ACH-000067,-0.6341601147626713
ACH-000070,-0.5408741192286299
ACH-000075,-0.6772436440406785
ACH-000078,-0.3672473119759431
ACH-000082,-0.5640829920961729
ACH-000085,-0.4955314629873968
ACH-000086,-0.5780048288829842
ACH-000087,-0.4940046348948308
ACH-000092,-0.7039552015895747
ACH-000095,-0.4595135120694132
ACH-000097,-0.4829287104207976
ACH-000098,-0.6872613599353308
ACH-000099,-0.4710720881830035
ACH-000108,-0.5358789330406307
ACH-000113,-0.4447125497018402
ACH-000116,-0.5057103773838011
ACH-000118,-0.612794347248089
ACH-000120,-0.6363319157955327
ACH-000123,-0.7222534231262386
ACH-000127,-0.4345648648263832
ACH-000128,-0.3634508544985008
ACH-000132,-0.6596753007532274
ACH-000133,-0.31653530412590325
ACH-000137,-0.7435352217242096
ACH-000138,-0.544517377345315
ACH-000142,-0.4641812283082915
ACH-000143,-0.7578968441076278
ACH-000146,-0.6188672614841209
ACH-000148,-0.6387733889655584
ACH-000150,-0.5138986076006333
ACH-000152,-0.5822401374352272
ACH-000153,-0.6984728748185615
ACH-000159,-0.6529236542889533
ACH-000160,-0.5205226756147582
ACH-000163,-0.4912886912274185
ACH-000167,-0.9579502721196022
ACH-000168,-0.7612997086416642
ACH-000169,-0.5082487116870013
ACH-000178,-0.3789539819432869
ACH-000183,-0.39606154266564175
ACH-000188,-0.3545299790055691
ACH-000189,-0.8181245844345647
ACH-000190,-0.8561632200122684
ACH-000198,-0.5033672534347254
ACH-000203,-0.3290250522626794
ACH-000204,-0.4967449590622345
ACH-000206,-0.7412928718998557
ACH-000207,-0.3985099284868169
ACH-000208,-0.3749188514490492
ACH-000210,-0.7188053402681095
ACH-000211,-0.4711773192693285
ACH-000215,-0.5635778499514075
ACH-000221,-0.7553796112612102
ACH-000222,-0.5538157395152937
ACH-000223,-0.4472320362367013
ACH-000226,-0.5367461753436644
ACH-000227,-0.4296734277327319
ACH-000228,-0.6178992713074439
ACH-000231,-0.38344075570306063
ACH-000232,-0.36464981530139295
ACH-000233,-0.30127984800586805
ACH-000234,-0.5263703201195755
ACH-000235,-0.5231403163937753
ACH-000237,-0.6610218213811878
ACH-000238,-0.4595513667981538
ACH-000242,-0.4836475073470485
ACH-000243,-0.5946086875487159
ACH-000244,-0.5440444522854546
ACH-000246,-0.5226114775683658
ACH-000248,-0.5675209683693335
ACH-000250,-0.4449592368568558
ACH-000251,-0.4712849385941781
ACH-000252,-0.8199075436799245
ACH-000253,-0.5193314059068713
ACH-000255,-0.5521261153495419
ACH-000256,-0.5355080534233589
ACH-000257,-0.4797129303920058
ACH-000258,-0.4816921311564541
ACH-000259,-0.4378905047663799
ACH-000260,-0.3724743536535161
ACH-000261,-0.4616444912131227
ACH-000262,-0.4560321691343422
ACH-000263,-0.5550058160190148
ACH-000264,-0.6142192424967664
ACH-000265,-0.486161450910861
ACH-000266,-0.6071347727719405
ACH-000272,-0.4796949509200946
ACH-000274,-0.393410775303315
ACH-000277,-0.5606400548043243
ACH-000278,-0.6817465102069203
ACH-000279,-0.3306067712529041
ACH-000280,-0.4977120740158273
ACH-000281,-0.37968418951810257
ACH-000288,-0.5428872068392337
ACH-000291,-0.5977313088826174
ACH-000293,-0.3852688587857779
ACH-000294,-0.6426917840973867
ACH-000295,-0.4553584958595835
ACH-000296,-0.4296490811131571
