,NRN1L (123904)
ACH-000004,-0.11217251210154247
ACH-000005,-0.03679434785428325
ACH-000007,0.08162868699344196
ACH-000009,0.1995835392226068
ACH-000011,0.19279513259377368
ACH-000012,-0.04502263266039648
ACH-000013,-0.09144001527187573
ACH-000014,0.04180351820642717
ACH-000015,0.11679460845502887
ACH-000017,0.08683793364765714
ACH-000018,0.1106314603264669
ACH-000019,-0.04160149011264573
ACH-000021,0.03291410015792222
ACH-000022,0.05827050126105336
ACH-000025,-0.047194070349389314
ACH-000028,0.06471770736761631
ACH-000030,0.10762342605868253
ACH-000035,0.044258926944014745
ACH-000036,0.05342267972822321
ACH-000037,0.015473546801016662
ACH-000039,-0.025084478673929482
ACH-000040,0.11858493376359923
ACH-000041,0.06605975142502142
ACH-000042,-0.03036271308429255
ACH-000045,-0.025657902212826388
ACH-000047,-0.05807322436111428
ACH-000052,-0.17279073210832355
ACH-000053,0.022236669340301968
ACH-000054,0.04551689303900965
ACH-000055,0.08305788100798445
ACH-000060,0.009673383834218964
ACH-000067,0.06618342843682128
ACH-000070,-0.06336853059652983
ACH-000075,0.08689153262674416
ACH-000078,0.02011125713085888
ACH-000082,0.05039138032689065
ACH-000085,0.05847734092156586
ACH-000086,0.02373161407631022
ACH-000087,0.14634859245156054
ACH-000092,0.02200791057807041
ACH-000095,-0.014135019417392826
ACH-000097,-0.0047687294219683546
ACH-000098,-0.013679117977403956
ACH-000099,0.13534333588913802
ACH-000108,0.09921107388282782
ACH-000113,0.04123215680454294
ACH-000116,0.07047231904415201
ACH-000118,0.01338828113761205
ACH-000120,-0.22347536752751146
ACH-000123,0.09800729589322603
ACH-000127,-0.05421857052959116
ACH-000128,0.06223703011579576
ACH-000132,-0.09213699636179078
ACH-000133,0.013690900340038984
ACH-000137,-0.03842091994613407
ACH-000138,0.04272398592026695
ACH-000142,0.07304837179444809
ACH-000143,0.012806774397762854
ACH-000146,-0.002369267773038937
ACH-000148,-0.031408872311347535
ACH-000150,0.024927291483142888
ACH-000152,-0.04344604980525149
ACH-000153,0.02967579204562152
ACH-000159,0.04448381525411228
ACH-000160,0.029377398589326392
ACH-000163,0.02541383083330273
ACH-000167,0.2696883191925933
ACH-000168,-0.1431769476845322
ACH-000169,0.072406722858533
ACH-000178,0.01268066161960486
ACH-000183,0.013919793793005376
ACH-000188,0.01956135398438196
ACH-000189,-0.0491578001181458
ACH-000190,-0.014780908424020028
ACH-000198,0.09731336242167188
ACH-000203,0.2006590506242383
ACH-000204,0.08227492344888561
ACH-000206,-0.02240209637752156
ACH-000207,0.08916361794169532
ACH-000208,0.0632257047807774
ACH-000210,0.08717179406152553
ACH-000211,-0.02197795089022091
ACH-000215,-0.0066823091137161285
ACH-000221,-0.08039742604910048
ACH-000222,-0.06837577081970543
ACH-000223,0.1332693891017982
ACH-000226,0.1211661432409351
ACH-000227,0.01164214880179004
ACH-000228,-0.001978842904765416
ACH-000231,0.03650249351693383
ACH-000232,0.01551570546523489
ACH-000233,-0.0646392100678209
ACH-000234,0.031643421751408315
ACH-000235,0.03131303060311125
ACH-000237,0.03236236390878404
ACH-000238,0.11329994651607797
ACH-000242,0.17075501302980312
ACH-000243,0.059403829597825884
ACH-000244,0.1103541396918857
ACH-000246,0.07847569309264926
