,SHFM1 (7979)
ACH-000004,-0.8717476794977741
ACH-000005,-0.9676698318079572
ACH-000007,-0.41288019078662
ACH-000009,-0.7853053556165693
ACH-000011,-0.6812336399202252
ACH-000012,-0.8739621315976351
ACH-000013,-0.6984474846471402
ACH-000014,-0.6815489839712452
ACH-000015,-0.4841362768794418
ACH-000017,-0.4447237952348535
ACH-000018,-0.5994049078636232
ACH-000019,-0.6812836766950123
ACH-000021,-0.7551096267578569
ACH-000022,-0.6577647948145179
ACH-000025,-0.9708900085099648
ACH-000028,-0.7902726756901495
ACH-000030,-0.7552763974749631
ACH-000035,-0.7022649226628732
ACH-000036,-0.7400797331351991
ACH-000037,-0.4207455946941782
ACH-000039,-0.8767908558376704
ACH-000040,-0.8326281216401947
ACH-000041,-0.7525798560844441
ACH-000042,-0.7494537375257461
ACH-000045,-0.8292010354769888
ACH-000047,-0.8889632332082823
ACH-000052,-1.0153278969380046
ACH-000053,-0.9406257180782679
ACH-000054,-0.8211947386416565
ACH-000055,-0.9938769829637896
ACH-000060,-0.7632253421760669
ACH-000067,-0.937145221423024
ACH-000070,-0.6368962841706833
ACH-000075,-0.9467998998983445
ACH-000078,-0.7893952818316538
ACH-000082,-0.9291149810508348
ACH-000085,-0.8416064631457875
ACH-000086,-0.6239338522522871
ACH-000087,-0.7886281275182392
ACH-000092,-0.9659213916634716
ACH-000095,-0.8149641288103957
ACH-000097,-0.7907116009094003
ACH-000098,-0.5465785260600734
ACH-000099,-0.7165340087993642
ACH-000108,-0.7685422399376225
ACH-000113,-0.7685591998493772
ACH-000116,-0.8516158075498441
ACH-000118,-0.9403854286257038
ACH-000120,-0.5961663840545689
ACH-000123,-0.6889014958651278
ACH-000127,-0.9785233724749044
ACH-000128,-0.7837234868924791
ACH-000132,-1.03978287158202
ACH-000133,-1.1615526157256473
ACH-000137,-0.7469208635780703
ACH-000138,-0.5311624472058545
ACH-000142,-0.6386413045686476
ACH-000143,-0.8091978282158062
ACH-000146,-0.7017984315966942
ACH-000148,-0.7565931970682832
ACH-000150,-0.6473961806123941
ACH-000152,-0.8351950897779374
ACH-000153,-0.9169947612143984
ACH-000159,-0.6678342426443484
ACH-000160,-0.6496042679437254
ACH-000163,-0.9117156176028186
ACH-000167,-0.16961468145569858
ACH-000168,-0.8861507035654195
ACH-000169,-0.8305841949569528
ACH-000178,-0.7855732280960991
ACH-000183,-0.8215739225626781
ACH-000188,-0.9049094712901674
ACH-000189,-0.5389265410855711
ACH-000190,-0.7123655347711502
ACH-000198,-0.9169022140352352
ACH-000203,-0.8261372230497075
ACH-000204,-0.8782079768053279
ACH-000206,-0.7601306444684032
ACH-000207,-0.7075253491705734
ACH-000208,-0.8166961380485844
ACH-000210,-0.8158556438862725
ACH-000211,-0.993883716201489
ACH-000215,-0.6131124126496051
ACH-000221,-0.9996117632568132
ACH-000222,-0.7346424674842112
ACH-000223,-1.1532071704742015
ACH-000226,-0.903764406670303
ACH-000227,-0.7082286342052739
ACH-000228,-1.0026764995222972
ACH-000231,-0.6487046374699547
ACH-000232,-0.8305419878314411
ACH-000233,-0.9296869134494696
ACH-000234,-0.9069548991051494
ACH-000235,-0.8006254892696616
ACH-000237,-1.035342392449094
ACH-000238,-0.6207029365113703
ACH-000242,-1.037425193176334
ACH-000243,-0.6989027017205233
ACH-000244,-0.9332215814526272
ACH-000246,-0.6595391183086443
ACH-000248,-0.5749828128635651
ACH-000250,-0.4308026036191543
ACH-000251,-0.7527135542867407
ACH-000252,-0.8779267772323684
ACH-000253,-0.9840693078948392
ACH-000255,-1.0725409146962044
ACH-000256,-0.480923456889073
ACH-000257,-0.6377354146189138
ACH-000258,-0.6328087412137441
ACH-000259,-0.5855444171274806
ACH-000260,-0.8176691234336847
ACH-000261,-0.7794533306733483
ACH-000262,-0.6446588955682276
ACH-000263,-0.4000702652881933
ACH-000264,-0.8958641591085666
ACH-000265,-0.6255673107920849
ACH-000266,-0.6402763377426143
ACH-000272,-0.7146994937547979
ACH-000274,-0.6931432777591875
ACH-000277,-1.0685691334404082
ACH-000278,-0.9235118383395547
ACH-000279,-0.4970028236393108
ACH-000280,-0.6130298264424318
ACH-000281,-0.7722694108337188
ACH-000288,-0.59655181488601
ACH-000291,-0.7408590042311969
ACH-000293,-0.6931725487713529
ACH-000294,-0.6449573696321944
ACH-000295,-0.5655191028595495
ACH-000296,-0.6048297829366038
ACH-000302,-0.7306010613245326
ACH-000304,-0.792838131419467
ACH-000307,-0.6809502289493589
ACH-000308,-0.5982720569530234
ACH-000310,-0.9170330260132928
ACH-000311,-0.6204291141106154
ACH-000312,-0.7442428030446735
ACH-000315,-0.9637855111822516
ACH-000316,-0.9640861465913322
ACH-000317,-0.7000871923588649
ACH-000318,-0.7147909547934078
ACH-000319,-0.8772585503379366
ACH-000320,-0.8877158117221015
ACH-000322,-0.5111082545763426
ACH-000323,-0.9515344567416496
ACH-000324,-0.9918708480844406
ACH-000329,-0.6707210760847578
ACH-000330,-0.9752097099060492
ACH-000331,-0.9087344011173436
ACH-000332,-0.7061487612415805
ACH-000334,-0.7573109948542696
ACH-000335,-0.9020717079111223
ACH-000336,-0.6510932207939506
ACH-000337,-0.6323362342567922
ACH-000338,-0.505764493850491
ACH-000339,-0.8916562158236921
ACH-000341,-0.8913781429118395
ACH-000348,-0.9422226092345368
ACH-000350,-0.7828238413761284
ACH-000352,-0.6624552550342401
ACH-000356,-0.7050985382583672
ACH-000361,-0.9570579135521609
ACH-000362,-0.7960573165615406
ACH-000363,-0.8110035888702737
ACH-000364,-0.7132051943432761
ACH-000365,-0.6358877594476168
ACH-000366,-0.7286914794214203
ACH-000368,-0.8546399642212806
ACH-000374,-1.1170758475551008
ACH-000375,-0.8553836921419021
ACH-000376,-1.00070368965027
ACH-000381,-0.5982116046901329
ACH-000383,-0.6549193405146979
ACH-000387,-0.838448040802093
ACH-000389,-0.8536677627435122
ACH-000390,-0.4431744585066976
