,MTBP (27085)
ACH-000004,-1.1164979005473727
ACH-000005,-0.9747269465304738
ACH-000007,-1.0627440838625428
ACH-000009,-1.4158834881003057
ACH-000011,-1.2037389996087122
ACH-000012,-1.2964878597282818
ACH-000013,-1.3535222590750466
ACH-000014,-1.2601245535785897
ACH-000015,-1.0494736393965176
ACH-000017,-0.8464759812374095
ACH-000018,-1.1787446879881045
ACH-000019,-1.0219258781340066
ACH-000021,-1.0709170362302154
ACH-000022,-1.2000816825937366
ACH-000025,-1.11329980380026
ACH-000028,-1.0525392913490557
ACH-000030,-1.2257663226241995
ACH-000035,-1.0062724944364356
ACH-000036,-1.1820655702123857
ACH-000037,-0.4821464902126359
ACH-000039,-1.016998160667629
ACH-000040,-1.2431874788545687
ACH-000041,-0.9697556923787628
ACH-000042,-1.143569876347752
ACH-000045,-1.0627880850418792
ACH-000047,-1.3046506254975807
ACH-000052,-1.2705921299724423
ACH-000053,-1.3705111613459535
ACH-000054,-1.3062066616096542
ACH-000055,-1.3073582815080775
ACH-000060,-1.1151101901005085
ACH-000067,-1.0529126113746905
ACH-000070,-1.2865451062152158
ACH-000075,-1.2271528334331965
ACH-000078,-1.1644632234143175
ACH-000082,-1.0409837951711511
ACH-000085,-1.4347171090848432
ACH-000086,-1.1473512267024486
ACH-000087,-1.072227716122767
ACH-000092,-1.3307272945202886
ACH-000095,-1.330979745882373
ACH-000097,-1.2028431083571869
ACH-000098,-1.2721745406546872
ACH-000099,-1.2830836126457588
ACH-000108,-1.2882356361463898
ACH-000113,-1.0178001925729692
ACH-000116,-1.2004930813883634
ACH-000118,-1.2103057203635732
ACH-000120,-1.4079443929061712
ACH-000123,-1.1638337698908847
ACH-000127,-1.1853857404015524
ACH-000128,-1.1893802844998145
ACH-000132,-1.182862421566894
ACH-000133,-1.1197163453255596
ACH-000137,-1.2990784733509817
ACH-000138,-1.1764552431475066
ACH-000142,-1.2586751810149632
ACH-000143,-0.9925724840992028
ACH-000146,-1.2459667836996513
ACH-000148,-1.0488536558681192
ACH-000150,-1.4129542814898792
ACH-000152,-1.0741775651072172
ACH-000153,-0.8890136690966037
ACH-000159,-1.2747154876572029
ACH-000160,-1.4311591536254882
ACH-000163,-0.9540005890103842
ACH-000167,-1.5763318275631788
ACH-000168,-1.22820264368671
ACH-000169,-1.2104388713134917
ACH-000178,-1.0053226629853294
ACH-000183,-1.3574684468154947
ACH-000188,-0.9336917299722616
ACH-000189,-1.0803157087558983
ACH-000190,-1.3072419554479726
ACH-000198,-1.0622857585469714
ACH-000203,-1.2454764781031618
ACH-000204,-1.1841087002234412
ACH-000206,-0.9583271953736726
ACH-000207,-1.3139239458623426
ACH-000208,-0.8499743680134357
ACH-000210,-1.2178163463880298
ACH-000211,-1.0496382286433676
ACH-000215,-1.3469646989963366
ACH-000221,-1.2727803165112417
ACH-000222,-1.3284499838717478
ACH-000223,-1.3833158109395964
ACH-000226,-1.0851877567140682
ACH-000227,-1.4647069015552387
ACH-000228,-1.1191530410045143
ACH-000231,-1.2807754131237286
ACH-000232,-1.1955741841733412
ACH-000233,-1.2000407750825104
ACH-000234,-1.0574119131777984
ACH-000235,-1.1553769848987534
ACH-000237,-1.1589873370120842
ACH-000238,-1.3492479646018074
ACH-000242,-1.2517787797330466
ACH-000243,-1.227062618168707
ACH-000244,-1.1647550476328747
ACH-000246,-0.9791029816149336
ACH-000248,-0.8923351793577217
ACH-000250,-1.1414730341820307
ACH-000251,-1.5491395739610971
ACH-000252,-1.25494478945497
ACH-000253,-1.1877908080175532
ACH-000255,-0.9781039040318418
ACH-000256,-1.483303027517855
ACH-000257,-1.103134615107468
ACH-000258,-1.5501851086755736
ACH-000259,-1.2940045173943788
ACH-000260,-1.1313672151587677
ACH-000261,-1.1340676859942551
ACH-000262,-1.181070320105892
ACH-000263,-1.2622247476123982
ACH-000264,-1.3337745017544012
ACH-000265,-0.8705083229208698
ACH-000266,-1.307199113509046
ACH-000272,-1.2398635906368791
ACH-000274,-1.336284449864975
ACH-000277,-0.9938904227160692
ACH-000278,-0.8994230671718191
ACH-000279,-1.3859744776806011
ACH-000280,-1.0774169652942356
ACH-000281,-1.297143502931742
ACH-000288,-1.0614082888102054
ACH-000291,-1.1481938214367122
ACH-000293,-1.2327295819132231
ACH-000294,-1.5066165360349852
ACH-000295,-1.2450216651596189
ACH-000296,-1.1729634689448578
ACH-000302,-1.2636702106426627
ACH-000304,-1.255737808063201
ACH-000307,-1.1902424175247903
ACH-000308,-1.4167002871919054
ACH-000310,-1.3239753914377588
ACH-000311,-1.2273687688055792
ACH-000312,-1.2867418235945969
ACH-000315,-1.3287974327084635
ACH-000316,-1.275879901983323
ACH-000317,-1.1879896077032206
ACH-000318,-0.8449043541922244
ACH-000319,-1.1941731904129542
ACH-000320,-1.281482697453712
ACH-000322,-1.156579914514621
ACH-000323,-1.225093724354092
ACH-000324,-1.2124139655283932
ACH-000329,-1.1331556962262537
ACH-000330,-1.026229357531255
ACH-000331,-1.094283386200106
ACH-000332,-1.0797667919841094
ACH-000334,-1.5305130034412722
ACH-000335,-1.1289451522956624
ACH-000336,-0.9943977151137556
ACH-000337,-1.1506418429550205
ACH-000338,-1.4347051599048048
ACH-000339,-1.291692984413747
ACH-000341,-0.9609511519338328
ACH-000348,-1.1380546399228324
ACH-000350,-1.1547148320103289
ACH-000352,-1.0045038044517318
ACH-000356,-1.2168489739036574
ACH-000361,-1.1223699334842694
ACH-000362,-0.8488442884170941
ACH-000363,-1.1955176558346725
ACH-000364,-1.177249857864584
ACH-000365,-1.3784099571379131
ACH-000366,-1.1204394969305809
ACH-000368,-1.1597636101632554
ACH-000374,-1.1753758903619334
ACH-000375,-1.0018443507756774
ACH-000376,-1.0039117586168973
ACH-000381,-1.2512495156803056
ACH-000383,-1.289199420543323
ACH-000387,-1.2246802218779649
ACH-000389,-1.1667749948259638
ACH-000390,-1.2906739099910294
ACH-000393,-1.2457061232798294
ACH-000395,-0.9649884231756084
ACH-000396,-1.3411675134989538
ACH-000397,-1.2225343983398715
ACH-000401,-1.1938726244930948
ACH-000402,-1.485784858893463
ACH-000403,-1.488264483724255
ACH-000404,-1.3636043597761212
ACH-000406,-1.2394243400857636
ACH-000407,-1.2907649996756148
ACH-000408,-1.157158070996667
ACH-000410,-1.025140100556772
ACH-000411,-1.0825393783962578
ACH-000414,-0.976412582294636
ACH-000415,-1.106181969563908
ACH-000416,-1.2253742850506093
ACH-000420,-1.0218204361000744
ACH-000421,-1.2435349203578605
ACH-000424,-1.0703054047221838
ACH-000425,-1.276835978555065
ACH-000426,-1.1405738752257268
ACH-000427,-1.1250758514771244
ACH-000433,-0.9399164536869856
ACH-000435,-1.3156797854996305
ACH-000436,-0.9337445366744176
ACH-000444,-1.3133382597304204
ACH-000445,-1.1569600837507237
ACH-000448,-0.974906416507245
ACH-000450,-1.0786296226900862
ACH-000452,-1.4405437637355614
ACH-000454,-1.0473099535373491
ACH-000458,-1.0487972422164178
ACH-000459,-0.9934183568300424
ACH-000460,-1.1979170863394797
ACH-000461,-0.8772318554586955
ACH-000463,-1.2044130100503438
ACH-000464,-1.4115823332871238
